node_id,x_km,y_km,longitude,latitude,b_pre,b_pre_std,n_pre,valid_pre,b_post,b_post_std,n_post,valid_post,delta_b,combined_uncertainty
974,-8.0,-21.0,-117.63178592110759,35.532164149088814,1.611385869419605,0.38872452369683114,31,1.0,1.1171562235453423,0.19642018817932244,32,1.0,-0.49422964587426277,0.43553145196154164
975,-7.0,-21.0,-117.62075976051725,35.53217173253686,1.5688799017851465,0.38070057198493373,33,1.0,1.143336091169311,0.19808153828276476,33,1.0,-0.42554381061583557,0.42914941607570917
976,-6.0,-21.0,-117.6097335979871,35.532178304859436,2.0049335724498567,0.41646623415800943,31,1.0,1.1289539740783152,0.2001082326586728,32,1.0,-0.8759795983715415,0.46204699866088456
1029,-9.0,-20.0,-117.64282319717434,35.541168580550185,1.5473178459721078,0.346461689368085,37,1.0,1.1623071125077986,0.1861867243614008,37,1.0,-0.38501073346430914,0.3933207323905208
1030,-8.0,-20.0,-117.63179580350511,35.541177176700906,1.5001536507884348,0.28685086172801233,40,1.0,1.1623071125077986,0.16841927615951635,37,1.0,-0.33784653828063615,0.3326386469672438
1031,-7.0,-20.0,-117.62076840761777,35.54118476154103,1.5001536507884348,0.30998650881749834,40,1.0,1.177117711292694,0.19205645251653036,38,1.0,-0.3230359394957407,0.3646605498296947
1032,-6.0,-20.0,-117.60974100978954,35.541191335070096,1.4782958703224023,0.2739929735753002,41,1.0,1.177117711292694,0.1911197085516575,38,1.0,-0.30117815902970824,0.33406420425646577
1033,-5.0,-20.0,-117.59871361029772,35.541196897287676,1.5593300175080385,0.3377774905653323,37,1.0,1.177117711292694,0.1823164652553692,38,1.0,-0.3822123062153444,0.38383971477144646
1084,-10.0,-19.0,-117.65386294591146,35.550171983859,1.4656474522489837,0.2991617354013293,38,1.0,1.1623071125077986,0.20091011435193784,37,1.0,-0.3033403397411851,0.3603645625991042
1085,-9.0,-19.0,-117.64283431898569,35.55018159308364,1.5001536507884348,0.2808555668699969,40,1.0,1.1623071125077986,0.17239320275266937,37,1.0,-0.33784653828063615,0.3295440270998555
1086,-8.0,-19.0,-117.63180568956314,35.55019019081254,1.4902261633935132,0.28723772002484893,42,1.0,1.11572121233976,0.15471414376989484,40,1.0,-0.37450495105375325,0.3262544621725888
1087,-7.0,-19.0,-117.62077705792125,35.55019777704518,1.5176483317220517,0.26813415828794257,43,1.0,1.1309033825362547,0.1578152394653319,41,1.0,-0.38674494918579705,0.31112951748152007
1088,-6.0,-19.0,-117.60974842433737,35.550204351781105,1.193052441533306,0.20130202706115216,51,1.0,1.172009096590485,0.16511587689359514,45,1.0,-0.021043344942820896,0.2603569835845962
1089,-5.0,-19.0,-117.59871978908902,35.55020991501987,0.8127148199359099,0.12812985736968807,64,1.0,1.1248618337584235,0.14957496986321026,46,1.0,0.31214701382251364,0.19695159801117854
1090,-4.0,-19.0,-117.58769115245354,35.55021446676113,0.8864635568378239,0.1539961299564912,61,1.0,1.1650224551801085,0.18928956110020576,45,1.0,0.27855889834228464,0.244019150853135
1140,-10.0,-18.0,-117.65387530805253,35.55918498112569,1.4356842376966998,0.26261720651664416,40,1.0,1.1623071125077986,0.19321762829890168,37,1.0,-0.2733771251889012,0.3260381098032226
1141,-9.0,-18.0,-117.64284544491704,35.559194592114736,1.4549795653946118,0.24647056385625263,43,1.0,1.1450325323249588,0.1681643689778525,42,1.0,-0.309947033069653,0.29837391615444275
1142,-8.0,-18.0,-117.6318155792834,35.55920319142233,1.1575012843903296,0.20052069938909287,50,1.0,1.1458957306154411,0.17517446259898647,45,1.0,-0.011605553774888477,0.26626048003850417
1143,-7.0,-18.0,-117.62078571142915,35.55921077904794,0.8268237634477332,0.10569730428872014,78,1.0,1.0873672556415916,0.1526154351200006,50,1.0,0.2605434921938584,0.1856431823977638
1144,-6.0,-18.0,-117.60975584163191,35.559217354991056,0.7809045397695255,0.08964171977924867,105,1.0,1.0469778886865597,0.1338842720873126,52,1.0,0.26607334891703427,0.1611230468844569
1145,-5.0,-18.0,-117.59872597016918,35.559222919251326,0.7955555324904848,0.09000692768662145,111,1.0,1.0418437149167301,0.13124016919302686,54,1.0,0.24628818242624528,0.1591390242567769
1146,-4.0,-18.0,-117.5876960973186,35.55922747182838,0.7954622579847483,0.08438594990904655,114,1.0,1.0418437149167301,0.1279520693899464,54,1.0,0.24638145693198177,0.1532733525542577
1147,-3.0,-18.0,-117.57666622335772,35.55923101272192,0.758405520292335,0.07919183466295092,106,1.0,0.9768386326949434,0.12579812986036168,49,1.0,0.21843311240260843,0.14864896956806858
1148,-2.0,-18.0,-117.5656363485641,35.559233541931754,0.6588017739229228,0.08925133510924865,64,1.0,0.9969457260332896,0.1815287179342638,32,1.0,0.33814395211036674,0.20228315860110774
1196,-10.0,-17.0,-117.65388767477351,35.56819796488804,1.4482369872332916,0.2359017280703204,41,1.0,1.1316221009236314,0.16352082379276853,41,1.0,-0.3166148863096603,0.2870342925861456
1197,-9.0,-17.0,-117.64285657497035,35.568207577642056,1.178227026324611,0.21803852316946484,50,1.0,1.1704583341798713,0.17752262449653278,43,1.0,-0.007768692144739742,0.2811673519348543
1198,-8.0,-17.0,-117.6318254726676,35.56821617852881,0.8274197842952287,0.11283365667899455,82,1.0,1.0873672556415916,0.1454825652416945,50,1.0,0.259947471346363,0.184110322548349
1199,-7.0,-17.0,-117.62079436814302,35.5682237675478,0.7942209976618069,0.08662065621151609,110,1.0,1.036952311902707,0.13172264375654386,55,1.0,0.24273131424090022,0.15765149209800403
1200,-6.0,-17.0,-117.60976326167435,35.56823034469854,0.8151098081040661,0.07834694774795022,123,1.0,1.0407371202552889,0.1246762936818818,61,1.0,0.22562731215122278,0.14724952437162872
1201,-5.0,-17.0,-117.59873215353933,35.568235909980615,0.8352411860807608,0.0819893904609412,135,1.0,1.0460926155574413,0.12084759048149729,63,1.0,0.21085142947668045,0.14603561303100127
1202,-4.0,-17.0,-117.58770104401563,35.56824046339369,0.8104669083771697,0.08184446934249492,140,1.0,0.962092310204504,0.1367723328678735,64,1.0,0.1516254018273343,0.15939005050527771
1203,-3.0,-17.0,-117.57666993338103,35.5682440049375,0.8084563356307565,0.07226823938967945,137,1.0,0.9168778646796306,0.11993152005330254,60,1.0,0.10842152904887414,0.14002238366339764
1204,-2.0,-17.0,-117.56563882191324,35.568246534611795,0.7347087099867046,0.07802060815169751,108,1.0,0.8627702805192802,0.14084478462869504,43,1.0,0.1280615705325756,0.16101077185537688
1205,-1.0,-17.0,-117.55460770988999,35.568248052416436,0.6851733330997904,0.07942654051921201,78,1.0,0.8061150476162441,0.17174898619788012,32,1.0,0.12094171451645364,0.18922549933571226
1252,-10.0,-16.0,-117.65390004607659,35.57721093514464,1.4874283330816263,0.2423640773110591,43,1.0,1.1450325323249588,0.16244849106833073,42,1.0,-0.3423958007566674,0.29177021476020915
1253,-9.0,-16.0,-117.64286770914751,35.57722054966415,0.9503161529611638,0.15731618951321627,65,1.0,1.0728726802752375,0.1423027174730715,49,1.0,0.12255652731407374,0.21212837359292364
1254,-8.0,-16.0,-117.63183536971746,35.57722915213058,0.8049265881947385,0.09098961869829851,110,1.0,1.0752282919054175,0.14323976963211216,55,1.0,0.27030170371067896,0.16969602916722099
1255,-7.0,-16.0,-117.62080302806436,35.577236742543384,0.8368161024178272,0.08656756618445664,128,1.0,1.0460926155574413,0.12735831161361647,63,1.0,0.20927651313961404,0.15399377601764078
1256,-6.0,-16.0,-117.60977068446607,35.5772433209021,0.8135002552465214,0.0756058113011684,149,1.0,0.9375245958546388,0.1158846463289298,68,1.0,0.1240243406081174,0.13836722862473264
1257,-5.0,-16.0,-117.5987383392005,35.577248887206316,0.811961216995405,0.0716713592168895,155,1.0,0.9611322710473483,0.12768976314915134,70,1.0,0.1491710540519433,0.14642902494069535
1258,-4.0,-16.0,-117.5877059925455,35.5772534414557,0.8053537782546569,0.06828277673428654,162,1.0,0.9571599632199554,0.12140013015536363,71,1.0,0.15180618496529852,0.13928578247719203
1259,-3.0,-16.0,-117.57667364477898,35.577256983649946,0.8054676735704892,0.07167087257249014,153,1.0,0.9482721292982842,0.11784481945698012,67,1.0,0.142804455727795,0.1379279357061156
1260,-2.0,-16.0,-117.56564129617878,35.577259513788846,0.7552947511360909,0.06878047309300396,135,1.0,0.9099666946381635,0.1300811015303166,53,1.0,0.15467194350207258,0.14714566406876547
1261,-1.0,-16.0,-117.55460894702284,35.577261031872254,0.7131272280841577,0.07342808384154145,115,1.0,0.9550764415709877,0.19770362130234836,36,1.0,0.24194921348682996,0.21089904071072207
1308,-10.0,-15.0,-117.65391242196387,35.58622389189405,1.2107603737908834,0.2306667233698135,46,1.0,1.1390263669249778,0.18687947425533685,35,1.0,-0.07173400686590559,0.29686878442860437
