mainshock,metric,baseline_value,median_value,mean_value,iqr_value,cv_value,min_value,max_value,sign_consistency_fraction,n_windows
M1,rate_ratio,5.408496732026144,4.84402356902357,4.736251683752303,1.1916878710771837,0.16518476908939947,2.798418972332016,6.134328358208955,1.0,300
M1,moving_rate_max,271.0,224.1428571428572,187.95238095238096,132.17857142857144,0.42369233262012984,58.142857142857146,288.42857142857144,1.0,300
M1,post_omori_p,0.6383674259945586,0.6816750237783888,0.7316224039864963,0.24063064138438972,0.19568707317459305,0.5175046091094406,1.0144073929088848,1.0,225
M2,rate_ratio,25.03296703296704,54.291666666666664,inf,147.5499838501292,,16.416666666666668,inf,1.0,300
M2,moving_rate_max,125.85714285714286,49.07142857142857,97.80809523809525,99.32142857142857,1.189608083388678,3.142857142857143,495.4285714285714,1.0,300
M2,post_omori_p,0.6437024855030238,0.7563797536151328,0.7298800304581216,0.1532230495612611,0.1491972129719586,0.4328692127922035,0.9532760071536612,1.0,225
M3,rate_ratio,3.170091324200913,5.91793623043623,inf,18.31759049013696,,1.8066218809980807,inf,1.0,300
M3,moving_rate_max,271.0,197.64285714285714,189.7971428571429,170.14285714285714,0.5417262169121879,35.714285714285715,422.4285714285714,1.0,300
