summary_name,threshold,dominant_spatial_category,source
B12,M5+,insufficient,burst_raw
B13,M3+,low_count_M1_endpoint,burst_raw
B13,M4+,insufficient,burst_raw
B13,M5+,insufficient,burst_raw
B14,M3+,M1_endpoint,burst_raw
B14,M4+,M1_endpoint,burst_raw
B14,M5+,low_count_M1_endpoint,burst_raw
B15,M3+,mixed_M3_endpoint_off_corridor_local,burst_raw
B15,M4+,mixed_M3_endpoint_off_corridor_local,burst_raw
B15,M5+,ambiguous,burst_raw
B01,M3+,low_count_M1_endpoint,burst_m2aware
B01,M4+,insufficient,burst_m2aware
B01,M5+,insufficient,burst_m2aware
B02,M3+,low_count_M1_endpoint,burst_m2aware
B02,M4+,insufficient,burst_m2aware
B02,M5+,insufficient,burst_m2aware
B03,M3+,low_count_off_corridor_local,burst_m2aware
B03,M4+,insufficient,burst_m2aware
B03,M5+,insufficient,burst_m2aware
B04,M3+,low_count_M3_endpoint,burst_m2aware
B04,M4+,insufficient,burst_m2aware
B04,M5+,insufficient,burst_m2aware
B05,M3+,low_count_off_corridor_local,burst_m2aware
B05,M4+,insufficient,burst_m2aware
B05,M5+,insufficient,burst_m2aware
B06,M3+,low_count_off_corridor_local,burst_m2aware
B06,M4+,insufficient,burst_m2aware
B06,M5+,insufficient,burst_m2aware
B07,M3+,low_count_M1_endpoint,burst_m2aware
B07,M4+,insufficient,burst_m2aware
B07,M5+,insufficient,burst_m2aware
B08,M3+,low_count_M1_endpoint,burst_m2aware
B08,M4+,insufficient,burst_m2aware
B08,M5+,insufficient,burst_m2aware
B09,M3+,M1_endpoint,burst_m2aware
B09,M4+,M1_endpoint,burst_m2aware
B09,M5+,M1_endpoint,burst_m2aware
B10,M3+,low_count_M1_endpoint,burst_m2aware
B10,M4+,low_count_M1_endpoint,burst_m2aware
B10,M5+,low_count_M1_endpoint,burst_m2aware
B11,M3+,low_count_M1_endpoint,burst_m2aware
B11,M4+,low_count_M1_endpoint,burst_m2aware
B11,M5+,insufficient,burst_m2aware
B12,M3+,mixed_M1_endpoint_M3_endpoint,burst_m2aware
B12,M4+,low_count_M3_endpoint,burst_m2aware
B12,M5+,insufficient,burst_m2aware
B13,M3+,low_count_M1_endpoint,burst_m2aware
B13,M4+,insufficient,burst_m2aware
B13,M5+,insufficient,burst_m2aware
B14,M3+,M1_endpoint,burst_m2aware
B14,M4+,M1_endpoint,burst_m2aware
B14,M5+,low_count_M1_endpoint,burst_m2aware
B15,M3+,ambiguous,burst_m2aware
B15,M4+,M3_endpoint,burst_m2aware
B15,M5+,ambiguous,burst_m2aware
