summary_type,summary_name,mode,threshold,event_count,largest_magnitude,start_time,end_time,duration_days,centroid_lat,centroid_lon,median_depth_km,depth_min_km,depth_max_km,median_projected_km,median_perp_km,centroid_dist_m1_km,centroid_dist_m3_km,median_dist_m1_km,median_dist_m3_km,median_axis_fraction,m2_related_fraction,frac_0_30km,frac_30_60km,frac_gt_60km,frac_M1_endpoint,frac_M3_endpoint,frac_endpoint_overlap,frac_corridor_noncore,frac_off_corridor_local,dominant_spatial_category,window_name,sequence_source,event_count_x,start_time_x,end_time_x,duration_days_x,burst_id,start_time_y,end_time_y,duration_days_y,event_count_y,source,parent_phase
window_name,catalog_full,raw,M3+,736.0,7.7,2025-06-03 15:58:03.730000+00:00,2026-05-01 02:29:35.670000+00:00,331.43856412037036,39.607402605978265,143.3747586956522,13.475000000000001,0.82,36.55,19.32677409784427,11.261048559636885,25.50247308188048,32.05163867294133,24.819253131536286,42.71634318915464,0.3380923789774967,0.029891304347826088,0.9728260869565217,0.02717391304347826,0.0,0.563858695652174,0.2798913043478261,0.004076086956521739,0.012228260869565218,0.13994565217391305,mixed_M1_endpoint_M3_endpoint,catalog_full,phase_raw,,,,,,,,,,,
window_name,catalog_full,raw,M4+,158.0,7.7,2025-11-02 09:57:55.560000+00:00,2026-04-30 10:38:16.730000+00:00,179.02802280092592,39.59182560126582,143.36675217088606,13.71,3.68,35.04,16.345197058162114,9.79722152367643,24.297057206607793,33.10153082563903,22.80898143081958,43.46986472982762,0.2859342449119021,0.0189873417721519,0.9620253164556962,0.0379746835443038,0.0,0.6139240506329114,0.22784810126582278,0.012658227848101266,0.0,0.14556962025316456,M1_endpoint,catalog_full,phase_raw,,,,,,,,,,,
window_name,catalog_full,raw,M5+,50.0,7.7,2025-11-03 19:16:06.620000+00:00,2026-04-26 16:57:22.060000+00:00,173.90365092592592,39.55121164,143.36102082000002,13.774999999999999,6.13,34.29,13.05451229764559,9.246637069369278,20.790969221373796,36.74497040596863,19.85946485829625,46.22195014626516,0.22836874362774728,0.0,0.94,0.06,0.0,0.7,0.14,0.02,0.0,0.14,M1_endpoint,catalog_full,phase_raw,,,,,,,,,,,
window_name,full_m1_to_m3,raw,M3+,396.0,7.7,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.050000+00:00,161.99257881944445,39.524564020202014,143.42389874242426,13.055,3.09,36.31,13.239128688040738,10.565111777698506,15.382737432956649,42.04212678287453,21.426778866989793,46.181680069071376,0.23159832525947416,0.017676767676767676,0.9924242424242424,0.007575757575757576,0.0,0.7575757575757576,0.16161616161616163,0.005050505050505051,0.010101010101010102,0.06565656565656566,M1_endpoint,full_m1_to_m3,phase_raw,,,,,,,,,,,
window_name,full_m1_to_m3,raw,M4+,95.0,7.7,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.050000+00:00,161.99257881944445,39.51738601052631,143.4045120736842,13.27,6.13,31.73,13.320307953027054,10.099284417099568,15.557426704128309,41.851414447665135,19.497465283319716,46.01957420020629,0.2330184324477674,0.0,0.9789473684210527,0.021052631578947368,0.0,0.8,0.12631578947368421,0.010526315789473684,0.0,0.06315789473684211,M1_endpoint,full_m1_to_m3,phase_raw,,,,,,,,,,,
window_name,full_m1_to_m3,raw,M5+,31.0,7.7,2025-11-09 08:03:39.240000+00:00,2026-04-20 07:52:58.050000+00:00,161.99257881944445,39.49880722580645,143.39099145161288,12.97,6.13,31.73,12.659793433254828,10.738263308965116,14.665936136204481,43.09726781158764,18.16913127612272,47.74578962313948,0.2214637402778062,0.0,0.967741935483871,0.03225806451612903,0.0,0.8064516129032258,0.0967741935483871,0.0,0.0,0.0967741935483871,M1_endpoint,full_m1_to_m3,phase_raw,,,,,,,,,,,
window_name,m1_related_primary,raw,M3+,335.0,6.9,2025-11-01 07:34:32.810000+00:00,2025-11-29 21:46:28.400000+00:00,28.591615625,39.48880253731343,143.45846534925374,12.89,3.82,31.31,10.008335499370247,10.03400947312763,10.513317068955807,46.992371105718135,18.41352555578301,48.788850082269555,0.17508053550253094,0.0,0.9970149253731343,0.0029850746268656717,0.0,0.7940298507462686,0.13432835820895522,0.0,0.008955223880597015,0.0626865671641791,M1_endpoint,m1_related_primary,phase_raw,,,,,,,,,,,
window_name,m1_related_primary,raw,M4+,83.0,6.9,2025-11-02 09:57:55.560000+00:00,2025-11-29 21:46:28.400000+00:00,27.492046759259257,39.48268826506024,143.4448581566265,12.63,6.13,31.31,10.403876268180621,9.38378186931773,10.43908240092764,46.940907343549,16.403902460403696,48.0749051952324,0.18199991681431457,0.0,0.9879518072289156,0.012048192771084338,0.0,0.8433734939759037,0.07228915662650602,0.0,0.0,0.08433734939759036,M1_endpoint,m1_related_primary,phase_raw,,,,,,,,,,,
window_name,m1_related_primary,raw,M5+,30.0,6.9,2025-11-03 19:16:06.620000+00:00,2025-11-21 12:22:05.090000+00:00,17.712482291666667,39.45665910000001,143.4472108,12.8,6.13,19.97,5.738191257437153,8.172854774965181,7.956744948147842,49.530787230141755,14.740567144194024,51.756764552509,0.10038088733448768,0.0,1.0,0.0,0.0,0.8666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,M1_endpoint,m1_related_primary,phase_raw,,,,,,,,,,,
window_name,m1_related_sens_minus14_plus28,raw,M3+,343.0,6.9,2025-11-01 07:34:32.810000+00:00,2025-12-07 00:22:15.110000+00:00,35.69979513888889,39.488531311953345,143.45950071137025,12.96,3.82,31.31,9.787043935781885,10.03400947312763,10.450621700385177,47.06630313321455,18.22226897329337,48.54647586664186,0.1712093777602989,0.0,0.9970845481049563,0.0029154518950437317,0.0,0.7959183673469388,0.13119533527696792,0.0029154518950437317,0.008746355685131196,0.061224489795918366,M1_endpoint,m1_related_sens_minus14_plus28,phase_raw,,,,,,,,,,,
