subset_name,event_count,slope_proj_km_per_day,spearman_r,spearman_p,kendall_tau,kendall_p,slope_dist_m1_km_per_day,slope_dist_m3_km_per_day,trend_class
full_m1_to_m3_raw_M3+,396,0.06422055312267586,0.23052487055292908,3.5613495632794997e-06,0.1529727656309935,5.465350503623132e-06,0.028920737624592567,-0.04835197633568631,no_robust_monotonic_migration
full_m1_to_m3_raw_M4+,95,0.06818987814236327,0.2921192609182531,0.004072784506537897,0.19014557670772675,0.00634089194131291,0.028770387455246012,-0.07215838413744333,no_robust_monotonic_migration
full_m1_to_m3_raw_M5+,31,0.09921943943080808,0.3056451612903226,0.09450192924994572,0.22150537634408607,0.08295417244940928,0.06596933827794026,-0.08223460635353362,weak_directional_trend
m1_related_primary_raw_M3+,335,0.7444970279458076,0.2538063531785044,2.5346012142712244e-06,0.20790061667709359,1.3617048986466812e-08,1.0091618354049303,-0.8418416593484025,no_robust_monotonic_migration
m1_related_primary_raw_M4+,83,0.0256425843113913,0.20391671214474624,0.06444689962856,0.18777549221275341,0.01197081675553709,0.4910696981204992,-0.05725360212708999,no_robust_monotonic_migration
m1_related_primary_raw_M5+,30,2.0489661651701105,0.4117908787541713,0.023758748913502038,0.33793103448275863,0.008368660546557133,2.0924869986208243,-1.8745876608015215,weak_directional_trend
middle_phase_primary_raw_M3+,75,-0.18896191466380394,0.014480796586059743,0.9018636194902447,-0.03207207207207208,0.6839257200723876,-0.19108115946587953,-0.08394489657029697,no_robust_monotonic_migration
middle_phase_primary_raw_M4+,18,-0.19819319956557546,-0.2776057791537668,0.26470972815378374,-0.22875816993464054,0.20082494101911527,-0.14966011013173508,0.1263410197299129,no_robust_monotonic_migration
middle_phase_primary_raw_M5+,5,-0.6605671936649401,-0.7999999999999999,0.10408803866182788,-0.6,0.23333333333333334,-0.508380061225772,0.22560919396683482,no_robust_monotonic_migration
pre_m3_primary_raw_M3+,51,1.326254686842605,0.18515837104072397,0.1933286400739968,0.11058823529411767,0.25211316243119264,1.2677660935337998,-0.9146144538467016,no_robust_monotonic_migration
pre_m3_primary_raw_M4+,14,1.5931931742145533,0.6131868131868132,0.019706331926038816,0.4725274725274726,0.01927860024400203,1.4265674486584863,-1.6446214377533772,robust_monotonic_migration
pre_m3_primary_raw_M5+,3,,,,,,,,insufficient
full_m1_to_m3_m2aware_M3+,389,0.06066238735694329,0.21169431368991437,2.5578573365466635e-05,0.14122916280179154,3.1895444476456344e-05,0.025636788589924575,-0.04881494629039771,no_robust_monotonic_migration
full_m1_to_m3_m2aware_M4+,95,0.06818987814236327,0.2921192609182531,0.004072784506537897,0.19014557670772675,0.00634089194131291,0.028770387455246012,-0.07215838413744333,no_robust_monotonic_migration
full_m1_to_m3_m2aware_M5+,31,0.09921943943080808,0.3056451612903226,0.09450192924994572,0.22150537634408607,0.08295417244940928,0.06596933827794026,-0.08223460635353362,weak_directional_trend
m1_related_primary_m2aware_M3+,335,0.7444970279458076,0.2538063531785044,2.5346012142712244e-06,0.20790061667709359,1.3617048986466812e-08,1.0091618354049303,-0.8418416593484025,no_robust_monotonic_migration
m1_related_primary_m2aware_M4+,83,0.0256425843113913,0.20391671214474624,0.06444689962856,0.18777549221275341,0.01197081675553709,0.4910696981204992,-0.05725360212708999,no_robust_monotonic_migration
m1_related_primary_m2aware_M5+,30,2.0489661651701105,0.4117908787541713,0.023758748913502038,0.33793103448275863,0.008368660546557133,2.0924869986208243,-1.8745876608015215,weak_directional_trend
middle_phase_primary_m2aware_M3+,68,0.018949010546107533,0.1136771386036569,0.3559951773548231,0.06057945566286216,0.4650910831784034,0.002584473298821762,-0.05403040277458615,no_robust_monotonic_migration
middle_phase_primary_m2aware_M4+,18,-0.19819319956557546,-0.2776057791537668,0.26470972815378374,-0.22875816993464054,0.20082494101911527,-0.14966011013173508,0.1263410197299129,no_robust_monotonic_migration
middle_phase_primary_m2aware_M5+,5,-0.6605671936649401,-0.7999999999999999,0.10408803866182788,-0.6,0.23333333333333334,-0.508380061225772,0.22560919396683482,no_robust_monotonic_migration
pre_m3_primary_m2aware_M3+,51,1.326254686842605,0.18515837104072397,0.1933286400739968,0.11058823529411767,0.25211316243119264,1.2677660935337998,-0.9146144538467016,no_robust_monotonic_migration
pre_m3_primary_m2aware_M4+,14,1.5931931742145533,0.6131868131868132,0.019706331926038816,0.4725274725274726,0.01927860024400203,1.4265674486584863,-1.6446214377533772,robust_monotonic_migration
pre_m3_primary_m2aware_M5+,3,,,,,,,,insufficient
