burst_id,start_time,end_time,duration_days,event_count,source,parent_phase
B01,2025-06-02 03:47:03.300000+00:00,2025-06-04 19:13:21.640000+00:00,2.643267824074074,11,local_m3plus_gap7d_seed,catalog_full
B02,2025-06-15 08:42:27+00:00,2025-06-20 01:48:39.620000+00:00,4.712646064814815,25,local_m3plus_gap7d_seed,catalog_full
B03,2025-06-24 14:30:49.520000+00:00,2025-06-28 09:03:32.420000+00:00,3.77271875,37,local_m3plus_gap7d_seed,catalog_full
B04,2025-07-06 12:47:37.020000+00:00,2025-07-09 04:54:40.110000+00:00,2.6715635416666665,25,local_m3plus_gap7d_seed,catalog_full
B05,2025-07-20 01:04:09.630000+00:00,2025-08-03 03:48:14.770000+00:00,14.113948379629628,75,local_m3plus_gap7d_seed,catalog_full
B06,2025-08-31 06:56:05.660000+00:00,2025-09-02 19:30:59.900000+00:00,2.5242388888888887,8,local_m3plus_gap7d_seed,catalog_full
B07,2025-09-13 05:11:52.530000+00:00,2025-09-17 08:56:52.730000+00:00,4.156252314814815,12,local_m3plus_gap7d_seed,catalog_full
B08,2025-10-09 03:23:23.530000+00:00,2025-10-11 08:51:15.020000+00:00,2.2276792824074074,12,local_m3plus_gap7d_seed,catalog_full
B09,2025-10-30 15:22:53.760000+00:00,2025-12-21 20:52:17.760000+00:00,52.22875,3594,local_m3plus_gap7d_seed,catalog_full
B10,2025-12-28 23:16:27.520000+00:00,2026-01-03 11:43:25.750000+00:00,5.518729513888888,136,local_m3plus_gap7d_seed,catalog_full
B11,2026-01-07 18:15:29.320000+00:00,2026-01-24 04:29:19.680000+00:00,16.426277314814815,172,local_m3plus_gap7d_seed,catalog_full
B12,2026-01-28 11:44:46.230000+00:00,2026-02-16 22:34:22+00:00,19.451108449074074,162,local_m3plus_gap7d_seed,catalog_full
B13,2026-02-22 05:51:22.760000+00:00,2026-02-25 18:03:48.120000+00:00,3.5086268518518517,15,local_m3plus_gap7d_seed,catalog_full
B14,2026-03-01 15:23:36.500000+00:00,2026-04-11 03:36:34.900000+00:00,40.50900925925926,965,local_m3plus_gap7d_seed,catalog_full
B15,2026-04-15 19:22:09.660000+00:00,2026-05-01 14:44:22.450000+00:00,15.807092476851853,3257,local_m3plus_gap7d_seed,catalog_full
