time_tol_sec,horizontal_tol_km,depth_tol_km,candidate_pairs,matched_pairs,matched_fraction,ambiguous_mecha_rows,ambiguous_catalog_events,median_time_diff_sec,median_horizontal_diff_km,median_depth_diff_km
10.0,5.0,2.0,241,240,0.6779661016949152,1,0,0.01,0.08519960513637341,0.0799999999999983
10.0,5.0,5.0,241,240,0.6779661016949152,1,0,0.01,0.08519960513637341,0.0799999999999983
10.0,5.0,10.0,241,240,0.6779661016949152,1,0,0.01,0.08519960513637341,0.0799999999999983
1.0,2.0,2.0,240,240,0.6779661016949152,0,0,0.01,0.08519960513637341,0.0799999999999983
1.0,2.0,5.0,240,240,0.6779661016949152,0,0,0.01,0.08519960513637341,0.0799999999999983
1.0,2.0,10.0,240,240,0.6779661016949152,0,0,0.01,0.08519960513637341,0.0799999999999983
1.0,5.0,2.0,240,240,0.6779661016949152,0,0,0.01,0.08519960513637341,0.0799999999999983
1.0,5.0,5.0,240,240,0.6779661016949152,0,0,0.01,0.08519960513637341,0.0799999999999983
1.0,5.0,10.0,240,240,0.6779661016949152,0,0,0.01,0.08519960513637341,0.0799999999999983
3.0,2.0,2.0,240,240,0.6779661016949152,0,0,0.01,0.08519960513637341,0.0799999999999983
3.0,2.0,5.0,240,240,0.6779661016949152,0,0,0.01,0.08519960513637341,0.0799999999999983
3.0,2.0,10.0,240,240,0.6779661016949152,0,0,0.01,0.08519960513637341,0.0799999999999983
3.0,5.0,2.0,240,240,0.6779661016949152,0,0,0.01,0.08519960513637341,0.0799999999999983
3.0,5.0,5.0,240,240,0.6779661016949152,0,0,0.01,0.08519960513637341,0.0799999999999983
3.0,5.0,10.0,240,240,0.6779661016949152,0,0,0.01,0.08519960513637341,0.0799999999999983
5.0,2.0,2.0,240,240,0.6779661016949152,0,0,0.01,0.08519960513637341,0.0799999999999983
5.0,2.0,5.0,240,240,0.6779661016949152,0,0,0.01,0.08519960513637341,0.0799999999999983
5.0,2.0,10.0,240,240,0.6779661016949152,0,0,0.01,0.08519960513637341,0.0799999999999983
5.0,5.0,2.0,240,240,0.6779661016949152,0,0,0.01,0.08519960513637341,0.0799999999999983
