label,event_time,latitude,longitude,depth_km,magnitude,x_km,y_km
Mainshock64,2019-07-04 17:33:49.040000+00:00,35.70421,-117.49392,11.864,6.4,4.528408492199419,2.243460894026614
Mainshock71,2019-07-06 03:19:53.040000+00:00,35.77623,-117.59286,1.986,7.1,-4.421598315468028,10.234329681422897
