interval_id_kde,stage,start,end,elapsed_start_hr_kde,elapsed_end_hr_kde,event_count_kde,status_kde,hotspot_x_km,hotspot_y_km,hotspot_lon,hotspot_lat,peak_density,distance_to_main71_km,distance_to_main64_km,high_density_area_km2,high_density_patch_count,kde_array_path,hotspot_step_km,distance_to_main71_change_km,interval_id_geom,elapsed_start_hr_geom,elapsed_end_hr_geom,event_count_geom,convex_valid,alpha_valid,convex_area_km2,convex_perimeter_km,convex_centroid_x_km,convex_centroid_y_km,convex_centroid_distance_to_main71_km,alpha_area_km2,alpha_perimeter_km,alpha_centroid_x_km,alpha_centroid_y_km,alpha_centroid_distance_to_main71_km,alpha_component_count,status_geom,interval_id,interpretation_label
S1_01,Stage1,2019-07-04 17:33:49.040000+00:00,2019-07-04 18:03:49.040000+00:00,0.0,0.5,68.0,ok,4.663023668488044,1.1468442529095952,-117.49243888348018,35.69432579954405,0.016021583171692624,12.849620539331875,1.1048480905816827,1.3725820256163122,1.0,,,,,,,,,,,,,,,,,,,,,,S1_01,mixed
,,2019-07-04 17:33:49.040000+00:00,2019-07-04 18:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_01,0.0,1.0,138.0,True,True,582.4299523672615,91.49866695477755,-3.8062333982850105,1.8068189028959551,8.449947449747096,25.683000589166838,62.68421526047581,2.0973920782637006,0.052514919484502987,12.089937452277955,6.0,ok,M_01,fragmented
S1_02,Stage1,2019-07-04 18:03:49.040000+00:00,2019-07-04 18:33:49.040000+00:00,0.5,1.0,70.0,ok,1.3580663472072345,5.023071485839218,-117.52894702517625,35.729271435077315,0.019337149300541916,7.7821420954654394,4.216314072555608,3.603027817242819,2.0,,5.093906208087548,-5.0674784438664355,,,,,,,,,,,,,,,,,,,S1_02,fragmented
S1_03,Stage1,2019-07-04 18:33:49.040000+00:00,2019-07-04 19:03:49.040000+00:00,1.0,1.5,65.0,ok,1.564626179787286,-3.2831297275814073,-117.52668001288798,35.654408992117546,0.021121917614557038,14.783659647789303,6.271141004172425,6.519764621677482,2.0,,8.308769196593786,7.001517552323864,,,,,,,,,,,,,,,,,,,S1_03,fragmented
,,2019-07-04 18:33:49.040000+00:00,2019-07-04 19:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_02,1.0,2.0,130.0,True,True,590.7964913066131,100.15292036674363,-5.177164307775702,4.126855088290471,6.1540333013796715,27.099016356252704,65.50032042702325,2.6678397142195407,1.0193842553767254,11.626493486076946,6.0,ok,M_02,fragmented
S1_04,Stage1,2019-07-04 19:03:49.040000+00:00,2019-07-04 19:33:49.040000+00:00,1.5,2.0,65.0,ok,2.5974253426875364,-1.621889484897281,-117.5152694976607,35.66937931612706,0.010767642051983963,13.778121280986223,4.320836663835596,0.0,0.0,,1.9561168816818368,-1.00553836680308,,,,,,,,,,,,,,,,,,,S1_04,focusing
S1_05,Stage1,2019-07-04 19:33:49.040000+00:00,2019-07-04 20:03:49.040000+00:00,2.0,2.5,75.0,ok,3.0105450078476395,-1.8987628586779692,-117.51070761727125,35.66688272805541,0.023910860584340193,14.228446470537708,4.411567428318257,9.665265097048197,2.0,,0.4973195379740237,0.45032518955148504,,,,,,,,,,,,,,,,,,,S1_05,fragmented
,,2019-07-04 19:33:49.040000+00:00,2019-07-04 20:33:49.040000+00:00,,,,,,,,,,,,,,,,,M_03,2.0,3.0,147.0,True,True,388.5426787524826,74.12100716138218,-2.699927388002909,-0.5979927962539776,10.968288883999286,27.063994488113003,61.4932504789405,1.701537454880984,-0.4003958464924078,12.271519006065267,6.0,ok,M_03,fragmented
S1_06,Stage1,2019-07-04 20:03:49.040000+00:00,2019-07-04 20:33:49.040000+00:00,2.5,3.0,72.0,ok,3.217104840427691,-1.3450161111165961,-117.5084240186614,35.67187290367961,0.017863570067918777,13.87195137271946,3.8205607551237097,2.516400380296572,1.0,,0.591018125669846,-0.3564950978182484,,,,,,,,,,,,,,,,,,,S1_06,mixed
S1_07,Stage1,2019-07-04 20:33:49.040000+00:00,2019-07-04 21:03:49.040000+00:00,3.0,3.5,67.0,ok,5.695822831388298,1.42371762669028,-117.48102608517137,35.69681577833009,0.021215035941540172,13.416001469955768,1.426476520552321,9.608074179314185,1.0,,3.716171334799006,-0.45594990276369174,,,,,,,,,,,,,,,,,,,S1_07,defocusing
