event_time,latitude,longitude,depth_km,magnitude,x_m,y_m,dist_mw64_km,dist_mw71_km,hours_since_mw64
2019-07-04 17:35:01.280000+00:00,35.64102579518505,-117.55307126655964,8.56209893,4.49,449927.82544728584,3944274.9847075655,8.81858932468003,15.421798935784318,0.020066666666666667
2019-07-04 17:35:51.840000+00:00,35.69039979518505,-117.50252882330362,2.72653025,4.68,454531.71781828604,3949726.482695578,1.7183662750005742,12.544139670344709,0.03411111111111111
2019-07-04 17:36:39+00:00,35.78830379518505,-117.51195990168593,0.97005311,3.5,453735.07089249254,3960589.5416598427,9.468626413714286,7.433173532949231,0.04721111111111111
2019-07-04 17:36:59.360000+00:00,35.75315579518505,-117.58497135657537,4.381393010000001,3.92,447113.8175724174,3956728.1351872734,9.862959788270253,2.656750427998119,0.052866666666666666
2019-07-04 17:37:14.680000+00:00,35.66498379518505,-117.516231991334,3.85880477,4.39,453277.0456555014,3946914.0223114085,4.796276960167603,14.151955946635496,0.05712222222222222
2019-07-04 17:37:25.360000+00:00,35.67473379518505,-117.44829669383624,10.69600091,4.23,459430.6884690515,3947965.215183855,5.265828393980495,17.253041153689885,0.060088888888888886
2019-07-04 17:37:55.240000+00:00,35.74354879518505,-117.54216566168876,6.776589110000001,4.05,450977.94928648317,3955640.3654243406,6.170678054289408,5.843140266308571,0.06838888888888889
2019-07-04 17:38:21.200000+00:00,35.71408879518505,-117.46911653286318,3.33621653,3.63,457567.4034302061,3952338.881698681,2.496945585712414,13.14125160386659,0.0756
2019-07-04 17:38:46.400000+00:00,35.67151879518505,-117.54611546215324,12.55409243,3.67,450576.36498656136,3947653.4399258997,5.954161855642653,12.359422619973909,0.0826
2019-07-04 17:39:34.940000+00:00,35.68612679518505,-117.48213451514764,9.78147149,4.04,456374.66128832055,3949243.3130355394,2.271468912487068,14.14714808787404,0.09608333333333333
2019-07-04 17:40:01.960000+00:00,35.72417979518505,-117.56103626170596,6.5733603500000015,3.98,449259.38669846044,3953501.718670497,6.462369158848819,6.45037952461317,0.1035888888888889
2019-07-04 17:40:18+00:00,35.70671979518505,-117.4937740008517,9.63630809,4.55,455332.9539605376,3951532.5218081158,0.2786793011707942,11.820076619237103,0.10804444444444444
2019-07-04 17:41:21+00:00,35.73904479518505,-117.53262733602214,4.49026556,3.46,451837.6900690131,3955136.0950918896,5.213816031990173,6.830974476375506,0.12554444444444443
2019-07-04 17:41:43.360000+00:00,35.61189179518505,-117.58173917190378,6.6604583900000005,2.81,447313.24428738136,3941058.723316614,12.962635681676305,18.254964259188117,0.13175555555555554
2019-07-04 17:42:21.480000+00:00,35.57485179518505,-117.63260751317428,8.816134880000002,3.21,442679.75872319104,3936979.072611709,19.066040143419638,22.623225217083494,0.14234444444444447
2019-07-04 17:42:53.820000+00:00,35.72963279518505,-117.551848655711,6.950785190000001,3.36,450093.7317411798,3954101.805486732,5.9502358978448155,6.360763847081914,0.15132777777777778
2019-07-04 17:43:29.200000+00:00,35.65521879518505,-117.52899928808988,9.839536850000002,3.63,452115.66731912695,3945837.1331065674,6.293015438610376,14.611934718914986,0.16115555555555555
2019-07-04 17:43:48.940000+00:00,35.74395579518505,-117.53507669112088,5.593507400000001,3.16,451619.178852284,3955681.986307394,5.769653688044961,6.332586921956385,0.1666388888888889
2019-07-04 17:44:32.580000+00:00,35.68564679518505,-117.49931448053552,3.53944529,4.02,454819.870492856,3949197.8430496478,2.115936510368716,13.134231710315948,0.1787611111111111
2019-07-04 17:45:05.640000+00:00,35.69487979518505,-117.47712214645765,4.766076020000001,3.21,456832.91906279686,3950211.8946166583,1.838582309346723,13.818534974073012,0.18794444444444444
2019-07-04 17:45:23.600000+00:00,35.70646379518505,-117.53111898237304,5.615281910000001,3.07,451954.52438442735,3951521.763649446,3.374444213825861,9.54175365440639,0.19293333333333332
2019-07-04 17:45:28.760000+00:00,35.71193279518505,-117.54972337718884,0.97005311,3.18,450274.9355726157,3952137.600193441,5.120189577702329,8.128395635657006,0.1943666666666667
2019-07-04 17:46:03.260000+00:00,35.637526795185046,-117.60167101483177,10.7468081,3.07,445525.43399047863,3943912.7483660146,12.239216385466339,15.40464938539028,0.20395000000000002
2019-07-04 17:46:20.160000+00:00,35.65781479518505,-117.52207447501245,4.99833746,2.88,452744.02746354934,3946121.7033063523,5.741942377050735,14.611287801461872,0.20864444444444444
2019-07-04 17:46:49.500000+00:00,35.63425079518505,-117.60230577918657,11.01536039,3.24,445465.7370517116,3943549.759472401,12.507306087509338,15.770529843788323,0.21679444444444446
2019-07-04 17:47:17.540000+00:00,35.74410179518505,-117.536338701679,6.44271329,3.76,451505.157260206,3955698.8026485946,5.856165533912394,6.229527253010795,0.22458333333333333
2019-07-04 17:47:40.720000+00:00,35.72343579518505,-117.55573020795666,4.5338145800000005,3.05,449738.80839190073,3953416.469944288,5.983856830642122,6.749662971441136,0.2310222222222222
2019-07-04 17:47:54.600000+00:00,35.72312679518505,-117.55507018563394,4.6426871300000006,3.77,449798.3086802555,3953381.860524718,5.9158806958917705,6.809167750967701,0.23487777777777777
2019-07-04 17:48:15.360000+00:00,35.70904779518505,-117.5001051689028,6.19593551,3.11,454761.5440533572,3951793.6208372377,0.7752263012811083,11.219034418164634,0.24064444444444447
2019-07-04 17:48:24+00:00,35.64906679518505,-117.53344284521653,4.265262290000001,3.11,451709.7357221957,3945156.9902784307,7.085079278888998,15.093398907244435,0.24304444444444445
2019-07-04 17:48:57.360000+00:00,35.61270979518505,-117.58391223067468,4.758817850000001,2.68,447116.97163154295,3941150.61293289,13.013282987229237,18.15454993877063,0.25231111111111115
2019-07-04 17:49:36+00:00,35.76567579518505,-117.5711622626578,4.649945300000001,2.62,448370.3753895886,3958109.3925009375,9.760512854788402,2.2840568872195197,0.26304444444444447
2019-07-04 17:50:13.640000+00:00,35.68669279518505,-117.47127855596212,9.5855009,2.16,457357.2576207318,3949301.32044549,2.8232956714611377,14.816052725905022,0.2735
2019-07-04 17:50:35.880000+00:00,35.63626479518505,-117.60647192405062,10.9645532,2.27,445089.89698285545,3943775.4503340567,12.670961016281785,15.572750966237546,0.2796777777777778
2019-07-04 17:50:46.620000+00:00,35.70494979518505,-117.4997958730938,15.892850630000002,2.8,454787.2084839353,3951338.966888531,0.5378553220637893,11.546448045285452,0.28266111111111114
2019-07-04 17:50:48.680000+00:00,35.67456279518505,-117.49508168151252,2.0297459300000003,2.85,455196.6797524961,3947966.577369464,3.2898987475456543,14.330232078524451,0.28323333333333334
2019-07-04 17:51:46.280000+00:00,35.67513279518505,-117.509184722592,6.972559700000001,3.67,453920.71627460205,3948036.319274051,3.5083173553207168,13.52780143361368,0.29923333333333335
2019-07-04 17:52:41.420000+00:00,35.72128679518505,-117.51541405271608,6.508036820000001,2.97,453383.8514408547,3953158.221205777,2.7143082211666436,9.282693235930608,0.31455000000000005
2019-07-04 17:53:14.740000+00:00,35.70113779518505,-117.47822159798308,2.545076,2.41,456736.82715007995,3950906.4549957286,1.4604905465887228,13.297697678405296,0.32380555555555557
2019-07-04 17:53:25.320000+00:00,35.64664479518505,-117.53780467089724,10.06454012,2.15,451313.40531463927,3944890.5184509954,7.519063799540919,15.211037944800754,0.32674444444444445
2019-07-04 17:54:03.360000+00:00,35.67506779518505,-117.50409071790745,12.68473949,2.29,454381.6712208865,3948026.7327984967,3.360665104145145,13.796679682280516,0.3373111111111111
2019-07-04 17:54:21.660000+00:00,35.72384279518505,-117.60426523735958,4.09106621,1.9,445349.44504569256,3953487.5566746634,10.216004975446698,5.901269393679435,0.3423944444444444
2019-07-04 17:54:59.120000+00:00,35.63749779518505,-117.54892801274562,10.14437999,2.73,450300.75325969444,3943881.5935610244,8.918068309814696,15.892129867780096,0.3528
2019-07-04 17:55:19.840000+00:00,35.67056279518505,-117.506539393268,4.10558255,2.36,454157.4973438547,3947528.223196497,3.9026483495752355,14.08215546970216,0.3585555555555555
2019-07-04 17:55:30.320000+00:00,35.67436779518505,-117.51136566745927,2.6902394000000003,2.57,453722.90572962177,3947952.4982387344,3.6669925004654305,13.4894566713033,0.36146666666666666
2019-07-04 17:55:47.520000+00:00,35.80333479518505,-117.6524479914484,2.26926554,2.26,441050.35386665777,3962332.1218636977,18.063648305590007,6.16731037333006,0.36624444444444443
2019-07-04 17:55:54.320000+00:00,35.70642279518505,-117.47086497941358,2.72653025,2.36,457405.1730081652,3951489.3994064946,2.1000363963535142,13.47719327174479,0.3681333333333333
2019-07-04 17:56:21.720000+00:00,35.60185779518505,-117.59224445118352,7.94515448,2.32,446355.0971483173,3939951.5357680884,14.42534683853778,19.3401889544844,0.37574444444444444
2019-07-04 17:56:55.240000+00:00,35.69795179518505,-117.48190836809027,2.26200737,2.34,456401.56002209213,3950554.7255429844,1.2894388562096355,13.268123378668207,0.3850555555555556
2019-07-04 17:57:31.260000+00:00,35.66194479518505,-117.5116337724386,3.90961196,2.92,453691.46849102434,3946574.790774352,4.954174156134542,14.65090796232421,0.39506111111111114
2019-07-04 17:57:42.640000+00:00,35.69472479518505,-117.4106021352759,5.72415446,3.02,462851.2050388475,3950167.499768053,7.610843283339186,18.797945435421997,0.3982222222222222
2019-07-04 17:58:02.360000+00:00,35.70315979518505,-117.49990974390369,6.2612590400000006,3.49,454775.8964323619,3951140.4895410403,0.5542451073273829,11.675934266853098,0.4037
2019-07-04 17:58:55.600000+00:00,35.66505779518505,-117.77025999666456,1.093442,2.03,430285.2536536583,3947072.7343750205,25.379924963056638,20.23623572123925,0.41848888888888885
2019-07-04 17:59:26.200000+00:00,35.67521779518505,-117.451510728718,9.97744208,2.12,459140.0741162029,3948020.2274630005,5.006430707416838,16.99836080023309,0.4269888888888889
2019-07-04 17:59:38.520000+00:00,35.687477795185046,-117.5061666125707,8.46774272,2.19,454200.9014233951,3949404.0932752467,2.161405218987219,12.58438128261425,0.43041111111111113
2019-07-04 17:59:48.180000+00:00,35.66456079518505,-117.50959896086388,3.4160564,2.01,453877.14763882733,3946863.9738922,4.6207535685440835,14.495309259689535,0.43309444444444445
2019-07-04 17:59:59.640000+00:00,35.68788079518505,-117.486846641633,5.3394714500000005,2.49,455949.2514308782,3949439.9526247955,1.920840424347283,13.709000587801857,0.43627777777777776
2019-07-04 18:00:12.420000+00:00,35.695993795185046,-117.49238122682443,4.7443015100000006,2.14,455452.97997086355,3950342.2639079858,0.9218462051613644,12.718353625637578,0.4398277777777778
2019-07-04 18:00:40.080000+00:00,35.63108179518505,-117.5601985512742,4.483007390000001,2.47,449276.2689230955,3943175.752633123,10.088033683398047,16.367714669639362,0.4475111111111111
2019-07-04 18:01:01.080000+00:00,35.67420479518505,-117.50386265571233,4.27977863,2.79,454401.8192779832,3947930.911607263,3.4473812727912123,13.886604025296661,0.45334444444444444
2019-07-04 18:01:25.720000+00:00,35.83912979518505,-117.52085058988035,1.18779821,3.53,452961.61515814293,3966231.021662173,15.161088375633854,9.5393440263993,0.4601888888888889
2019-07-04 18:01:58.260000+00:00,35.70104379518505,-117.4938795911998,6.37738976,2.07,455320.2352110614,3950903.042057415,0.35118864720547555,12.233241444000896,0.4692277777777778
2019-07-04 18:02:25.200000+00:00,35.70915779518505,-117.47179317684385,3.4087982300000004,2.45,457322.6647896038,3951793.1425468074,2.075505839013108,13.235583832856157,0.47671111111111114
2019-07-04 18:02:36.360000+00:00,35.73280279518505,-117.53540988480728,8.22096494,2.34,451582.29989477,3954445.156665778,4.913255830113836,7.083644595204931,0.4798111111111111
2019-07-04 18:02:53.780000+00:00,35.603867795185046,-117.57356759552884,7.959670820000001,2.63,448048.1457256498,3940164.443167278,13.260433242179671,19.196687956478193,0.48465
2019-07-04 18:03:18.320000+00:00,35.74602679518505,-117.53324584089412,5.8548015200000005,2.91,451785.9719581469,3955910.782300239,5.8447572926585085,6.3455307276171595,0.49146666666666666
2019-07-04 18:03:40.060000+00:00,35.72107979518505,-117.52082603776358,5.361245960000001,2.36,452894.24328905006,3953137.8470223243,3.0699030047838365,8.935071633111027,0.49750555555555553
2019-07-04 18:04:05.160000+00:00,35.65584579518505,-117.52825933323425,4.51204007,2.22,452183.02143745933,3945906.313296916,6.199227982573993,14.574778546785817,0.5044777777777778
2019-07-04 18:04:27.740000+00:00,35.70255779518505,-117.52495870045792,2.53055966,2.52,452509.47724212485,3951085.5491458164,2.813929021024545,10.221013391565798,0.51075
2019-07-04 18:04:57.940000+00:00,35.720106795185046,-117.47539896748162,3.68460869,2.48,457002.3727076032,3953009.0759904175,2.432168808125924,12.310152771357114,0.5191388888888889
2019-07-04 18:05:07.400000+00:00,35.71749479518505,-117.54942277882778,3.80799758,2.73,450305.5796390491,3952754.334812629,5.232413983807568,7.606861628226201,0.5217666666666666
2019-07-04 18:05:41.540000+00:00,35.716180795185046,-117.51818068393226,4.686236150000001,2.66,453130.63368657953,3952593.228072251,2.564958784292493,9.484391078540218,0.53125
2019-07-04 18:05:55.680000+00:00,35.72808679518505,-117.5189215439944,8.07580154,2.69,453070.60532141215,3953914.087747736,3.482413752073723,8.555730677455914,0.5351777777777778
2019-07-04 18:06:15.960000+00:00,35.66472779518505,-117.51624797289338,4.42494203,4.04,453275.45002711704,3946885.6369827297,4.822653985186454,14.176016900309486,0.5408111111111111
2019-07-04 18:07:09.060000+00:00,35.59408179518505,-117.60062589289596,7.379017220000001,3.89,445590.64289399685,3939093.706977912,15.572617802126619,20.214781662583796,0.5555611111111111
2019-07-04 18:07:50.520000+00:00,35.72942879518505,-117.52593664096914,5.963674070000001,2.76,452436.9774044777,3954066.308486114,4.026176364228886,7.97214289317993,0.5670777777777778
2019-07-04 18:08:14.980000+00:00,35.705193795185046,-117.46364689070496,1.1660237000000002,2.53,458057.4880023443,3951349.9826953774,2.7408150741160613,14.092263858180084,0.5738722222222222
2019-07-04 18:08:33.020000+00:00,35.66775079518505,-117.49990719066618,5.252373410000001,3.22,454756.13887861924,3947213.270504352,4.079876878537161,14.677982102859772,0.5788833333333333
2019-07-04 18:08:44.920000+00:00,35.712713795185046,-117.46987243357914,3.40154006,3.36,457498.3000421703,3952186.706799639,2.371016644576451,13.164167506177964,0.5821888888888889
2019-07-04 18:09:21.200000+00:00,35.70905979518505,-117.4621011697691,1.84103351,2.13,458199.33666431037,3951778.102854579,2.9282338449273064,13.974905538981728,0.5922666666666666
2019-07-04 18:09:32.520000+00:00,35.70597979518505,-117.53071194743742,6.326582570000001,2.09,451991.05524538876,3951467.8837275603,3.3341437930374065,9.6068323279155,0.5954111111111111
2019-07-04 18:10:09.980000+00:00,35.73180979518505,-117.5129248130392,8.729036840000001,2.13,453615.09146648005,3954324.157878114,3.5107777921864924,8.746507637066095,0.6058166666666667
2019-07-04 18:10:32.280000+00:00,35.65803479518505,-117.52274949085442,10.318576070000002,3.81,452683.05711646023,3946146.4282249818,5.747551025063802,14.562663770748925,0.6120111111111111
2019-07-04 18:11:22.520000+00:00,35.59782479518505,-117.59147916160254,8.35887017,2.69,446421.7290323284,3939503.8223258373,14.738445459728185,19.787807026005783,0.6259666666666667
2019-07-04 18:11:40.040000+00:00,35.72947379518505,-117.544271644221,4.2144551,2.22,450778.8653429885,3954080.3428827347,5.347319435330972,6.7964190834180105,0.6308333333333334
2019-07-04 18:11:49.640000+00:00,35.65361979518505,-117.53669017296733,10.12986365,2.25,451418.5234832454,3945663.5623911596,6.816460412052086,14.517180652589687,0.6335
2019-07-04 18:12:16.540000+00:00,35.70864879518505,-117.47190714009886,1.819259,1.8,457312.0844648887,3951736.738685204,2.0512949940053105,13.258924151306596,0.6409722222222223
2019-07-04 18:12:51.700000+00:00,35.66873579518505,-117.55146126163125,8.23548128,3.56,450090.8311225528,3947347.4792104242,6.52606936438606,12.496656762890519,0.6507388888888889
2019-07-04 18:13:51.060000+00:00,35.70981279518505,-117.47209422413,5.60802374,3.53,457295.7819229348,3951865.9198208894,2.0698845035141056,13.172276183331483,0.6672277777777778
2019-07-04 18:14:34.560000+00:00,35.71373079518505,-117.4649005070126,3.00234071,1.84,457948.5666425085,3952297.361239404,2.829521430715618,13.487690940654863,0.6793111111111111
2019-07-04 18:15:04.460000+00:00,35.61308779518505,-117.57669325783364,9.12823619,2.54,447771.0234221346,3941188.6805700865,12.58082979127055,18.15358289004701,0.6876166666666667
2019-07-04 18:15:12.640000+00:00,35.66793879518505,-117.51445820421053,4.708010660000001,3.12,453439.304260597,3947240.9191067414,4.43141374561746,13.947944122644424,0.6898888888888889
2019-07-04 18:16:04.240000+00:00,35.69400479518505,-117.476089083336,10.29680156,2.08,456925.91445243976,3950114.3945468636,1.9706574016592748,13.952707511073257,0.7042222222222222
2019-07-04 18:16:33.440000+00:00,35.72459579518505,-117.5254972917602,5.680605440000001,3.07,452473.8394254511,3953530.062415116,3.6428905895750354,8.360142335720205,0.7123333333333334
2019-07-04 18:17:15.040000+00:00,35.72110779518505,-117.52134603978612,6.130611980000001,2.96,452847.2281415661,3953141.2022654074,3.109196884553883,8.898724019892477,0.7238888888888889
2019-07-04 18:17:55.680000+00:00,35.73161879518505,-117.51712379923524,9.09194534,1.95,453235.2530404133,3954304.9672599253,3.694090092171922,8.447945536061589,0.7351777777777777
2019-07-04 18:18:18.200000+00:00,35.74290179518505,-117.53744461490226,6.043513940000001,2.02,451404.432200158,3955566.256314231,5.823429523284732,6.225910562767463,0.7414333333333333
2019-07-04 18:18:45.200000+00:00,35.63165479518505,-117.60011559248134,11.109716600000002,3.39,445662.2873783304,3943260.625254165,12.53543452377012,16.04871596346374,0.7489333333333333
2019-07-04 18:19:21.660000+00:00,35.64383779518505,-117.5412224688943,4.49026556,2.35,451002.28072797647,3944580.8930332796,7.947439144984834,15.40905222378052,0.7590611111111111
2019-07-04 18:19:57.760000+00:00,35.69183179518505,-117.49068892658973,8.43871004,2.08,455603.78139880334,3949879.8889578977,1.4036646782977784,13.152738371871862,0.7690888888888888
2019-07-04 18:20:07.160000+00:00,35.65901079518505,-117.52399456113734,7.611278660000001,2.26,452570.9350406119,3946255.2763268263,5.704188120603002,14.41626180044689,0.7716999999999999
2019-07-04 18:20:20.080000+00:00,35.70518179518505,-117.47078388983884,5.992706750000001,2.39,457411.8484266018,3951351.7244442417,2.095771367213293,13.562772360708522,0.7752888888888889
2019-07-04 18:21:01.280000+00:00,35.73432879518505,-117.53111299510424,8.162899580000001,2.13,451971.7921923558,3954612.2950376254,4.74089167377373,7.263745301196082,0.7867333333333333
2019-07-04 18:21:25.120000+00:00,35.67961279518505,-117.50278104550252,5.680605440000001,2.74,454502.77257939137,3948530.211523178,2.8434860894344665,13.461149337734081,0.7933555555555555
2019-07-04 18:21:50.320000+00:00,35.729140795185046,-117.53877862015732,3.17653679,2.09,451275.4281598809,3954040.667614287,4.910136982190821,7.154422693030741,0.8003555555555556
2019-07-04 18:22:04.600000+00:00,35.67588479518505,-117.52863477678984,6.769330940000001,2.29,452160.9932065494,3948129.0207526493,4.442497424578142,12.55419183898762,0.8043222222222222
2019-07-04 18:22:26.500000+00:00,35.72979979518505,-117.52451266777922,5.84028518,1.95,452565.97539759753,3954106.7671271083,3.9639043908044718,8.043872571040888,0.8104055555555556
