series_label,window_label,radius_km,mc_mode,exploratory,matched_center_time,hours_since_mw64,time_mismatch_hours,delta_b,delta_b_ci_low,delta_b_ci_high,delta_b_ci_width,joint_reliability_label,mw71_b,mw64_b,mw71_n_ge_mc,mw64_n_ge_mc,mw71_center_time,mw64_center_time
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 13:08:08.050000+00:00,19.57194722222222,0.011469444444443866,0.006632053876569843,-1.0813196896132056,1.0384925324222678,2.119812222035473,highly_unreliable,0.788383229040086,0.7817511751635161,17,18,2019-07-05 13:08:08.050000+00:00,2019-07-05 13:07:26.760000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 13:30:00.700000+00:00,19.936572222222225,0.015213888888890637,-0.02874316918979669,-1.3105499976793769,0.9946576578223272,2.305207655501704,highly_unreliable,0.8711069617200278,0.8998501309098245,14,17,2019-07-05 13:30:00.700000+00:00,2019-07-05 13:29:05.930000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 13:40:18.500000+00:00,20.108183333333336,0.0038249999999955264,-0.6343957171354263,-2.605805068509846,0.4652088178243531,3.071013886334199,highly_unreliable,0.7502948422811514,1.3846905594165777,13,15,2019-07-05 13:40:18.500000+00:00,2019-07-05 13:40:32.270000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 14:20:55.120000+00:00,20.785022222222224,0.020669444444447294,-0.4497612287721974,-1.734047276959761,0.48742549609679076,2.2214727730565516,highly_unreliable,0.6095461209702132,1.0593073497424106,12,10,2019-07-05 14:20:55.120000+00:00,2019-07-05 14:19:40.710000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 14:36:25.100000+00:00,21.04335,0.06396666666666562,-1.0209489739102104,-2.4966953061066834,0.15268354492574976,2.6493788510324334,highly_unreliable,0.6232643565163304,1.6442133304265407,11,12,2019-07-05 14:36:25.100000+00:00,2019-07-05 14:32:34.820000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 14:46:29.840000+00:00,21.211333333333336,0.03677499999999867,-0.5316168350521661,-1.9780483484999425,0.976021740690412,2.9540700891903544,highly_unreliable,0.8130555376724738,1.34467237272464,12,15,2019-07-05 14:46:29.840000+00:00,2019-07-05 14:48:42.230000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 15:25:29.500000+00:00,21.86123888888889,0.019194444444448067,0.3703870486219272,-1.5021140883199542,1.989707363530554,3.491821451850508,highly_unreliable,1.4188740467813485,1.0484869981594214,9,13,2019-07-05 15:25:29.500000+00:00,2019-07-05 15:24:20.400000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 15:34:16.630000+00:00,22.00766388888889,0.06193611111110897,-0.0009584006927634281,-1.571230845065573,1.221805843913918,2.793036688979491,highly_unreliable,1.0790480083506322,1.0800064090433956,12,14,2019-07-05 15:34:16.630000+00:00,2019-07-05 15:37:59.600000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 15:53:51.340000+00:00,22.333972222222222,0.017588888888887766,0.2270334400146492,-0.9948475481268737,1.455898944285378,2.450746492412252,highly_unreliable,0.9462127697776931,0.7191793297630439,10,9,2019-07-05 15:53:51.340000+00:00,2019-07-05 15:54:54.660000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 16:18:29.040000+00:00,22.744444444444444,0.049744444444446145,-0.12034685220663288,-1.4434207749625618,0.7368891279505674,2.1803099029131294,highly_unreliable,0.7606052234940573,0.8809520757006902,10,10,2019-07-05 16:18:29.040000+00:00,2019-07-05 16:21:28.120000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 16:38:53.050000+00:00,23.08444722222222,0.04958888888888424,-0.5879134470522479,-1.8829425622916196,0.178083818169414,2.0610263804610334,highly_unreliable,0.6185376930858119,1.2064511401380598,7,10,2019-07-05 16:38:53.050000+00:00,2019-07-05 16:35:54.530000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 16:54:52.910000+00:00,23.351074999999998,0.03233055555555708,-0.920580212956915,-3.240212023911918,-0.029928205598577118,3.2102838183133406,highly_unreliable,0.6169059437385129,1.5374861566954279,10,8,2019-07-05 16:54:52.910000+00:00,2019-07-05 16:56:49.300000+00:00
5km_exploratory_fixed,exploratory_N50_step10,5,fixed,True,2019-07-05 17:24:44.880000+00:00,23.848844444444442,0.05222222222221973,-0.42334086312654373,-2.3592594516460283,0.5358336993832182,2.8950931510292466,highly_unreliable,0.6761975670197705,1.0995384301463142,11,8,2019-07-05 17:24:44.880000+00:00,2019-07-05 17:21:36.880000+00:00
