region,depth_bin,threshold,observed_count,expected_count,obs_exp_ratio,random_expected_mean,random_percentile,random_exceedance_fraction,random_ratio_mean,random_ratio_ci_low,random_ratio_ci_high,outside_expected_mean,outside_percentile,outside_exceedance_fraction,outside_ratio_mean,outside_ratio_ci_low,outside_ratio_ci_high,active_shifted_mean,active_shifted_percentile,n_random_windows,n_outside_windows,control_support_level
common_region,0-30 km,1.2,14230,4177.04498714653,3.40671456586848,,,,,,,,,,,,,,,,,insufficient_control_data
common_region,30-60 km,1.2,2869,2473.866323907455,1.159723131469947,,,,,,,,,,,,,,,,,insufficient_control_data
common_region,>=60 km,1.2,99,588.0771208226221,0.1683452671335274,,,,,,,,,,,,,,,,,insufficient_control_data
common_region,0-30 km,2.0,4631,1008.875321336761,4.5902599677668,,,,,,,,,,,,,,,,,insufficient_control_data
common_region,30-60 km,2.0,850,679.6105398457584,1.2507163296686254,,,,,,,,,,,,,,,,,insufficient_control_data
common_region,>=60 km,2.0,34,173.5758354755784,0.195879800358407,,,,,,,,,,,,,,,,,insufficient_control_data
common_region,0-30 km,3.0,1041,193.6529562982005,5.375595704291726,161.13775,98.77474081055608,0.012252591894439209,10.06765075563204,1.3077479224857034,14.067567567567568,97.18975,100.0,0.0,11.033804571186348,7.081632653061225,14.26027397260274,1041.0,100.0,2122.0,1888.0,very_strong
common_region,30-60 km,3.0,218,161.25578406169666,1.3518894920171851,154.75825,92.74269557021678,0.07587181903864279,1.47429470952485,0.9396551724137931,1.981818181818182,147.9165,98.14618644067797,0.021716101694915255,1.5226602939733025,1.0092592592592593,1.981818181818182,218.0,100.0,2122.0,1888.0,weak
common_region,>=60 km,3.0,8,40.4280205655527,0.1978825549232187,40.08725,0.0,1.0,0.20185354828750243,0.16666666666666666,0.25,40.0215,0.0,1.0,0.20207703992546724,0.1702127659574468,0.25,8.0,100.0,2122.0,1888.0,not_unusual
common_region,0-30 km,4.0,204,35.04370179948586,5.821302816901409,28.99825,98.77474081055608,0.013195098963242224,12.457731217468199,1.2439024390243902,29.142857142857142,16.531,100.0,0.0,13.721103523668676,6.8,34.0,204.0,100.0,2122.0,1888.0,very_strong
common_region,30-60 km,4.0,54,28.10796915167095,1.9211633436985551,26.845,97.2196041470311,0.03157398680490104,2.2891206391671295,0.9818181818181818,4.5,24.5765,100.0,0.0,2.401668030068283,1.542857142857143,4.5,54.0,100.0,2122.0,1888.0,strong
common_region,>=60 km,4.0,1,8.2133676092545,0.1217527386541471,8.42825,0.0,1.0,0.14118443084693083,0.06666666666666667,0.3333333333333333,8.5045,0.0,1.0,0.14205036907536908,0.06666666666666667,0.3333333333333333,1.0,100.0,2122.0,1888.0,not_unusual
common_region,0-30 km,5.0,54,7.483290488431876,7.21607694950189,6.03875,98.53911404335533,0.014608859566446749,30.62972994299417,1.2857142857142858,108.0,2.572,100.0,0.0,33.493050000000004,9.0,108.0,54.0,100.0,2122.0,1888.0,very_strong
common_region,30-60 km,5.0,13,4.745501285347044,2.73943661971831,4.51275,99.3402450518379,0.04052780395852969,5.447862842712842,1.0,26.0,3.7305,100.0,0.0,5.845973611111111,1.625,26.0,13.0,100.0,2122.0,1888.0,very_strong
common_region,>=60 km,5.0,1,1.0038560411311055,0.996158770806658,0.9425,73.98680490103676,0.592836946277097,1.2575833333333335,0.3333333333333333,2.0,0.98025,70.76271186440678,0.5963983050847458,1.2381666666666666,0.3333333333333333,2.0,1.0,100.0,2122.0,1888.0,not_unusual
m1_m3_local_union,0-30 km,1.2,6893,1140.4717223650389,6.043990275976093,,,,,,,,,,,,,,,,,insufficient_control_data
m1_m3_local_union,30-60 km,1.2,8,23.27120822622108,0.3437724385528859,,,,,,,,,,,,,,,,,insufficient_control_data
m1_m3_local_union,>=60 km,1.2,0,0.0,,,,,,,,,,,,,,,,,,insufficient_control_data
m1_m3_local_union,0-30 km,2.0,2586,363.8521850899743,7.107281764325608,,,,,,,,,,,,,,,,,insufficient_control_data
m1_m3_local_union,30-60 km,2.0,3,8.030848329048844,0.3735595390524968,,,,,,,,,,,,,,,,,insufficient_control_data
m1_m3_local_union,>=60 km,2.0,0,0.0,,,,,,,,,,,,,,,,,,insufficient_control_data
m1_m3_local_union,0-30 km,3.0,637,82.77249357326478,7.695793282295759,57.3415,98.91611687087654,0.011310084825636193,32.488963637784636,1.481223891042205,79.625,22.165,100.0,0.0,36.58198357097882,15.166666666666666,79.625,637.0,100.0,2122.0,1888.0,very_strong
m1_m3_local_union,30-60 km,3.0,2,1.8251928020565555,1.0957746478873238,1.296,85.81526861451461,0.3157398680490104,2.240791666666667,0.5,4.0,1.228,85.80508474576271,0.2791313559322034,2.2707916666666668,0.5,4.0,2.0,100.0,2122.0,1888.0,weak
m1_m3_local_union,>=60 km,3.0,0,0.0,,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,2122.0,1888.0,not_unusual
