,latitude,longitude,depth_km,magnitude
count,3.0,3.0,3.0,3.0
min,39.402,142.288,15.9,6.9
p01,39.4108,142.30538,15.97,6.912
p05,39.446,142.37490000000003,16.25,6.96
median,39.842,143.157,19.4,7.5
p95,40.8554,143.472,50.089999999999996,7.68
p99,40.94548,143.5,52.818,7.696
max,40.968,143.507,53.5,7.7
mean,40.07066666666667,142.984,29.600000000000005,7.366666666666667
std,0.8076542164400159,0.6276440073799772,20.771855959446665,0.4163331998932264
