source_file,size_bytes,total_lines,valid_96_byte_records,invalid_length_records,j_records,pick_records,e_records,auxiliary_records,unrecognized_records,orphan_pick_records,closed_events,skipped_events,skipped_pick_records,unterminated_events,parse_errors
measure_20260311_5.txt,5340917,55061,55061,0,3075,47658,3075,1253,0,0,3075,2,13,0,0
measure_20260316_5.txt,7670760,79080,79080,0,4629,64333,4629,5489,0,0,4629,12,85,0,0
measure_20260321_5.txt,6794753,70049,70049,0,4010,61763,4010,266,0,0,4010,8,79,0,0
measure_20260326_5.txt,8267698,85234,85234,0,5173,72859,5173,2029,0,0,5173,4,34,0,0
measure_20260331_1.txt,861457,8881,8881,0,515,7851,515,0,0,0,515,1,3,0,0
measure_20260401_5.txt,5173107,53331,53331,0,2974,45446,2974,1937,0,0,2974,8,78,0,0
measure_20260406_5.txt,6189861,63813,63813,0,3659,49324,3659,7171,0,0,3659,8,51,0,0
measure_20260411_5.txt,5694094,58702,58702,0,3311,51241,3311,839,0,0,3311,8,85,0,0
measure_20260416_5.txt,9156994,94402,94402,0,5411,81282,5411,2298,0,0,5411,18,134,0,0
measure_20260421_5.txt,11162372,115076,115076,0,6235,101320,6235,1286,0,0,6235,1,8,0,0
measure_20260426_5.txt,8528628,87924,87924,0,4972,76786,4972,1194,0,0,4972,10,65,0,0
measure_20260501_1.txt,1292816,13328,13328,0,713,11902,713,0,0,0,713,0,0,0,0
