station_code,station_number,latitude,longitude,elevation_m,matched
MOTOYO,5807,38.810833,141.473833,67.0,True
MSOUMA,5846,,,,False
N.201S,6573,37.842833,141.3845,-102.0,True
N.203S,6575,37.707333,141.965,-462.0,True
N.204S,6576,37.673833,142.2975,-786.0,True
N.205S,6577,37.601667,142.623667,-1781.0,True
N.206S,6578,37.525833,142.935,-2945.0,True
N.207S,6579,37.429,143.226667,-4767.0,True
N.301S,6599,39.449667,142.457833,-940.0,True
N.302S,6600,39.374667,142.791833,-1622.0,True
N.303S,6601,39.323167,143.120667,-1890.0,True
N.304S,6602,39.295833,143.454333,-2490.0,True
N.305S,6603,39.190667,143.749833,-4308.0,True
N.306S,6604,39.045833,143.9305,-5440.0,True
N.307S,6605,38.830833,143.784667,-5231.0,True
N.308S,6606,38.782667,143.476833,-2465.0,True
N.309S,6607,38.773833,143.143667,-1779.0,True
N.310S,6608,38.866833,142.821167,-1310.0,True
N.311S,6609,38.934833,142.487333,-1168.0,True
N.312S,6610,38.841167,142.181667,-558.0,True
N.313S,6611,38.590167,142.181667,-573.0,True
N.314S,6612,38.499333,142.500167,-1092.0,True
N.315S,6613,38.448667,142.837667,-1472.0,True
N.316S,6614,38.426167,143.170333,-2420.0,True
N.317S,6615,38.397833,143.513833,-3020.0,True
N.318S,6616,38.306333,143.781,-5528.0,True
N.319S,6617,38.059333,143.744167,-5591.0,True
N.320S,6618,37.931167,143.5675,-5225.0,True
N.321S,6619,37.971333,143.245333,-2779.0,True
N.322S,6620,37.983833,142.907167,-1645.0,True
N.323S,6621,38.027,142.5735,-1220.0,True
N.324S,6622,38.056833,142.234,-849.0,True
N.325S,6623,38.097167,141.895667,-230.0,True
N.326S,6624,38.106,141.557167,-128.0,True
N.401S,6625,40.788167,141.7895,-139.0,True
N.402S,6626,40.906833,142.105667,-858.0,True
N.403S,6627,41.015667,142.431333,-1425.0,True
N.404S,6628,41.076167,142.770667,-1798.0,True
N.405S,6629,41.044333,143.113833,-1940.0,True
N.406S,6630,40.971833,143.448167,-1970.0,True
N.407S,6631,40.882,143.774667,-2613.0,True
N.408S,6632,40.7805,144.0905,-5060.0,True
N.409S,6633,40.552167,144.133167,-5095.0,True
N.410S,6634,40.432667,143.888667,-3897.0,True
N.411S,6635,40.435333,143.543,-2273.0,True
N.412S,6636,40.4515,143.2015,-1711.0,True
N.413S,6637,40.519667,142.961667,-1537.0,True
N.414S,6638,40.592667,142.634,-1393.0,True
N.415S,6639,40.593333,142.284333,-816.0,True
N.416S,6640,40.3295,142.267333,-559.0,True
N.417S,6641,40.1165,142.392667,-681.0,True
N.418S,6642,40.108833,142.622167,-969.0,True
N.419S,6643,40.090333,142.9695,-1256.0,True
N.420S,6644,40.074333,143.321,-1329.0,True
N.421S,6645,40.086333,143.657167,-2456.0,True
N.422S,6646,40.026,143.954667,-4107.0,True
N.423S,6647,39.771833,143.925833,-4358.0,True
N.424S,6648,39.638833,143.715333,-2936.0,True
N.425S,6649,39.697667,143.374833,-2228.0,True
N.426S,6650,39.7245,143.038333,-1569.0,True
N.427S,6651,39.7445,142.690333,-914.0,True
N.428S,6652,39.7385,142.340833,-569.0,True
N.501S,6653,42.768833,145.7115,-2052.0,True
N.502S,6654,42.640333,145.406333,-2042.0,True
N.503S,6655,42.480167,145.143333,-1985.0,True
N.504S,6656,42.228667,145.204,-3149.0,True
N.505S,6657,42.0615,145.437,-3813.0,True
N.506S,6658,41.884,145.654333,-5619.0,True
N.507S,6659,41.663667,145.529167,-5953.0,True
N.508S,6660,41.530167,145.248333,-5980.0,True
N.509S,6661,41.521,144.905,-5100.0,True
N.510S,6662,41.654167,144.671667,-4103.0,True
N.511S,6663,41.907167,144.6955,-2093.0,True
N.512S,6664,42.078333,144.6375,-1772.0,True
N.513S,6665,41.979167,144.3445,-1607.0,True
N.514S,6666,41.7475,144.177833,-1592.0,True
N.515S,6667,41.496167,144.087833,-1950.0,True
N.516S,6668,41.374167,143.800667,-2380.0,True
N.517S,6669,41.364333,143.453,-2023.0,True
N.518S,6670,41.435167,143.126333,-1509.0,True
N.519S,6671,41.560667,142.817667,-986.0,True
