window,radius_km,status,total_points,retained_points,trim_distance_km,pca_angle_deg,pca_var_ratio_1,along_span_km,across_span_km,hull_area_km2,equivalent_radius_km
foreshock_final2d,60.0,ok,395,355,12.045500196635546,2.574551016388434,0.6911864039081318,23.4584996255992,16.266385329886134,306.6844561886744,9.880318534528868
aftershock_0_0p5d,60.0,ok,414,372,28.912213593081738,-42.9729077900063,0.6383406939351352,56.506429420286,51.173870378414975,2100.0116905220993,25.85448669370017
foreshock_final2d,80.0,ok,396,356,12.05501945234318,2.6965559425194563,0.6927989910005942,23.592603224816067,16.267473626704074,307.0342436232306,9.885951402987818
aftershock_0_0p5d,80.0,ok,415,373,29.039817278921095,-42.82889225253952,0.6420260778165254,57.547073002773224,51.174781640898935,2118.3354783992895,25.96703920412113
