event_time,latitude,longitude,depth_km,magnitude,event_id,x_km,y_km
2019-07-04 00:56:37.590000+00:00,36.08852379518505,-117.82790782193672,9.70163162,0.66,0,-25.029280078334804,38.706854714471866
2019-07-04 02:34:31.210000+00:00,36.11893979518505,-117.64291706091387,3.79348124,0.43,1,-8.365206221719992,42.050260358881076
2019-07-04 03:20:28.460000+00:00,36.11053679518505,-117.62022744201748,2.27652371,0.88,2,-6.323160349448762,41.11615015594215
2019-07-04 05:16:47.590000+00:00,36.08785979518505,-117.834654773096,8.4241937,0.75,3,-25.637145702516968,38.634924354240155
2019-07-04 05:20:57.320000+00:00,36.11083779518505,-117.64445446418225,3.33621653,0.83,4,-8.504487587981753,41.15138602044054
2019-07-04 06:33:14.470000+00:00,36.11038179518505,-117.65111943060384,3.69186686,0.25,5,-9.104639856143935,41.10138782353099
2019-07-04 11:51:07.470000+00:00,36.113734795185046,-117.59783167752578,1.3111871000000002,0.79,6,-4.306509636497517,41.469786559570856
2019-07-04 11:52:16.020000+00:00,35.72945379518505,-117.55785464277572,3.52492895,0.15,7,-0.7106145861707177,-1.170116117809642
2019-07-04 15:35:29.240000+00:00,35.70763979518505,-117.48840306726134,9.97744208,0.57,8,5.574233125727046,-3.5887408510609884
2019-07-04 15:42:47.800000+00:00,35.70700479518505,-117.49116202142392,10.48551398,0.72,9,5.324603000956175,-3.6593496048666396
2019-07-04 16:07:19.840000+00:00,35.70699679518505,-117.49136502084646,10.50728849,0.71,10,5.306232893252541,-3.660248230760993
2019-07-04 16:13:11.360000+00:00,35.71555379518505,-117.47028863865322,8.28628847,0.31,11,7.212790292597055,-2.709473217206271
2019-07-04 16:13:42.900000+00:00,35.70692379518505,-117.49098201557706,10.73229176,1.71,12,5.340898216484256,-3.6683270606402947
2019-07-04 16:16:07.100000+00:00,35.70910479518505,-117.4866771730177,9.70163162,0.49,13,5.730313549001924,-3.426094407735679
2019-07-04 17:02:54.920000+00:00,35.70759079518505,-117.49193506372424,10.55809568,4.54,14,5.254607288711205,-3.594372484349314
2019-07-04 17:06:23.360000+00:00,35.70540179518505,-117.48904590571792,10.13712182,1.22,15,5.516213491615109,-3.837091253570647
2019-07-04 17:07:54.760000+00:00,35.70856779518505,-117.48107013425152,9.94115123,0.65,16,6.237756703511966,-3.48533452220564
2019-07-04 17:08:25.980000+00:00,35.73258279518505,-117.47506686890668,8.387902850000001,0.67,17,6.778982762089105,-0.8203803062762686
2019-07-04 17:08:51.600000+00:00,35.70798179518505,-117.48779209194916,9.97744208,0.73,18,5.629499462340281,-3.550759841744874
2019-07-04 17:09:19.640000+00:00,35.70783479518505,-117.49036408133767,10.57987019,2.64,19,5.3967574367999,-3.5672145382213807
2019-07-04 17:11:34.760000+00:00,35.81980579518505,-117.51936018654143,4.664461640000001,0.83,20,2.768870429017828,8.855278815077835
2019-07-04 17:12:14.520000+00:00,35.70695979518505,-117.49160901817564,10.39115777,2.32,21,5.2841545484497106,-3.66436668094471
2019-07-04 17:12:37.680000+00:00,35.70706179518505,-117.4912430255384,10.37664143,1.74,22,5.317268665412767,-3.6530296441428547
2019-07-04 17:13:25.720000+00:00,35.70709879518505,-117.48942802820922,10.260510710000002,0.76,23,5.481516032388035,-3.6488244825656366
2019-07-04 17:13:51.440000+00:00,35.70722879518505,-117.48923303759318,10.40567411,0.88,24,5.499152953585873,-3.634389606858666
2019-07-04 17:14:44.120000+00:00,35.708241795185046,-117.48702711071796,9.49840286,0.55,25,5.69870785539026,-3.5218677468922035
2019-07-04 17:15:05.120000+00:00,35.70383879518505,-117.50062579290795,10.36938326,0.37,26,4.468346125810706,-4.011100801046383
2019-07-04 17:15:46.640000+00:00,35.70787179518505,-117.4921540840086,10.420190450000002,1.5,27,5.234768595052146,-3.563206234333511
2019-07-04 17:16:18.160000+00:00,35.70816879518505,-117.49184510544823,9.90486038,0.81,28,5.262710092821996,-3.53023648913868
2019-07-04 17:16:50.520000+00:00,35.72837579518505,-117.4360685648774,3.32170019,0.38,29,10.307586840034945,-1.2837674607400824
2019-07-04 17:17:41.240000+00:00,35.72340279518505,-117.45568120557266,6.54432767,0.42,30,8.533726139434943,-1.8374246188134442
2019-07-04 17:18:07.180000+00:00,35.70730579518505,-117.4899250431514,9.9484094,0.54,31,5.436524157184814,-3.625884745400895
2019-07-04 17:18:44.940000+00:00,35.72778579518505,-117.44262752224463,5.02011197,0.19,32,9.714257770291125,-1.349899613300108
2019-07-04 17:20:54.600000+00:00,35.72284179518505,-117.45916416504534,6.370131590000001,0.48,33,8.21865448639774,-1.899967109983249
2019-07-04 17:27:34.680000+00:00,35.70680579518505,-117.49016900705942,10.15163816,0.83,34,5.414480300063964,-3.681375021777914
2019-07-04 17:30:34.660000+00:00,35.72290679518505,-117.45368716974096,6.704007410000001,0.62,35,8.714195425174221,-1.892282445001352
2019-07-04 17:31:37.560000+00:00,35.70711079518505,-117.48642502907542,9.77421332,0.56,36,5.753274288227865,-3.6473211122303644
2019-07-04 17:31:51.880000+00:00,35.71631079518505,-117.47542369332042,8.46774272,0.73,37,6.748074189285376,-2.6258465961631092
2019-07-04 17:32:52.240000+00:00,35.70786379518505,-117.4914870834311,9.95566757,1.12,38,5.295129362402092,-3.5640580716811403
2019-07-04 17:33:49.040000+00:00,35.705333,-117.503833,10.5,6.4,39,4.178017196477771,-3.845454814579482
2019-07-04 17:35:01.280000+00:00,35.64102579518505,-117.55307126655964,8.56209893,4.49,40,-0.27816638762110624,-10.981507718936578
2019-07-04 17:35:51.840000+00:00,35.69039979518505,-117.50252882330362,2.72653025,4.68,41,4.296843763675561,-5.502288421481513
2019-07-04 17:36:39+00:00,35.78830379518505,-117.51195990168593,0.97005311,3.5,42,3.4389790834935154,5.360197033511279
2019-07-04 17:36:59.360000+00:00,35.75315579518505,-117.58497135657537,4.381393010000001,3.92,43,-3.1629434615933283,1.4602560599838426
2019-07-04 17:37:14.680000+00:00,35.66498379518505,-117.516231991334,3.85880477,4.39,44,3.0574742012146565,-8.322784175231511
2019-07-04 17:37:25.360000+00:00,35.67473379518505,-117.44829669383624,10.69600091,4.23,45,9.20745301184879,-7.236748681188477
