event_time,latitude,longitude,depth_km,magnitude,event_id,x_km,y_km,nearest_segment_id,nearest_fault_id,nearest_fault_distance_km,nearest_point_x_km,nearest_point_y_km,segment_fraction,segment_length_km,distance_along_segment_km,nearest_segment_strike_deg,segment_midpoint_distance_km
2019-07-06 03:19:53.040000+00:00,35.7695,-117.599333,8.0,7.1,4754,-4.460953056509738,3.2742786381525373,14964,745,0.022417595985306453,-4.446414018259616,3.291342195124104,0.6604463790846451,0.013180907486207108,0.008705282622315177,130.43272427172585,0.022517129278590235
2019-07-06 03:21:31.370000+00:00,35.89235279518505,-117.72577746194726,9.52743554,4.56,4755,-15.870265194616813,16.918632471888067,161833,12600,0.5036388727057064,-15.525515413156024,16.551481682316517,1.0,0.0001306247425433971,0.0001306247425433971,129.28044458802628,0.5036565560679965
2019-07-06 03:22:03.160000+00:00,35.92211279518505,-117.72326563147956,7.799991080000001,4.79,4756,-15.637633501823679,20.220315347662606,162285,12719,1.1002049141720056,-15.144246381038021,19.2369435958764,1.0,0.3098901695162894,0.3098901695162894,1.7838130659273634,1.2386641976500363
2019-07-06 03:22:16.710000+00:00,35.74407779518505,-117.55515369994342,5.353987790000001,4.55,4757,-0.4661733039262366,0.4524608550096771,996,255,0.9583404511505959,-1.1892843725607953,-0.17644836159452743,1.0,0.06531623377680577,0.06531623377680577,144.63327492375225,0.962103418695719
2019-07-06 03:22:35.220000+00:00,35.61293379518505,-117.43009524676884,8.01047801,4.85,4758,10.863643153397103,-14.091745548039116,30912,6878,0.7507554923220575,11.34103231966988,-13.512320494061367,0.09758965191562276,0.13230433627772714,0.012911534124270893,129.4851607816283,0.7526409332224828
2019-07-06 03:22:47.830000+00:00,35.89441179518505,-117.73407861194768,9.07017083,4.64,4759,-16.61931317005164,17.14846930336655,161833,12600,1.2461090452592263,-15.525515413156024,16.551481682316517,1.0,0.0001306247425433971,0.0001306247425433971,129.28044458802628,1.2461284094821763
2019-07-06 03:23:19.310000+00:00,35.86643679518505,-117.66689757524152,8.598389780000002,4.86,4760,-10.557666378081256,14.035137117942892,162267,12715,0.5714931708559724,-10.629115910578973,14.602146296564253,0.0,0.3509573385230418,0.0,44.0863363223265,0.6949016338465144
2019-07-06 03:23:34.330000+00:00,35.573374795185046,-117.51004040725608,8.990330960000001,4.42,4761,3.6222144837088055,-18.48677116097815,161952,12621,2.5768304886232567,2.1276604349170407,-16.387637158028717,0.0,0.1307220488665565,0.0,24.653750499545527,2.610023273791236
2019-07-06 03:23:50.080000+00:00,35.79411479518505,-117.59837832289332,9.8758277,4.98,4762,-4.3732781659741375,6.005369155380695,174937,14608,0.8778088553400094,-5.03569576177108,5.429390583477246,1.0,0.14371331553806124,0.14371331553806124,174.54086559276948,0.9214419967159679
2019-07-06 03:24:21.970000+00:00,35.89894379518505,-117.7243049421626,5.93464139,4.79,4763,-15.736014434550954,17.649712554102646,18701,1157,0.8002470980972771,-14.966150418046556,17.868126871638903,1.0,0.005606109978221641,0.005606109978221641,168.79145625019706,0.8004782565532762
2019-07-06 03:25:27.350000+00:00,35.85631279518505,-117.6601988388617,9.81776234,4.61,4764,-9.95393117555334,12.91111339219504,165509,13077,0.8794370525183041,-10.631562173936043,12.350554956906672,0.0,0.06140939134001777,0.0,161.2428936377748,0.8908236166851027
2019-07-06 03:26:03.360000+00:00,35.82887179518505,-117.65259584476172,9.65082443,4.38,4765,-9.270365599740716,9.865622436501813,162291,12722,0.2846354022531211,-9.480145163596523,10.058001870964707,0.651000959634945,0.3988163749138714,0.25962984278706025,42.52254064973708,0.29093635040416627
2019-07-06 03:26:34.110000+00:00,35.55538179518505,-117.68497411756684,1.79748449,3.64,4766,-12.237725321377734,-20.47544129160678,162247,12711,3.204652433476132,-9.815238826594348,-18.377500300545165,0.0,1.1162591561231343,0.0,49.241332875596235,3.762780695768959
2019-07-06 03:26:40.140000+00:00,35.90754979518505,-117.68064556942468,7.516922450000001,3.82,4767,-11.793232875908586,18.5984753228599,162318,12729,0.8385589591686522,-12.628357219788587,18.674293910693045,0.8027574274407168,0.6791644159121715,0.5452042793269317,5.187501356961827,0.8634011606645265
2019-07-06 03:26:51.620000+00:00,35.880417795185046,-117.6357215927697,7.89434729,4.3,4768,-7.740633280684384,15.583510878733522,162259,12714,1.9350429816581822,-9.32742525972594,16.69097760785633,1.0,0.2936155011306275,0.2936155011306275,38.90746484689072,1.9507765257274199
