pair_name,pair_label,pair_sep_km,pair_depth_diff_km,pair_time_sep_days,n_events,n_between_mainshocks,n_corridor,n_outer_band,corridor_fraction,ambiguous_fraction,m4_n_events,m4_between_count,m4_corridor_count,m4_outer_count,m4_ambiguous_fraction,m4_corridor_fraction,m4_shared_fraction,m4_post_pre_a_ratio,m4_post_pre_b_ratio,m5_n_events,m5_outer_count,m4_temporal_effect_between,m4_temporal_effect_corridor_between,m4_between_count_control_pct,m4_corridor_between_control_pct,m4_geometric_corridor_effect,m4_pseudo_corridor_pct,m4_corridor_vs_sideband_control_ratio,distance_link_score,depth_penalty,time_penalty,stable_fraction,raw_signal_level,control_screen,distance_plausibility_screen
M1_M2,M1-M2,202.5897967686855,37.6,29.25799699074074,11688,3483,3190,6174,0.2729295003422313,0.1030116358658453,156,68,80,61,0.1217948717948717,0.5128205128205128,0.0,3.0,4.916666666666667,45,14,45.0,43.0,0.8416666666666667,0.8416666666666667,92.0,0.925,2.4031007751937983,0.0,0.94,0.1625444277263374,0.779507603186097,high,survives_controls,not_local_linkage_plausible
M1_M3,M1-M3,57.37913731731847,3.4999999999999982,161.99257893518518,21847,16643,3634,10230,0.1663386277292076,0.2470819792191147,257,188,92,161,0.5136186770428015,0.357976653696498,0.5136186770428015,3.0,5.333333333333333,68,46,0.0,-5.0,0.5916666666666667,0.25,35.5,0.975,1.9166666666666667,0.6812270149037862,0.0874999999999999,0.8999587718621399,1.0,high,partly_weakened,nearby_plausible
M2_M3,M2-M3,145.22377590544454,-34.1,132.73458194444444,20971,13161,2112,14128,0.1007105049830718,0.0372895903867245,247,121,26,178,0.0647773279352226,0.1052631578947368,0.0,4.916666666666667,5.333333333333333,67,49,-31.5,1.0,0.375,0.8583333333333333,2.0,0.5583333333333333,0.7222222222222222,0.1932012449697525,0.8525,0.7374143441358024,0.9656046343229544,high,partly_weakened,not_local_linkage_plausible
