domain_label,domain_flag_column,split_latitude_deg,period_days,event_count,success_flag,failure_reason,p_fit,c_fit,k_fit,log_likelihood,t_min_used_days,t_max_used_days,sum_log_t,low_count_open_circle,bootstrap_replicates_requested,bootstrap_success_count,bootstrap_failure_count,bootstrap_success_fraction,bootstrap_p_median,bootstrap_p_q025,bootstrap_p_q975,bootstrap_warning
Entire area,in_entire_corridor,,0.3,70,True,,0.8262732213471345,0.0017212726426608465,27.35182881769538,345.6574529343508,0.0014212962962962,0.3,-222.73820645741588,False,1000,1000,0,1.0,0.8399128267668043,0.6326097554963829,2.5,
Entire area,in_entire_corridor,,0.5,81,True,,0.8418641392193955,0.0019492571965117444,26.12737434544332,378.6319086746838,0.0014212962962962,0.5,-232.02109315441186,False,1000,1000,0,1.0,0.8446215731256004,0.6724485321630728,1.525978605794706,
Entire area,in_entire_corridor,,0.68,89,True,,0.8285364712323507,0.001719962580259772,27.049562574923474,401.03184373961386,0.0014212962962962,0.68,-237.21241770483854,False,1000,999,1,0.999,0.8348636923651327,0.6766061791286495,1.2228966040990157,
Entire area,in_entire_corridor,,0.732,92,True,,0.804140126277654,0.001299856270104702,28.7574646982424,409.90120070050597,0.0014212962962962,0.732,-239.86197912183374,False,1000,999,1,0.999,0.8149431782150592,0.6652392125781037,1.1532841436453631,
Entire area,in_entire_corridor,,0.85,105,True,,0.6936455319919865,9.999999999999997e-06,39.37438175022076,453.6853381193023,0.0014212962962962,0.85,-249.4187789275829,False,1000,1000,0,1.0,0.7154824303486094,0.5896819626116911,0.8692833960763849,
Entire area,in_entire_corridor,,1.0,107,True,,0.7322695412740456,0.0003038688804503024,35.02007868294346,455.15978325363676,0.0014212962962962,1.0,-248.10013885927668,False,1000,999,1,0.999,0.7558819048553169,0.6169803526482721,0.9496036258333663,
Entire area,in_entire_corridor,,1.1,108,True,,0.7622202118964881,0.0007360079223979237,32.47455770700909,455.4133282431528,0.0014212962962962,1.1,-246.02336106460123,False,1000,1000,0,1.0,0.7753729689195504,0.6615937966377123,0.9683794618369389,
Entire area,in_entire_corridor,,1.22,109,True,,0.7950174038233468,0.0012922576790321179,30.029747049575192,455.3677567179841,0.0014212962962962,1.22,-243.427645468812,False,1000,1000,0,1.0,0.800832451792012,0.6789020593004144,1.0336580846617607,
Entire area,in_entire_corridor,,1.404,115,True,,0.7763156641369061,0.0009609721296987734,31.36894382300939,470.1538308170418,0.0014212962962962,1.404,-243.30917037761202,False,1000,999,1,0.999,0.7877199683646836,0.6661481756171438,0.9624540381169581,
Northern area,north_35p72,35.72,0.3,19,True,,0.9937289092068967,9.999999999999997e-06,3.959658888967378,75.98897171259603,0.0022027777777777,0.3,-69.27641060761226,True,1000,1000,0,1.0,1.0499652531080828,0.6846940219452996,1.5626172783124777,
Northern area,north_35p72,35.72,0.5,24,True,,0.8683195429756161,9.999999999999997e-06,6.786264362772232,86.21920015655408,0.0022027777777777,0.5,-74.00683968466707,False,1000,1000,0,1.0,0.8927316900795199,0.5622413442352603,1.193844408496974,
Northern area,north_35p72,35.72,0.68,27,True,,0.8336091696854758,9.999999999999997e-06,7.796152043157787,91.50040213482501,0.0022027777777777,0.68,-75.63782496064685,False,1000,1000,0,1.0,0.8583920657990463,0.5668107177094678,1.139718057790443,
Northern area,north_35p72,35.72,0.732,29,True,,0.7870314940621752,9.999999999999997e-06,9.305125961892815,95.71465615506146,0.0022027777777777,0.732,-76.27173654998377,False,1000,1000,0,1.0,0.8046837768355285,0.5033596789425473,1.0556176343426784,
Northern area,north_35p72,35.72,0.85,39,True,,0.5875791211323897,9.999999999999997e-06,18.816071385820056,121.92265645006933,0.0022027777777777,0.85,-79.08537168948665,False,1000,1000,0,1.0,0.5936383460636981,0.27113422128685966,0.8447737200712412,
Northern area,north_35p72,35.72,1.0,40,True,,0.6252409845420339,9.999999999999997e-06,16.677307254747724,122.0900154898984,0.0022027777777777,1.0,-79.21434899681782,False,1000,1000,0,1.0,0.6270601854543018,0.358448536927616,0.8701097213654743,
Northern area,north_35p72,35.72,1.1,41,True,,0.6372048281379943,9.999999999999997e-06,16.05714062526741,123.2866062773088,0.0022027777777777,1.1,-79.19636578873042,False,1000,1000,0,1.0,0.6498030643097108,0.3877890895691455,0.8728533472077947,
Northern area,north_35p72,35.72,1.22,42,True,,0.6504379249453337,9.999999999999997e-06,15.389780302223205,124.20307292735066,0.0022027777777777,1.22,-79.0044933054893,False,1000,1000,0,1.0,0.6590843341356072,0.41671885245576856,0.862786645951182,
Northern area,north_35p72,35.72,1.404,47,True,,0.608567133705574,9.999999999999997e-06,17.50963412835056,134.86792890791583,0.0022027777777777,1.404,-77.75414984965245,False,1000,1000,0,1.0,0.6112013096382012,0.36156560666688536,0.8097526378214731,
Southern area,south_35p72,35.72,0.3,51,True,,1.5230739884137205,0.042469288604180006,7.895571556865848,231.43432905569358,0.0014212962962962,0.3,-116.24709394870769,False,1000,1000,0,1.0,1.5109805091435151,0.5979301696806197,2.5,
Southern area,south_35p72,35.72,0.5,57,True,,1.3662929916108952,0.032261370356599775,9.478522299463867,245.5943833429684,0.0014212962962962,0.5,-127.64448327511397,False,1000,1000,0,1.0,1.3599554444796331,0.6840745030916783,2.5,
Southern area,south_35p72,35.72,0.68,62,True,,1.1541774331495034,0.019947673978426977,12.698726651824954,257.07754534739206,0.0014212962962962,0.68,-139.9303380667894,False,1000,1000,0,1.0,1.1400611812360109,0.6926664044932341,2.5,
Southern area,south_35p72,35.72,0.732,63,True,,1.1507484115576763,0.019768357175394963,12.766501978385511,259.04805088604047,0.0014212962962962,0.732,-140.42869204606848,False,1000,999,1,0.999,1.1108503593388117,0.7215708951745136,2.5,
Southern area,south_35p72,35.72,0.85,66,True,,1.062201030346052,0.014946620881458341,14.535742107057237,265.6073946380924,0.0014212962962962,0.85,-145.8773728511153,False,1000,1000,0,1.0,1.0382581667506936,0.6957604272005251,2.0987730567078446,
Southern area,south_35p72,35.72,1.0,67,True,,1.1636424674343002,0.02070778913799352,12.616620556045557,266.10767995136086,0.0014212962962962,1.0,-140.30226386275905,False,1000,1000,0,1.0,1.1535485289564786,0.7334698188347025,2.2177764571605683,
Southern area,south_35p72,35.72,1.1,67,True,,1.2729563682547247,0.027721474026016393,11.035548785591695,265.02615920103483,0.0014212962962962,1.1,-134.45158442997518,False,1000,999,1,0.999,1.2583347360851151,0.7810819561208457,2.4612865582029597,
Southern area,south_35p72,35.72,1.22,67,True,,1.3928953036898304,0.03627952286988039,9.709885447179818,264.04290216232596,0.0014212962962962,1.22,-128.32423313183253,False,1000,999,1,0.999,1.3742786024251588,0.8169607442019073,2.5,
