period_days,north_success_flag,south_success_flag,north_event_count,south_event_count,north_p_fit,south_p_fit,north_minus_south_p_fit,north_bootstrap_p_median,south_bootstrap_p_median,north_minus_south_bootstrap_median,bootstrap_interval_overlap_flag,north_low_count_open_circle,later_period_flag
0.3,True,True,19,51,0.9937289092068967,1.5230739884137205,-0.5293450792068238,1.0499652531080828,1.5109805091435151,-0.46101525603543236,True,True,False
0.5,True,True,24,57,0.8683195429756161,1.3662929916108952,-0.49797344863527915,0.8927316900795199,1.3599554444796331,-0.4672237544001132,True,False,False
0.68,True,True,27,62,0.8336091696854758,1.1541774331495034,-0.32056826346402756,0.8583920657990463,1.1400611812360109,-0.2816691154369646,True,False,False
0.732,True,True,29,63,0.7870314940621752,1.1507484115576763,-0.36371691749550106,0.8046837768355285,1.1108503593388117,-0.3061665825032832,True,False,False
0.85,True,True,39,66,0.5875791211323897,1.062201030346052,-0.4746219092136623,0.5936383460636981,1.0382581667506936,-0.44461982068699546,True,False,False
1.0,True,True,40,67,0.6252409845420339,1.1636424674343002,-0.5384014828922663,0.6270601854543018,1.1535485289564786,-0.5264883435021769,True,False,False
1.1,True,True,41,67,0.6372048281379943,1.2729563682547247,-0.6357515401167304,0.6498030643097108,1.2583347360851151,-0.6085316717754043,True,False,True
1.22,True,True,42,67,0.6504379249453337,1.3928953036898304,-0.7424573787444967,0.6590843341356072,1.3742786024251588,-0.7151942682895516,True,False,True
1.404,True,True,47,68,0.608567133705574,1.414814845833784,-0.8062477121282099,0.6112013096382012,1.4058680549543445,-0.7946667453161433,False,False,True
