bin_left_day,bin_right_day,bin_mid_day,bin_width_day,count,observed_rate_day_inv,fitted_rate_day_inv
0.0014212962962962,0.00252488439358375,0.0018943623827495787,0.00110358809728755,4,3624.540722966645,2962.8742966333502
0.00252488439358375,0.0044853710078438195,0.003365270161092253,0.0019604866142600695,3,1530.2323301667966,2145.9721470910567
0.0044853710078438195,0.007968108610885821,0.005978287660410625,0.0034827376030420014,6,1722.7826738251233,1487.0388487494529
0.007968108610885821,0.014155073175405767,0.01062022412459688,0.006186964564519946,7,1131.4110379979425,999.1678357730876
0.014155073175405767,0.025146004702716634,0.018866465928627212,0.010990931527310868,3,272.95229640412515,658.2009508262902
0.025146004702716634,0.04467101968838258,0.03351563323524137,0.019525014985665945,7,358.51444954787314,428.39316914949836
0.04467101968838258,0.079356542862027,0.059539379309760894,0.034685523173644414,17,490.1180217145275,276.84731980115646
0.079356542862027,0.14097419174540315,0.10576967660763503,0.06161764888337616,9,146.0620481809411,178.17807022473298
0.14097419174540315,0.2504358433660987,0.1878962229599471,0.10946165162069554,9,82.22057557825485,114.40599216260351
0.2504358433660987,0.44489073401291024,0.3337912314280977,0.19445489064681154,13,66.85355126198344,73.36087983445837
0.44489073401291024,0.7903332148873199,0.5929687378656676,0.34544248087440965,23,66.58127263844531,47.00595939195296
0.7903332148873199,1.404,1.0533887381692464,0.61366678511268,14,22.813683809576485,30.106240525161724
