source_row_index,event_time,latitude,longitude,depth_km,magnitude,t_days,x_km,y_km,along_strike_km,cross_strike_km,in_entire_corridor,north_35p70,south_35p70,on_split_35p70,north_35p72,south_35p72,on_split_35p72,north_35p74,south_35p74,on_split_35p74
40,2019-07-04T17:35:01.280000Z,35.64102579518505,-117.55307126655964,8.56209893,4.49,0.000836111111111111,-0.3536569260333501,-9.7048118943517,32.19768255999456,-6.79443836186358,False,False,False,False,False,False,False,False,False,False
41,2019-07-04T17:35:51.840000Z,35.69039979518505,-117.50252882330362,2.72653025,4.68,0.0014212962962962964,4.221399473627335,-4.225631640747207,31.18757567290368,0.2718365682687823,True,False,True,False,False,True,False,False,True,False
42,2019-07-04T17:36:39.000000Z,35.78830379518505,-117.51195990168593,0.97005311,3.5,0.00196712962962963,3.3636275200752745,6.636861145717806,22.541591128056705,6.903312535998155,False,False,False,False,False,False,False,False,False,False
43,2019-07-04T17:36:59.360000Z,35.75315579518505,-117.58497135657537,4.381393010000001,3.92,0.002202777777777778,-3.238328462611736,2.7369762930786883,21.021766356262344,-0.6123416154527388,True,True,False,False,True,False,False,True,False,False
44,2019-07-04T17:37:14.680000Z,35.66498379518505,-117.516231991334,3.85880477,4.39,0.0023800925925925925,2.9820059440447433,-7.046116768570521,32.45412658125666,-2.5365582533319726,True,False,True,False,False,True,False,False,True,False
45,2019-07-04T17:37:25.360000Z,35.67473379518505,-117.44829669383624,10.69600091,4.23,0.0025037037037037037,9.131993580781982,-5.960134287716136,35.76253459359433,2.7602466613919407,True,False,True,False,False,True,False,False,True,False
46,2019-07-04T17:37:55.240000Z,35.74354879518505,-117.54216566168876,6.776589110000001,4.05,0.0028495370370370367,0.6332587434912735,1.6704695435955013,24.405057524336712,1.5509810634797563,True,True,False,False,True,False,False,True,False,False
47,2019-07-04T17:38:21.200000Z,35.71408879518505,-117.46911653286318,3.33621653,3.63,0.0031500000000000005,7.243561916074198,-1.5953028625159134,31.255312744663772,4.277770541668433,False,False,False,False,False,False,False,False,False,False
48,2019-07-04T17:38:46.400000Z,35.67151879518505,-117.54611546215324,12.55409243,3.67,0.0034416666666666667,0.27622914974599877,-6.321535731195089,30.105051913024063,-4.0623675282276235,False,False,False,False,False,False,False,False,False,False
49,2019-07-04T17:39:34.940000Z,35.68612679518505,-117.48213451514764,9.78147149,4.04,0.004003472222222222,6.06770941763658,-4.698665810899889,32.77459190133241,1.327299133300489,True,False,True,False,False,True,False,False,True,False
50,2019-07-04T17:40:01.960000Z,35.72417979518505,-117.56103626170596,6.5733603500000015,3.98,0.004316203703703704,-1.0739357604014323,-0.478557570133353,24.859603794877323,-1.1557177187272463,True,True,False,False,True,False,False,False,True,False
51,2019-07-04T17:40:18.000000Z,35.70671979518505,-117.4937740008517,9.63630809,4.55,0.0045018518518518515,5.012818540128236,-2.4144599958534214,30.371279314274805,2.071932988180136,True,True,False,False,False,True,False,False,True,False
52,2019-07-04T17:41:21.000000Z,35.73904479518505,-117.53262733602214,4.49026556,3.46,0.0052310185185185185,1.496129398694713,1.1708352842256242,25.353748992897582,1.8578436682837896,True,True,False,False,True,False,False,False,True,False
53,2019-07-04T17:41:43.360000Z,35.61189179518505,-117.58173917190378,6.6604583900000005,2.81,0.0054898148148148146,-2.951196673362098,-12.936807759094856,32.86119429356441,-10.887452188872315,False,False,False,False,False,False,False,False,False,False
54,2019-07-04T17:42:21.480000Z,35.57485179518505,-117.63260751317428,8.816134880000002,3.21,0.0059310185185185195,-7.563530713819949,-17.043727946919013,32.82662093502366,-17.06314837738443,False,False,False,False,False,False,False,False,False,False
55,2019-07-04T17:42:53.820000Z,35.72963279518505,-117.551848655711,6.950785190000001,3.36,0.0063053240740740734,-0.24265580902546582,0.12641265880438438,24.966317098812816,-0.1331583775524754,True,True,False,False,True,False,False,False,True,False
56,2019-07-04T17:43:29.200000Z,35.65521879518505,-117.52899928808988,9.839536850000002,3.63,0.006714814814814814,1.826232577371691,-8.129882648625646,32.48606694539307,-4.120648014368652,False,False,False,False,False,False,False,False,False,False
57,2019-07-04T17:43:48.940000Z,35.74395579518505,-117.53507669112088,5.593507400000001,3.16,0.006943287037037037,1.2744829743532753,1.7156968512152155,24.800539053931757,2.0577437133941503,True,True,False,False,True,False,False,True,False,False
58,2019-07-04T17:44:32.580000Z,35.68564679518505,-117.49931448053552,3.53944529,4.02,0.0074483796296296294,4.512612773408186,-4.75284929548572,31.77422661570399,0.13543894091136066,True,False,True,False,False,True,False,False,True,False
59,2019-07-04T17:45:05.640000Z,35.69487979518505,-117.47712214645765,4.766076020000001,3.21,0.007831018518518518,6.5207143647191135,-3.727170450514439,32.35580650131319,2.314028835935638,True,False,True,False,False,True,False,False,True,False
60,2019-07-04T17:45:23.600000Z,35.70646379518505,-117.53111898237304,5.615281910000001,3.07,0.008038888888888889,1.6332396253226582,-2.444128668276049,28.131801839996655,-0.4593067305589852,True,True,False,False,False,True,False,False,True,False
61,2019-07-04T17:45:28.760000Z,35.71193279518505,-117.54972337718884,0.97005311,3.18,0.008098611111111112,-0.050392069405485455,-1.83747336141799,26.554350872859757,-1.3044663551927513,True,True,False,False,False,True,False,False,True,False
62,2019-07-04T17:46:03.260000Z,35.637526795185046,-117.60167101483177,10.7468081,3.07,0.008497916666666668,-4.755570959840967,-10.091769672663604,29.539589346105476,-10.324470082614166,False,False,False,False,False,False,False,False,False,False
63,2019-07-04T17:46:20.160000Z,35.65781479518505,-117.52207447501245,4.99833746,2.88,0.008693518518518519,2.4532263815644795,-7.841698656024326,32.691483219088305,-3.4618799227089667,True,False,True,False,False,True,False,False,True,False
64,2019-07-04T17:46:49.500000Z,35.63425079518505,-117.60230577918657,11.01536039,3.24,0.009033101851851853,-4.813260987256794,-10.455218346676658,29.77106569502931,-10.610550102528132,False,False,False,False,False,False,False,False,False,False
65,2019-07-04T17:47:17.540000Z,35.74410179518505,-117.536338701679,6.44271329,3.76,0.00935763888888889,1.160326648900339,1.7318805131524608,24.71212249244188,1.9837431106336143,True,True,False,False,True,False,False,True,False,False
66,2019-07-04T17:47:40.720000Z,35.72343579518505,-117.55573020795666,4.5338145800000005,3.05,0.009625925925925925,-0.5938675454943941,-0.5611523575506172,25.24222939715557,-0.8542462634387886,True,True,False,False,True,False,False,False,True,False
67,2019-07-04T17:47:54.600000Z,35.72312679518505,-117.55507018563394,4.6426871300000006,3.77,0.009786574074074074,-0.5341524728784021,-0.595440900048886,25.307669168164196,-0.8328166014132762,True,True,False,False,True,False,False,False,True,False
68,2019-07-04T17:48:15.360000Z,35.70904779518505,-117.5001051689028,6.19593551,3.11,0.010026851851851853,4.439741930054019,-2.1564649557998923,29.796073939317168,1.818719603213584,True,True,False,False,False,True,False,False,True,False
