mainshock_id,window_days,side,all_event_count,distance_time_slope_km_per_day,distance_time_spearman,m4plus_count,m4plus_distance_time_slope_km_per_day,m4plus_distance_time_spearman,monotonic_progression_supported
M1,7,pre,568,4.355418906244554,0.10407265568284409,21,7.000091794774258,0.31428571428571433,False
M1,7,post,1803,0.8941440095342333,0.1584742493980281,55,2.346327080283487,0.4165945165945167,False
M1,14,pre,595,4.855602480445765,0.19716054003460246,21,7.000091794774258,0.31428571428571433,False
M1,14,post,2442,1.7895151855806288,0.33766406112630887,61,2.738050924069093,0.5505023796932839,False
M1,25,pre,641,3.4678500543605666,0.3385457976730285,21,7.000091794774258,0.31428571428571433,False
M1,25,post,2862,0.9593369734301356,0.29456632315166836,63,1.4357062631706172,0.5535714285714286,False
M2,7,pre,40,-0.5204473097342263,0.006754221388367731,0,,,False
M2,7,post,3465,1.8236185242940335,0.07132075808369037,45,-1.1840132881536871,-0.22371541501976283,False
M2,14,pre,66,-1.2331804914509026,-0.17879135789583553,0,,,False
M2,14,post,4787,0.6945224812387742,0.05848972044188367,49,-1.4681182367535746,-0.23806122448979591,False
M2,25,pre,139,-0.8935512757050837,-0.22959917780061662,1,,,False
M2,25,post,5745,0.12184923055765516,0.010450356160161366,53,-0.8850943196374118,-0.2801161103047895,False
M3,7,pre,202,1.125563835480518,0.0450221700355463,1,,,False
M3,7,post,2959,2.023347369226006,0.14865494414194808,43,2.549767614183928,0.3346421020839625,False
M3,14,pre,360,-0.17794820124912167,-0.06766950362271314,2,,,False
M3,14,post,3773,1.448275102024714,0.20783890333831198,47,2.240414795738206,0.45663737280296024,False
M3,25,pre,1077,-0.4249689418412992,-0.1756343958262014,17,1.0748849714133448,0.03921568627450981,False
M3,25,post,3773,1.448275102024714,0.20783890333831198,47,2.240414795738206,0.45663737280296024,False
