origin_time,latitude,longitude,depth_km,magnitude,event_id,mainshock_id,mainshock_time,mainshock_latitude,mainshock_longitude,mainshock_depth_km,mainshock_magnitude,relative_time_seconds,relative_time_hours,relative_time_days,epicentral_distance_km,depth_diff_km,abs_depth_diff_km,hypocentral_distance_km,distance_band,within_30km,within_60km,within_100km,prepost_flag,magnitude_bin,is_m4plus,is_m5plus,is_m6plus,mag_to_mainshock_gap,is_mainshock_like_event,window_pm7d,window_pm14d,window_pm25d,overlap_mainshock_count_pm25d_100km,shared_across_mainshocks_pm25d_100km
2025-11-03 07:07:22.280000+00:00,39.484253,142.624463,16.82,1.7,EVT_000773,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-521776.96,-144.93804444444444,-6.0390851851851854,76.33384031610518,0.9199999999999999,0.9199999999999999,76.33938418277059,60-100 km,False,False,True,pre,<4,False,False,False,5.2,False,True,True,True,1,False
2025-11-03 07:21:05.380000+00:00,39.405591,142.533984,32.48,1.3,EVT_000774,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-520953.86,-144.70940555555555,-6.029558564814814,83.60147766563357,16.58,16.58,85.22971000700066,60-100 km,False,False,True,pre,<4,False,False,False,5.6000000000000005,False,True,True,True,1,False
2025-11-03 09:20:44.660000+00:00,39.146663,143.316048,8.44,2.2,EVT_000777,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-513774.58,-142.71516111111112,-5.9464650462962965,32.80679412402398,-7.460000000000001,7.460000000000001,33.64427649238566,30-60 km,False,True,True,pre,<4,False,False,False,4.7,False,True,True,True,1,False
2025-11-03 09:31:38.850000+00:00,39.618327,143.24196,13.03,1.9,EVT_000778,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-513120.39,-142.53344166666668,-5.9388934027777776,33.099848238026425,-2.870000000000001,2.870000000000001,33.224040292841885,30-60 km,False,True,True,pre,<4,False,False,False,5.0,False,True,True,True,1,False
2025-11-03 10:08:59.240000+00:00,39.938806,143.621354,14.67,3.6,EVT_000780,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-510880.0,-141.9111111111111,-5.912962962962963,60.48721065843255,-1.2300000000000004,1.2300000000000004,60.4997153153434,60-100 km,False,False,True,pre,<4,False,False,False,3.3000000000000003,False,True,True,True,1,False
2025-11-03 10:17:58.590000+00:00,39.941085,143.619482,13.6,4.9,EVT_000782,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-510340.65,-141.76129166666666,-5.906720486111111,60.711659918968635,-2.3000000000000007,2.3000000000000007,60.75521088858554,60-100 km,False,False,True,pre,4-<5,True,False,False,2.0,False,True,True,True,1,False
2025-11-03 11:26:02.720000+00:00,39.916618,143.623112,12.04,2.0,EVT_000785,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-506256.52,-140.62681111111112,-5.859450462962963,58.079734534636465,-3.860000000000001,3.860000000000001,58.207861699377375,30-60 km,False,True,True,pre,<4,False,False,False,4.9,False,True,True,True,1,False
2025-11-03 12:50:03.960000+00:00,39.187512,142.461377,27.68,1.9,EVT_000786,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-501215.28,-139.22646666666668,-5.801102777777778,93.08612275681742,11.78,11.78,93.8285385684829,60-100 km,False,False,True,pre,<4,False,False,False,5.0,False,True,True,True,1,False
2025-11-03 18:14:47.300000+00:00,39.465889,142.461003,32.68,1.1,EVT_000789,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-481731.94,-133.81442777777778,-5.575601157407408,90.11249933451562,16.78,16.78,91.66150193136198,60-100 km,False,False,True,pre,<4,False,False,False,5.800000000000001,False,True,True,True,1,False
2025-11-03 19:14:41.040000+00:00,39.350476,143.562712,13.92,3.6,EVT_000790,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-478138.2,-132.81616666666667,-5.534006944444444,7.466913718566727,-1.9800000000000004,1.9800000000000004,7.724972522962136,0-30 km,True,True,True,pre,<4,False,False,False,3.3000000000000003,False,True,True,True,1,False
2025-11-03 19:16:06.620000+00:00,39.354199,143.553809,12.21,5.3,EVT_000791,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-478052.62,-132.79239444444445,-5.533016435185185,6.666216834588217,-3.6899999999999995,3.6899999999999995,7.619353442763194,0-30 km,True,True,True,pre,5-<6,True,True,False,1.6000000000000005,False,True,True,True,1,False
2025-11-03 19:23:57.560000+00:00,39.366972,143.546208,11.54,2.1,EVT_000792,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-477581.68,-132.66157777777778,-5.527565740740741,5.150255243252888,-4.360000000000001,4.360000000000001,6.747942580568826,0-30 km,True,True,True,pre,<4,False,False,False,4.800000000000001,False,True,True,True,1,False
2025-11-03 19:25:02.880000+00:00,39.3571,143.556348,10.26,1.7,EVT_000793,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-477516.36,-132.64343333333332,-5.526809722222222,6.551048929926782,-5.640000000000001,5.640000000000001,8.64441103154488,0-30 km,True,True,True,pre,<4,False,False,False,5.2,False,True,True,True,1,False
2025-11-03 19:32:35.920000+00:00,39.371102,143.552686,9.61,1.3,EVT_000794,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-477063.32,-132.5175888888889,-5.521566203703704,5.217253822722964,-6.290000000000001,6.290000000000001,8.172137875165676,0-30 km,True,True,True,pre,<4,False,False,False,5.6000000000000005,False,True,True,True,1,False
2025-11-03 19:34:08.560000+00:00,39.356156,143.5479,12.46,1.3,EVT_000795,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-476970.68,-132.49185555555556,-5.520493981481481,6.192204664164973,-3.4399999999999995,3.4399999999999995,7.083572446365354,0-30 km,True,True,True,pre,<4,False,False,False,5.6000000000000005,False,True,True,True,1,False
2025-11-03 19:36:54.880000+00:00,39.359595,143.57041,8.31,1.4,EVT_000796,M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,-476804.36,-132.44565555555556,-5.518568981481481,7.206607388278344,-7.59,7.59,10.46629304237121,0-30 km,True,True,True,pre,<4,False,False,False,5.5,False,True,True,True,1,False
