mainshock_id,window_days,space_type,space_label,space_value_km,side,event_count,event_rate_per_day,m4plus_count,m4plus_rate_per_day,m5plus_count,m5plus_rate_per_day,m6plus_count,m6plus_rate_per_day,magbin_<4_count,magbin_4_5_count,magbin_5_6_count,magbin_ge6_count,largest_event_mag,largest_event_time,largest_event_distance_km,largest_event_depth_diff_km
M2,14,cumulative_radius,<=30 km,30.0,pre,10,0.7142857142857143,0,0.0,0,0.0,0,0.0,10,0,0,0,1.9,2025-11-29 07:50:01.800000+00:00,27.90502645261207,-11.409999999999997
M2,14,cumulative_radius,<=30 km,30.0,post,765,54.642857142857146,5,0.35714285714285715,2,0.14285714285714285,0,0.0,760,3,2,0,5.9,2025-12-08 14:33:39.270000+00:00,26.685215737230994,-11.869999999999997
M2,14,cumulative_radius,<=60 km,60.0,pre,25,1.7857142857142858,0,0.0,0,0.0,0,0.0,25,0,0,0,3.0,2025-12-07 14:13:58.830000+00:00,45.188084292306215,-27.34
M2,14,cumulative_radius,<=60 km,60.0,post,2578,184.14285714285714,27,1.9285714285714286,7,0.5,2,0.14285714285714285,2551,20,5,2,6.9,2025-12-12 02:44:13.420000+00:00,57.32449271180654,-37.0
M2,14,cumulative_radius,<=100 km,100.0,pre,66,4.714285714285714,0,0.0,0,0.0,0,0.0,66,0,0,0,3.3,2025-12-07 09:32:59.860000+00:00,69.74846334174308,0.7800000000000011
M2,14,cumulative_radius,<=100 km,100.0,post,4787,341.92857142857144,49,3.5,11,0.7857142857142857,4,0.2857142857142857,4738,38,7,4,6.9,2025-12-12 02:44:13.420000+00:00,57.32449271180654,-37.0
M2,25,cumulative_radius,<=30 km,30.0,pre,49,1.96,1,0.04,0,0.0,0,0.0,48,1,0,0,4.8,2025-11-18 08:21:20.980000+00:00,28.132550047741386,-9.049999999999997
M2,25,cumulative_radius,<=30 km,30.0,post,885,35.4,5,0.2,2,0.08,0,0.0,880,3,2,0,5.9,2025-12-08 14:33:39.270000+00:00,26.685215737230994,-11.869999999999997
M2,25,cumulative_radius,<=60 km,60.0,pre,68,2.72,1,0.04,0,0.0,0,0.0,67,1,0,0,4.8,2025-11-18 08:21:20.980000+00:00,28.132550047741386,-9.049999999999997
M2,25,cumulative_radius,<=60 km,60.0,post,3183,127.32,30,1.2,8,0.32,2,0.08,3153,22,6,2,6.9,2025-12-12 02:44:13.420000+00:00,57.32449271180654,-37.0
