global_window_id,window_family,stage_label,window_index,window_label,start_time,end_time,n_events,dbscan_eps_km,dbscan_min_samples,n_clusters,n_noise_events,clustered_event_fraction,dominant_cluster_fraction,dominant_cluster_event_count,dominant_cluster_centroid_longitude,dominant_cluster_centroid_latitude,dominant_cluster_centroid_x_km_local,dominant_cluster_centroid_y_km_local,dominant_cluster_azimuth_from_mainshock64_deg,dominant_cluster_distance_from_mainshock64_km,dominant_cluster_along_strike_km,dominant_cluster_cross_strike_km,cluster_size_json,cluster_centroids_json,cluster_azimuths_from_mainshock64_json
10,post64_hourly,1h_mainshock64_to_mainshock71,10,post64_hourly_1h_mainshock64_to_mainshock71_0010,2019-07-05T03:33:49.040000Z,2019-07-05T04:33:49.040000Z,138,2.5,12,2,19,0.8623188405797102,0.6231884057971014,86,-117.51575989241756,35.70036157425482,1.2313531089699483,-10.108143775480945,257.74377655772463,2.0158174270830482,1.1802939890886934,1.6341438121085976,"[{""cluster_id"": 0, ""n_events"": 86}, {""cluster_id"": 1, ""n_events"": 33}]","[{""along_strike_km"": 1.1802939890886934, ""cluster_id"": 0, ""cross_strike_km"": 1.6341438121085976, ""latitude"": 35.70036157425482, ""longitude"": -117.51575989241756, ""n_events"": 86, ""x_km_local"": 1.2313531089699483, ""y_km_local"": -10.108143775480945}, {""along_strike_km"": -1.0931763682198694, ""cluster_id"": 1, ""cross_strike_km"": 15.231227883489822, ""latitude"": 35.595696643669896, ""longitude"": -117.59768449430567, ""n_events"": 33, ""x_km_local"": -6.1579261181375635, ""y_km_local"": -21.74635305412889}]","[{""azimuth_from_mainshock64_deg"": 257.74377655772463, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 2.0158174270830482}, {""azimuth_from_mainshock64_deg"": 217.79910699617304, ""cluster_id"": 1, ""distance_from_mainshock64_km"": 15.270407244433011}]"
11,post64_hourly,1h_mainshock64_to_mainshock71,11,post64_hourly_1h_mainshock64_to_mainshock71_0011,2019-07-05T04:33:49.040000Z,2019-07-05T05:33:49.040000Z,149,2.5,12,2,16,0.8926174496644296,0.6644295302013423,99,-117.51190236736817,35.69694185579112,1.5792868072561137,-10.488399119197878,243.51381843382,1.8121377775013006,0.6673722185112819,1.6847722833091372,"[{""cluster_id"": 0, ""n_events"": 99}, {""cluster_id"": 1, ""n_events"": 34}]","[{""along_strike_km"": 0.6673722185112819, ""cluster_id"": 0, ""cross_strike_km"": 1.6847722833091372, ""latitude"": 35.69694185579112, ""longitude"": -117.51190236736817, ""n_events"": 99, ""x_km_local"": 1.5792868072561137, ""y_km_local"": -10.488399119197878}, {""along_strike_km"": -1.066228676440529, ""cluster_id"": 1, ""cross_strike_km"": 14.660302122940326, ""latitude"": 35.59967988342034, ""longitude"": -117.59367923672326, ""n_events"": 34, ""x_km_local"": -5.796667522174348, ""y_km_local"": -21.303437002270368}]","[{""azimuth_from_mainshock64_deg"": 243.51381843382, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 1.8121377775013006}, {""azimuth_from_mainshock64_deg"": 217.74456392814588, ""cluster_id"": 1, ""distance_from_mainshock64_km"": 14.699023842635016}]"
12,post64_hourly,1h_mainshock64_to_mainshock71,12,post64_hourly_1h_mainshock64_to_mainshock71_0012,2019-07-05T05:33:49.040000Z,2019-07-05T06:33:49.040000Z,131,2.5,12,2,28,0.7862595419847328,0.7022900763358778,92,-117.51465453574085,35.69482731692417,1.3310519654974555,-10.723525113393297,240.84433375349062,2.1415042398222943,0.695085890385662,2.025560666621377,"[{""cluster_id"": 0, ""n_events"": 92}, {""cluster_id"": 1, ""n_events"": 11}]","[{""along_strike_km"": 0.695085890385662, ""cluster_id"": 0, ""cross_strike_km"": 2.025560666621377, ""latitude"": 35.69482731692417, ""longitude"": -117.51465453574085, ""n_events"": 92, ""x_km_local"": 1.3310519654974555, ""y_km_local"": -10.723525113393297}, {""along_strike_km"": -0.0961417409505545, ""cluster_id"": 1, ""cross_strike_km"": 11.220333379542758, ""latitude"": 35.62853143154869, ""longitude"": -117.5762115499252, ""n_events"": 11, ""x_km_local"": -4.221150373139662, ""y_km_local"": -18.0952912245573}]","[{""azimuth_from_mainshock64_deg"": 240.84433375349062, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 2.1415042398222943}, {""azimuth_from_mainshock64_deg"": 221.41337449121352, ""cluster_id"": 1, ""distance_from_mainshock64_km"": 11.220745268583297}]"
13,post64_hourly,1h_mainshock64_to_mainshock71,13,post64_hourly_1h_mainshock64_to_mainshock71_0013,2019-07-05T06:33:49.040000Z,2019-07-05T07:33:49.040000Z,149,2.5,12,2,20,0.8657718120805369,0.785234899328859,117,-117.51812387217397,35.68868039347565,1.0181313647719072,-11.407031815342487,231.65623726951193,2.7834847749036093,0.47147437823532057,2.743264369831646,"[{""cluster_id"": 0, ""n_events"": 117}, {""cluster_id"": 1, ""n_events"": 12}]","[{""along_strike_km"": 0.47147437823532057, ""cluster_id"": 0, ""cross_strike_km"": 2.743264369831646, ""latitude"": 35.68868039347565, ""longitude"": -117.51812387217397, ""n_events"": 117, ""x_km_local"": 1.0181313647719072, ""y_km_local"": -11.407031815342487}, {""along_strike_km"": -1.4508787492005846, ""cluster_id"": 1, ""cross_strike_km"": 16.692064319528154, ""latitude"": 35.58377029518505, ""longitude"": -117.605550153124, ""n_events"": 12, ""x_km_local"": -6.867377833183113, ""y_km_local"": -23.072502499038993}]","[{""azimuth_from_mainshock64_deg"": 231.65623726951193, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 2.7834847749036093}, {""azimuth_from_mainshock64_deg"": 216.93662369138838, ""cluster_id"": 1, ""distance_from_mainshock64_km"": 16.755001056166684}]"
14,post64_hourly,1h_mainshock64_to_mainshock71,14,post64_hourly_1h_mainshock64_to_mainshock71_0014,2019-07-05T07:33:49.040000Z,2019-07-05T08:33:49.040000Z,142,2.5,12,1,14,0.9014084507042254,0.9014084507042254,128,-117.5321849359763,35.67250817799756,-0.2501216907328941,-13.205300129109599,224.39446293765448,4.933356191123775,0.2143435186887097,4.92869761341629,"[{""cluster_id"": 0, ""n_events"": 128}]","[{""along_strike_km"": 0.2143435186887097, ""cluster_id"": 0, ""cross_strike_km"": 4.92869761341629, ""latitude"": 35.67250817799756, ""longitude"": -117.5321849359763, ""n_events"": 128, ""x_km_local"": -0.2501216907328941, ""y_km_local"": -13.205300129109599}]","[{""azimuth_from_mainshock64_deg"": 224.39446293765448, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 4.933356191123775}]"
15,post64_hourly,1h_mainshock64_to_mainshock71,15,post64_hourly_1h_mainshock64_to_mainshock71_0015,2019-07-05T08:33:49.040000Z,2019-07-05T09:33:49.040000Z,141,2.5,12,2,14,0.900709219858156,0.6808510638297872,96,-117.52231556340212,35.69442228476838,0.6400571818687297,-10.768562634245852,246.9773982056785,2.7828186552801886,1.1792865879279715,2.520587790914778,"[{""cluster_id"": 0, ""n_events"": 31}, {""cluster_id"": 1, ""n_events"": 96}]","[{""along_strike_km"": -1.0958044319621516, ""cluster_id"": 0, ""cross_strike_km"": 15.575780039442442, ""latitude"": 35.59337466615279, ""longitude"": -117.60021416522015, ""n_events"": 31, ""x_km_local"": -6.386092557876641, ""y_km_local"": -22.004545173813877}, {""along_strike_km"": 1.1792865879279715, ""cluster_id"": 1, ""cross_strike_km"": 2.520587790914778, ""latitude"": 35.69442228476838, ""longitude"": -117.52231556340212, ""n_events"": 96, ""x_km_local"": 0.6400571818687297, ""y_km_local"": -10.768562634245852}]","[{""azimuth_from_mainshock64_deg"": 217.87999795590096, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 15.614279080066474}, {""azimuth_from_mainshock64_deg"": 246.9773982056785, ""cluster_id"": 1, ""distance_from_mainshock64_km"": 2.7828186552801886}]"
16,post64_hourly,1h_mainshock64_to_mainshock71,16,post64_hourly_1h_mainshock64_to_mainshock71_0016,2019-07-05T09:33:49.040000Z,2019-07-05T10:33:49.040000Z,139,2.5,12,1,15,0.8920863309352518,0.8920863309352518,124,-117.52772045103302,35.67690768228182,0.1525574201911023,-12.716097572947387,225.1204334642248,4.30243460629015,0.24137774217273655,4.295658311247145,"[{""cluster_id"": 0, ""n_events"": 124}]","[{""along_strike_km"": 0.24137774217273655, ""cluster_id"": 0, ""cross_strike_km"": 4.295658311247145, ""latitude"": 35.67690768228182, ""longitude"": -117.52772045103302, ""n_events"": 124, ""x_km_local"": 0.1525574201911023, ""y_km_local"": -12.716097572947387}]","[{""azimuth_from_mainshock64_deg"": 225.1204334642248, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 4.30243460629015}]"
17,post64_hourly,1h_mainshock64_to_mainshock71,17,post64_hourly_1h_mainshock64_to_mainshock71_0017,2019-07-05T10:33:49.040000Z,2019-07-05T11:33:49.040000Z,137,2.5,12,3,22,0.8394160583941606,0.4744525547445255,65,-117.55844878625678,35.74547848749274,-2.6190184424861758,-5.09137191756105,308.2532514526738,7.4116636848832185,7.396620859907224,0.4719729151148777,"[{""cluster_id"": 0, ""n_events"": 65}, {""cluster_id"": 1, ""n_events"": 16}, {""cluster_id"": 2, ""n_events"": 34}]","[{""along_strike_km"": 7.396620859907224, ""cluster_id"": 0, ""cross_strike_km"": 0.4719729151148777, ""latitude"": 35.74547848749274, ""longitude"": -117.55844878625678, ""n_events"": 65, ""x_km_local"": -2.6190184424861758, ""y_km_local"": -5.09137191756105}, {""along_strike_km"": -0.44171106825929485, ""cluster_id"": 1, ""cross_strike_km"": 13.254043084427895, ""latitude"": 35.61284354518505, ""longitude"": -117.58841936570047, ""n_events"": 16, ""x_km_local"": -5.322247692353308, ""y_km_local"": -19.839704597970016}, {""along_strike_km"": -1.7339775582994068, ""cluster_id"": 2, ""cross_strike_km"": 2.33391034219392, ""latitude"": 35.678173354008585, ""longitude"": -117.49689417773392, ""n_events"": 34, ""x_km_local"": 2.932966914877038, ""y_km_local"": -12.575361298134728}]","[{""azimuth_from_mainshock64_deg"": 308.2532514526738, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 7.4116636848832185}, {""azimuth_from_mainshock64_deg"": 219.9955407530233, ""cluster_id"": 1, ""distance_from_mainshock64_km"": 13.261401387172235}, {""azimuth_from_mainshock64_deg"": 185.29381778665095, ""cluster_id"": 2, ""distance_from_mainshock64_km"": 2.9075446098186886}]"
18,post64_hourly,1h_mainshock64_to_mainshock71,18,post64_hourly_1h_mainshock64_to_mainshock71_0018,2019-07-05T11:33:49.040000Z,2019-07-05T12:33:49.040000Z,157,2.5,12,3,17,0.89171974522293,0.6305732484076433,99,-117.56105080609747,35.74958765377091,-2.8537104728930487,-4.634453474689969,309.80548384206804,7.881751110263503,7.876463628055393,0.28865425695882463,"[{""cluster_id"": 0, ""n_events"": 99}, {""cluster_id"": 1, ""n_events"": 29}, {""cluster_id"": 2, ""n_events"": 12}]","[{""along_strike_km"": 7.876463628055393, ""cluster_id"": 0, ""cross_strike_km"": 0.28865425695882463, ""latitude"": 35.74958765377091, ""longitude"": -117.56105080609747, ""n_events"": 99, ""x_km_local"": -2.8537104728930487, ""y_km_local"": -4.634453474689969}, {""along_strike_km"": -1.3301749298509598, ""cluster_id"": 1, ""cross_strike_km"": 1.169496774796948, ""latitude"": 35.688392553805734, ""longitude"": -117.49160388588116, ""n_events"": 29, ""x_km_local"": 3.410130584789853, ""y_km_local"": -11.439038126323403}, {""along_strike_km"": -1.4481428793696027, ""cluster_id"": 2, ""cross_strike_km"": 17.50791948850705, ""latitude"": 35.578325961851725, ""longitude"": -117.6116140125889, ""n_events"": 12, ""x_km_local"": -7.414314281421018, ""y_km_local"": -23.677884744667505}]","[{""azimuth_from_mainshock64_deg"": 309.80548384206804, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 7.881751110263503}, {""azimuth_from_mainshock64_deg"": 173.22640724449457, ""cluster_id"": 1, ""distance_from_mainshock64_km"": 1.771182669931159}, {""azimuth_from_mainshock64_deg"": 217.17592685611925, ""cluster_id"": 2, ""distance_from_mainshock64_km"": 17.56770794996074}]"
19,post64_hourly,1h_mainshock64_to_mainshock71,19,post64_hourly_1h_mainshock64_to_mainshock71_0019,2019-07-05T12:33:49.040000Z,2019-07-05T13:33:49.040000Z,149,2.5,12,2,24,0.8389261744966443,0.7315436241610739,109,-117.54584531328612,35.73210331812082,-1.482234389037987,-6.578622894729297,303.5142939637494,5.617356752490405,5.557238627962368,0.8196314517101477,"[{""cluster_id"": 0, ""n_events"": 109}, {""cluster_id"": 1, ""n_events"": 16}]","[{""along_strike_km"": 5.557238627962368, ""cluster_id"": 0, ""cross_strike_km"": 0.8196314517101477, ""latitude"": 35.73210331812082, ""longitude"": -117.54584531328612, ""n_events"": 109, ""x_km_local"": -1.482234389037987, ""y_km_local"": -6.578622894729297}, {""along_strike_km"": -1.539665354953586, ""cluster_id"": 1, ""cross_strike_km"": 17.402992243541753, ""latitude"": 35.57847854518505, ""longitude"": -117.61008183606761, ""n_events"": 16, ""x_km_local"": -7.276117941370605, ""y_km_local"": -23.660918252110154}]","[{""azimuth_from_mainshock64_deg"": 303.5142939637494, ""cluster_id"": 0, ""distance_from_mainshock64_km"": 5.617356752490405}, {""azimuth_from_mainshock64_deg"": 216.8484344754416, ""cluster_id"": 1, ""distance_from_mainshock64_km"": 17.470967587229353}]"
