event_time,latitude,longitude,depth_km,magnitude,label,x_km,y_km
2019-07-04 17:33:49.040000+00:00,35.70421,-117.49392,11.864,6.4,Mainshock64,455.3183461926146,3951.254225624137
2019-07-06 03:19:53.040000+00:00,35.77623,-117.59286,1.986,7.1,Mainshock71,446.4160893837374,3959.2916285481756
