interval_id,start_time,end_time,az_002,az_007,az_012,az_017,az_022,az_027,az_032,az_037,az_042,az_047,az_052,az_057,az_062,az_067,az_072,az_077,az_082,az_087,az_092,az_097,az_102,az_107,az_112,az_117,az_122,az_127,az_132,az_137,az_142,az_147,az_152,az_157,az_162,az_167,az_172,az_177
0,2019-07-04 17:33:49.040000+00:00,2019-07-04 18:03:49.040000+00:00,10.35188611148658,8.177983434343423,4.318241448788223,6.137428768277253,8.177983434343423,7.698622580381885,12.95856427663329,13.966357761797713,18.887123519060825,15.836221310246593,15.536403933812977,12.254030455643672,13.300662906977287,15.232144092406127,12.254030455643672,10.35188611148658,11.890747023368576,9.087856874255914,7.698622580381885,6.681033838033974,6.137428768277253,6.137428768277253,7.698622580381885,10.35188611148658,10.750702814061965,12.609821092819892,10.35188611148658,11.139667626495424,11.890747023368576,7.698622580381885,5.565892655691934,9.087856874255914,7.698622580381885,10.35188611148658,8.640508764436706,11.519476476286695
1,2019-07-04 18:03:49.040000+00:00,2019-07-04 18:33:49.040000+00:00,9.910082010904926,11.404656829458911,9.910082010904926,9.103525641190204,9.512408157911288,12.441743914603684,11.044070888094843,15.523644439612088,15.523644439612088,20.13622826967941,17.689742645619074,10.297421371002736,10.675192363480322,12.441743914603684,12.103037033010075,6.344871322809537,6.8493316419622055,7.798740970166083,9.103525641190204,5.261822219806044,11.404656829458911,8.247955519683346,7.798740970166083,6.8493316419622055,11.757485513119608,9.910082010904926,11.757485513119608,7.798740970166083,7.333175397735463,10.675192363480322,11.757485513119608,9.512408157911288,6.8493316419622055,8.247955519683346,9.103525641190204,10.297421371002736
2,2019-07-04 18:33:49.040000+00:00,2019-07-04 19:03:49.040000+00:00,8.790948912513166,7.224369662344348,9.743144534036267,11.483336690104778,15.18788207462664,13.05659065624586,11.065969283469535,14.151906547211649,14.151906547211649,13.428930667545334,16.173229345684014,15.18788207462664,16.173229345684014,12.28786936794959,12.676409327271688,13.428930667545334,9.743144534036267,10.637466214045642,10.1968855418948,8.289290894761102,10.1968855418948,11.483336690104778,10.637466214045642,10.637466214045642,8.790948912513166,8.790948912513166,11.89039395222391,10.1968855418948,14.151906547211649,13.05659065624586,13.05659065624586,12.676409327271688,8.790948912513166,10.637466214045642,9.743144534036267,10.1968855418948
3,2019-07-04 19:03:49.040000+00:00,2019-07-04 19:33:49.040000+00:00,9.743144534036267,9.274988312762844,9.743144534036267,7.767937698141099,7.224369662344348,9.274988312762844,7.224369662344348,10.1968855418948,15.521588683164843,14.503346990070604,14.503346990070604,13.05659065624586,9.274988312762844,10.637466214045642,5.424977476030428,9.743144534036267,7.224369662344348,7.767937698141099,9.743144534036267,8.790948912513166,10.1968855418948,11.065969283469535,9.743144534036267,9.274988312762844,8.790948912513166,11.065969283469535,7.767937698141099,9.743144534036267,8.289290894761102,10.637466214045642,9.743144534036267,9.274988312762844,11.89039395222391,10.637466214045642,7.224369662344348,10.1968855418948
4,2019-07-04 19:33:49.040000+00:00,2019-07-04 20:03:49.040000+00:00,6.054037373751431,4.573077180051358,7.764102906735145,6.939724981632073,9.967237358439641,11.88532100002893,10.95512863341893,13.606717507506925,15.181818737029413,15.181818737029413,13.606717507506925,14.146154360102717,15.432534172800718,13.051167442230685,14.146154360102717,15.181818737029413,13.606717507506925,9.623116937079915,9.623116937079915,7.764102906735145,6.505406878883129,8.156936125180602,9.967237358439641,6.939724981632073,5.090909368514707,4.573077180051358,9.270700885631221,7.3587894967657235,9.270700885631221,9.967237358439641,8.156936125180602,7.3587894967657235,7.764102906735145,9.967237358439641,6.939724981632073,6.505406878883129
5,2019-07-04 20:03:49.040000+00:00,2019-07-04 20:33:49.040000+00:00,8.299685335845586,9.869500245153926,11.624606669806983,3.7969149785149927,7.877364953882239,8.70900185679241,14.670499884245626,14.670499884245626,16.028648912406744,19.205792684452135,18.274449337729777,11.288721406198807,10.595263424985676,11.288721406198807,13.512378512443522,15.224706906409558,11.624606669806983,13.512378512443522,10.595263424985676,6.027516522197914,7.877364953882239,10.595263424985676,9.869500245153926,8.70900185679241,4.4042976886237,6.988174356481943,7.877364953882239,6.517865363181652,9.49299608996018,9.869500245153926,7.440716469658927,9.49299608996018,10.945762545947044,7.877364953882239,7.440716469658927,6.027516522197914
6,2019-07-04 20:33:49.040000+00:00,2019-07-04 21:03:49.040000+00:00,7.383917525752052,8.376159719144615,7.383917525752052,12.874645292787676,9.299716234230141,14.251582154146526,15.222852636534988,18.981353169021926,17.60983659712654,17.890714901952748,16.149565529347576,12.513504120228415,12.513504120228415,12.14475747263689,14.580692868526693,10.582754496579296,10.987568779347951,9.299716234230141,11.767903596508997,10.582754496579296,9.73981011252262,5.111426318267494,4.458373243641502,10.167139477401241,12.14475747263689,4.458373243641502,8.845640707666295,9.73981011252262,6.856698339373812,7.8895900267754,10.987568779347951,9.299716234230141,12.14475747263689,10.582754496579296,8.376159719144615,7.8895900267754
7,2019-07-04 21:03:49.040000+00:00,2019-07-04 21:33:49.040000+00:00,4.961619128171876,8.177983434343423,9.521430482785247,9.521430482785247,12.609821092819892,11.890747023368576,6.681033838033974,13.966357761797713,13.966357761797713,16.71084554687148,13.636482897576446,11.890747023368576,16.423271981732018,9.087856874255914,10.35188611148658,11.139667626495424,6.137428768277253,8.640508764436706,12.609821092819892,9.521430482785247,7.200441937984857,11.139667626495424,4.961619128171876,8.640508764436706,7.698622580381885,10.750702814061965,8.640508764436706,6.137428768277253,9.942428692257813,4.318241448788223,8.177983434343423,7.200441937984857,6.137428768277253,9.942428692257813,11.139667626495424,10.35188611148658
8,2019-07-04 21:33:49.040000+00:00,2019-07-04 22:03:49.040000+00:00,10.675192363480322,7.333175397735463,9.103525641190204,7.798740970166083,9.910082010904926,12.103037033010075,13.735438369651693,15.236586324118989,20.367903473790083,22.36485925281612,22.99887831711724,18.19968817429721,13.735438369651693,16.086040195916855,13.100153061309062,11.404656829458911,10.297421371002736,9.910082010904926,6.8493316419622055,9.103525641190204,5.816910386104048,9.512408157911288,8.247955519683346,9.512408157911288,9.512408157911288,12.103037033010075,9.512408157911288,13.735438369651693,12.441743914603684,11.044070888094843,12.103037033010075,7.798740970166083,13.420534625056796,9.512408157911288,11.044070888094843,9.512408157911288
9,2019-07-04 22:03:49.040000+00:00,2019-07-04 22:33:49.040000+00:00,5.933545796374027,7.8207188785159865,6.596776562544619,8.937590842117881,7.224075817899699,11.84972570231766,13.5387288691552,13.131234517370086,21.501164863610676,19.448151635799398,11.40031869456104,12.287453809150737,12.714368805116834,8.390804140234156,7.224075817899699,7.224075817899699,7.224075817899699,9.463721562670663,8.937590842117881,11.40031869456104,8.937590842117881,3.6437269045753684,5.933545796374027,8.390804140234156,5.227395598158514,11.40031869456104,9.9713741654746,10.462368750059492,10.462368750059492,8.390804140234156,7.8207188785159865,6.596776562544619,9.463721562670663,4.468728413100468,5.227395598158514,7.8207188785159865
10,2019-07-04 22:33:49.040000+00:00,2019-07-04 23:03:49.040000+00:00,4.602784240380288,3.890450663523163,7.037727104163906,8.08638904235372,9.964858396752767,8.08638904235372,10.398712251406558,13.14755642418324,13.50694886618729,16.472478334754005,14.205568480760576,13.50694886618729,16.163505703680656,10.398712251406558,15.208263586202893,11.231667915994695,9.057036761044223,4.602784240380288,1.2864979519816702,8.580387709288424,8.08638904235372,7.037727104163906,4.602784240380288,7.57299590396334,11.231667915994695,6.477522453367964,5.888533854509944,8.580387709288424,10.398712251406558,13.859493855945008,9.964858396752767,11.632510198460366,8.580387709288424,7.57299590396334,8.08638904235372,5.888533854509944
11,2019-07-04 23:03:49.040000+00:00,2019-07-04 23:33:49.040000+00:00,9.49299608996018,7.877364953882239,9.106446532935552,10.236703692651647,9.49299608996018,9.106446532935552,11.953838763030113,9.106446532935552,12.27679804477248,17.794512239144026,13.21134416540825,11.288721406198807,15.224706906409558,12.905249354139624,13.512378512443522,14.38745635247377,9.106446532935552,5.514324456203372,7.877364953882239,9.49299608996018,9.869500245153926,10.236703692651647,11.953838763030113,7.440716469658927,12.905249354139624,12.593829957029985,15.496191629841924,12.905249354139624,13.512378512443522,11.624606669806983,10.595263424985676,9.49299608996018,10.945762545947044,7.440716469658927,10.236703692651647,8.70900185679241
12,2019-07-04 23:33:49.040000+00:00,2019-07-05 00:03:49.040000+00:00,8.299685335845586,4.4042976886237,6.988174356481943,9.869500245153926,9.106446532935552,10.595263424985676,9.869500245153926,11.953838763030113,10.236703692651647,9.869500245153926,10.595263424985676,8.299685335845586,9.49299608996018,9.106446532935552,8.70900185679241,10.595263424985676,10.945762545947044,8.299685335845586,6.027516522197914,9.869500245153926,7.877364953882239,9.106446532935552,7.440716469658927,10.945762545947044,10.945762545947044,13.8085953772474,10.236703692651647,11.288721406198807,9.106446532935552,10.595263424985676,9.869500245153926,12.593829957029985,9.106446532935552,8.70900185679241,6.027516522197914,10.236703692651647
13,2019-07-05 00:03:49.040000+00:00,2019-07-05 00:33:49.040000+00:00,4.02829532812293,7.224369662344348,4.751673495035302,7.767937698141099,9.274988312762844,10.1968855418948,7.224369662344348,11.065969283469535,14.151906547211649,13.793895417692433,14.151906547211649,11.89039395222391,12.676409327271688,7.224369662344348,6.057358400527201,6.057358400527201,7.767937698141099,7.224369662344348,8.289290894761102,11.89039395222391,11.89039395222391,11.483336690104778,13.428930667545334,11.89039395222391,15.521588683164843,14.151906547211649,11.89039395222391,13.05659065624586,10.637466214045642,12.28786936794959,10.637466214045642,13.793895417692433,8.790948912513166,6.655479150154109,8.790948912513166,4.751673495035302
14,2019-07-05 00:33:49.040000+00:00,2019-07-05 01:03:49.040000+00:00,7.269987619859432,4.700276935206016,6.88036442747169,4.202490714894575,6.88036442747169,8.370909018365607,9.057036761044223,10.02760440946113,7.647613745425369,17.331714553172045,12.352382902155181,9.711198354494668,6.477522453367964,10.939181474378241,8.014287176616385,9.387835826256763,7.647613745425369,5.626120982918829,4.202490714894575,5.1737362793449115,9.387835826256763,5.1737362793449115,7.269987619859432,8.014287176616385,7.269987619859432,10.939181474378241,8.71826320054327,10.02760440946113,7.269987619859432,8.370909018365607,4.202490714894575,5.1737362793449115,6.060017378177884,6.88036442747169,6.477522453367964,7.269987619859432
15,2019-07-05 01:03:49.040000+00:00,2019-07-05 01:33:49.040000+00:00,6.510498643295831,10.127758955969256,10.904039393596088,9.309427417851484,10.520753204386768,7.985593787811071,9.72427933816572,14.008962887207268,14.632372450887626,9.72427933816572,13.033485604355608,13.364402850190228,13.033485604355608,7.985593787811071,8.441366560867671,10.904039393596088,7.513231278149677,7.513231278149677,5.9748298399447215,7.985593787811071,8.8821836908026,3.5010666395132226,5.411637768101951,4.816186225443813,1.0111618681185348,4.816186225443813,5.9748298399447215,5.411637768101951,4.816186225443813,5.9748298399447215,7.513231278149677,5.411637768101951,6.510498643295831,8.441366560867671,12.696381382670491,5.411637768101951
16,2019-07-05 01:33:49.040000+00:00,2019-07-05 02:03:49.040000+00:00,8.08638904235372,8.08638904235372,8.08638904235372,9.964858396752767,8.580387709288424,10.398712251406558,12.0239169308548,12.780901327046326,13.859493855945008,13.859493855945008,14.545516438199854,12.780901327046326,11.231667915994695,9.964858396752767,10.398712251406558,10.398712251406558,13.14755642418324,9.518045139346592,9.964858396752767,5.265808167604371,8.08638904235372,4.602784240380288,10.398712251406558,5.265808167604371,5.265808167604371,9.057036761044223,7.57299590396334,9.964858396752767,5.888533854509944,3.890450663523163,8.580387709288424,6.477522453367964,8.580387709288424,5.265808167604371,7.037727104163906,1.2864979519816702
17,2019-07-05 02:03:49.040000+00:00,2019-07-05 02:33:49.040000+00:00,5.8754055606705755,4.274577024771023,6.822812307406689,8.11623261370509,10.3801460402081,11.064038625614405,11.39529076713136,13.836754983998528,17.953407073983907,13.549154049542047,15.996216738155564,12.658268568378617,14.120030353028856,12.658268568378617,12.960141180028053,10.026532196238014,11.064038625614405,6.822812307406689,7.699737619465598,6.822812307406689,5.8754055606705755,6.358990645414574,9.66439386647216,8.11623261370509,6.358990645414574,5.8754055606705755,10.026532196238014,5.8754055606705755,7.2691121614287315,8.11623261370509,9.29308312077821,7.699737619465598,5.8754055606705755,8.519903119119322,8.519903119119322,6.358990645414574
