event_time,latitude,longitude,depth_km,magnitude,x_km,y_km,hours_since_64,hours_since_71,interval_id
2019-07-04 17:33:49.040000+00:00,35.705333,-117.503833,10.5,6.4,454.42221494025875,3951.3833351523067,0.0,-33.76777777777778,0
2019-07-04 17:35:01.280000+00:00,35.64102579518505,-117.55307126655964,8.56209893,4.49,449.92782544728584,3944.2749847075656,0.020066666666666667,-33.74771111111111,0
2019-07-04 17:35:51.840000+00:00,35.69039979518505,-117.50252882330362,2.72653025,4.68,454.53171781828604,3949.726482695578,0.03411111111111111,-33.733666666666664,0
2019-07-04 17:36:39+00:00,35.78830379518505,-117.51195990168593,0.97005311,3.5,453.73507089249256,3960.589541659843,0.04721111111111111,-33.72056666666666,0
2019-07-04 17:36:59.360000+00:00,35.75315579518505,-117.58497135657537,4.381393010000001,3.92,447.11381757241736,3956.7281351872734,0.052866666666666666,-33.71491111111111,0
2019-07-04 17:37:14.680000+00:00,35.66498379518505,-117.516231991334,3.85880477,4.39,453.2770456555014,3946.9140223114086,0.05712222222222222,-33.710655555555554,0
2019-07-04 17:37:25.360000+00:00,35.67473379518505,-117.44829669383624,10.69600091,4.23,459.4306884690515,3947.965215183855,0.060088888888888886,-33.70768888888889,0
2019-07-04 17:37:55.240000+00:00,35.74354879518505,-117.54216566168876,6.776589110000001,4.05,450.9779492864832,3955.6403654243404,0.06838888888888889,-33.69938888888889,0
2019-07-04 17:38:21.200000+00:00,35.71408879518505,-117.46911653286318,3.33621653,3.63,457.5674034302061,3952.3388816986812,0.0756,-33.69217777777778,0
2019-07-04 17:38:46.400000+00:00,35.67151879518505,-117.54611546215324,12.55409243,3.67,450.5763649865614,3947.6534399259,0.0826,-33.685177777777774,0
2019-07-04 17:39:34.940000+00:00,35.68612679518505,-117.48213451514764,9.78147149,4.04,456.37466128832057,3949.2433130355394,0.09608333333333333,-33.67169444444445,0
2019-07-04 17:40:01.960000+00:00,35.72417979518505,-117.56103626170596,6.5733603500000015,3.98,449.25938669846045,3953.501718670497,0.1035888888888889,-33.66418888888889,0
2019-07-04 17:40:18+00:00,35.70671979518505,-117.4937740008517,9.63630809,4.55,455.3329539605376,3951.5325218081157,0.10804444444444444,-33.65973333333333,0
2019-07-04 17:41:21+00:00,35.73904479518505,-117.53262733602214,4.49026556,3.46,451.8376900690131,3955.1360950918897,0.12554444444444443,-33.64223333333333,0
2019-07-04 17:41:43.360000+00:00,35.61189179518505,-117.58173917190378,6.6604583900000005,2.81,447.31324428738134,3941.058723316614,0.13175555555555554,-33.63602222222222,0
2019-07-04 17:42:21.480000+00:00,35.57485179518505,-117.63260751317428,8.816134880000002,3.21,442.67975872319107,3936.979072611709,0.14234444444444447,-33.62543333333333,0
2019-07-04 17:42:53.820000+00:00,35.72963279518505,-117.551848655711,6.950785190000001,3.36,450.09373174117985,3954.1018054867322,0.15132777777777778,-33.61645,0
2019-07-04 17:43:29.200000+00:00,35.65521879518505,-117.52899928808988,9.839536850000002,3.63,452.11566731912694,3945.8371331065673,0.16115555555555555,-33.60662222222222,0
