subset,phase_name,interpretable_window_count,window_count,phase_group,median_b_value,b_value_iqr,median_mc,mc_iqr,robust_windows,usable_with_caution_windows,exploratory_windows,not_interpretable_windows
along_axis_20km,M1_related_primary,17,17,M1_related,0.6906452871367703,0.3003850331895122,1.5,0.10000000000000009,5.0,0.0,12.0,0.0
along_axis_20km,M1_related_sens_M1minus7d_to_M1plus14d,15,15,M1_related,0.6358014888065588,0.3062660249111364,1.6,0.15000000000000013,4.0,0.0,11.0,0.0
along_axis_20km,M1_related_sens_M1minus14d_to_M1plus28d,18,18,M1_related,0.6994733395762825,0.2591395669779839,1.5,0.17500000000000027,5.0,0.0,13.0,0.0
along_axis_20km,middle_primary,7,7,middle,0.6404054479948006,0.11016834785481211,1.3,0.09999999999999987,2.0,0.0,5.0,0.0
along_axis_20km,preM3_primary,6,6,preM3,0.5030853507301867,0.09231339518778303,1.2,0.30000000000000004,0.0,0.0,6.0,0.0
along_axis_20km,preM3_sens_M3minus42d_to_M3,7,7,preM3,0.5059718589753301,0.06464262945509858,1.2,0.25,0.0,0.0,7.0,0.0
along_axis_20km,preM3_sens_M3minus28d_to_M3,6,6,preM3,0.5030853507301867,0.09231339518778303,1.2,0.30000000000000004,0.0,0.0,6.0,0.0
along_axis_20km,full_M1_to_M3,28,28,full,0.6302521592628484,0.204677248311677,1.5,0.30000000000000004,7.0,0.0,21.0,0.0
along_axis_20km,postM3_context,14,14,postM3,0.728364709041627,0.08018785577667309,1.5,0.30000000000000027,1.0,1.0,12.0,0.0
along_axis_30km,baseline_primary,0,0,,,,,,,,,
along_axis_30km,baseline_sensitivity_M1minus7d,0,0,,,,,,,,,
along_axis_30km,M1_related_primary,18,18,M1_related,0.6682908162652128,0.27321635075270906,1.55,0.10000000000000009,8.0,0.0,10.0,0.0
along_axis_30km,M1_related_sens_M1minus7d_to_M1plus14d,17,17,M1_related,0.6386759936783776,0.29895785473312547,1.6,0.10000000000000009,7.0,0.0,10.0,0.0
along_axis_30km,M1_related_sens_M1minus14d_to_M1plus28d,19,19,M1_related,0.6979056388520481,0.2413665174785865,1.5,0.15000000000000013,8.0,0.0,11.0,0.0
along_axis_30km,middle_primary,8,8,middle,0.6339514370023034,0.13765530464401088,1.3,0.09999999999999987,3.0,0.0,5.0,0.0
along_axis_30km,preM3_primary,6,6,preM3,0.5083467825327144,0.09898913592443237,1.2,0.30000000000000004,0.0,0.0,6.0,0.0
along_axis_30km,preM3_sens_M3minus42d_to_M3,7,7,preM3,0.5023292240367349,0.07173913682731264,1.2,0.25,0.0,0.0,7.0,0.0
along_axis_30km,preM3_sens_M3minus28d_to_M3,6,6,preM3,0.5083467825327144,0.09898913592443237,1.2,0.30000000000000004,0.0,0.0,6.0,0.0
along_axis_30km,full_M1_to_M3,30,30,full,0.6183427602954124,0.20477200067192391,1.5,0.30000000000000004,11.0,0.0,19.0,0.0
along_axis_30km,postM3_context,15,15,postM3,0.7345562078825898,0.059789930972020455,1.5,0.40000000000000013,2.0,2.0,11.0,0.0
