burst_id,category,start,end,event_count,total_moment_proxy,top1_fraction,top3_fraction,largest_mag
burst_01,M1_centered,2025-11-08 00:00:00+00:00,2025-11-23 00:00:00+00:00,2688,5.125758850723374e+19,0.5498469618536048,0.8427181790423378,6.9
burst_02,M1_centered,2025-11-24 00:00:00+00:00,2025-11-25 00:00:00+00:00,58,86226625277596.17,0.16381686515913874,0.40973665178887797,2.7
burst_03,M1_centered,2025-12-07 00:00:00+00:00,2025-12-08 00:00:00+00:00,55,2.0249721703969308e+16,0.9853282648214169,0.9936462052065539,4.8
burst_04,off_corridor_or_mixed_local,2025-12-31 00:00:00+00:00,2026-01-01 00:00:00+00:00,57,1.7801481142943232e+18,0.9989502534983493,0.9999083810778746,6.1
burst_05,M1_centered,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,47,2.0947778876301056e+18,0.8489107224875051,0.9999086878126783,6.1
burst_06,M1_centered,2026-03-26 00:00:00+00:00,2026-03-30 00:00:00+00:00,440,1.426413618504661e+19,0.9902720545416147,0.9950388729094368,6.7
burst_07,mixed_overlap,2026-04-20 00:00:00+00:00,2026-05-02 00:00:00+00:00,3189,4.4869644495599226e+20,0.9955139987676346,0.9969235386450805,7.7
