subset,event_count,total_moment_proxy,top1_fraction,top3_fraction,dominance_class
combined_local,9109,5.185340079927355e+20,0.8614354801531544,0.9430293661986477,single_event_dominated
combined_local_m2aware,9109,5.185340079927355e+20,0.8614354801531544,0.9430293661986477,single_event_dominated
M1_extended,7402,5.1617490559736296e+20,0.8653725458311852,0.9473393448756066,single_event_dominated
M3_extended,7268,5.176822875439459e+20,0.8628527629758683,0.9445808919400654,single_event_dominated
along_axis_30km,5148,6.820485136888152e+19,0.4132232348138156,0.7669425811950131,few_event_dominated
off_axis_30km,3961,4.5032915662385394e+20,0.9919046670212889,0.9965557253532842,single_event_dominated
