event_id,time,mag,moment_proxy,within_60km_either_m1_m3,within_60km_m1,within_60km_m3,along_axis_30km,off_axis_30km,m2_related_flag,phase_primary
53,2025-06-02 15:28:37.320000+00:00,0.9,28183829312.644493,True,False,True,False,True,False,baseline_to_M1_minus14d
54,2025-06-02 15:43:03.850000+00:00,1.4,158489319246.11108,False,False,False,False,False,False,baseline_to_M1_minus14d
55,2025-06-02 16:33:25.590000+00:00,1.2,79432823472.42789,False,False,False,False,False,False,baseline_to_M1_minus14d
56,2025-06-02 16:34:38.680000+00:00,0.6,10000000000.0,False,False,False,False,False,False,baseline_to_M1_minus14d
57,2025-06-02 17:45:54.560000+00:00,1.0,39810717055.34969,False,False,False,False,False,False,baseline_to_M1_minus14d
58,2025-06-02 17:47:22.480000+00:00,1.8,630957344480.1943,False,False,False,False,False,False,baseline_to_M1_minus14d
59,2025-06-02 18:46:48.920000+00:00,1.6,316227766016.83795,False,False,False,False,False,False,baseline_to_M1_minus14d
60,2025-06-02 20:39:00.080000+00:00,1.2,79432823472.42789,False,False,False,False,False,False,baseline_to_M1_minus14d
61,2025-06-02 21:05:03.240000+00:00,0.7,14125375446.227497,False,False,False,False,False,False,baseline_to_M1_minus14d
62,2025-06-02 21:49:03.480000+00:00,1.4,158489319246.11108,False,False,False,False,False,False,baseline_to_M1_minus14d
63,2025-06-02 21:54:14.380000+00:00,0.4,5011872336.272715,False,False,False,False,False,False,baseline_to_M1_minus14d
64,2025-06-02 23:48:14.120000+00:00,1.6,316227766016.83795,False,False,False,False,False,False,baseline_to_M1_minus14d
65,2025-06-03 00:05:05.290000+00:00,1.2,79432823472.42789,False,False,False,False,False,False,baseline_to_M1_minus14d
66,2025-06-03 00:12:30.040000+00:00,2.8,19952623149688.746,False,False,False,False,False,False,baseline_to_M1_minus14d
67,2025-06-03 00:38:07.360000+00:00,0.7,14125375446.227497,False,False,False,False,False,False,baseline_to_M1_minus14d
68,2025-06-03 03:03:12.540000+00:00,2.7,14125375446227.555,False,False,False,False,False,False,baseline_to_M1_minus14d
69,2025-06-03 03:38:53.360000+00:00,0.6,10000000000.0,False,False,False,False,False,False,baseline_to_M1_minus14d
70,2025-06-03 03:57:59.710000+00:00,0.2,2511886431.509582,False,False,False,False,False,False,baseline_to_M1_minus14d
71,2025-06-03 04:10:29.080000+00:00,0.4,5011872336.272715,False,False,False,False,False,False,baseline_to_M1_minus14d
72,2025-06-03 04:14:20+00:00,1.1,56234132519.034904,False,False,False,False,False,False,baseline_to_M1_minus14d
73,2025-06-03 05:13:36+00:00,2.2,2511886431509.582,False,False,False,False,False,False,baseline_to_M1_minus14d
74,2025-06-03 09:30:08.030000+00:00,0.3,3548133892.335746,False,False,False,False,False,False,baseline_to_M1_minus14d
75,2025-06-03 10:00:57.270000+00:00,0.9,28183829312.644493,False,False,False,False,False,False,baseline_to_M1_minus14d
76,2025-06-03 10:21:32.910000+00:00,0.9,28183829312.644493,False,False,False,False,False,False,baseline_to_M1_minus14d
77,2025-06-03 11:31:17.330000+00:00,1.0,39810717055.34969,False,False,False,False,False,False,baseline_to_M1_minus14d
78,2025-06-03 11:51:06.610000+00:00,0.7,14125375446.227497,False,False,False,False,False,False,baseline_to_M1_minus14d
79,2025-06-03 13:07:01.870000+00:00,1.7,446683592150.9617,False,False,False,False,False,False,baseline_to_M1_minus14d
80,2025-06-03 14:08:31.260000+00:00,2.4,5011872336272.715,True,False,True,False,True,False,baseline_to_M1_minus14d
81,2025-06-03 15:58:03.730000+00:00,3.1,56234132519034.91,True,True,False,False,True,False,baseline_to_M1_minus14d
82,2025-06-03 17:19:00.200000+00:00,0.1,1778279410.0389228,False,False,False,False,False,False,baseline_to_M1_minus14d
83,2025-06-03 17:21:48.800000+00:00,-0.1,891250938.1337441,False,False,False,False,False,False,baseline_to_M1_minus14d
84,2025-06-03 17:54:20.780000+00:00,0.8,19952623149.688828,False,False,False,False,False,False,baseline_to_M1_minus14d
85,2025-06-03 18:10:03.240000+00:00,2.3,3548133892335.746,False,False,False,False,False,False,baseline_to_M1_minus14d
86,2025-06-03 18:35:18.920000+00:00,1.7,446683592150.9617,False,False,False,False,False,False,baseline_to_M1_minus14d
87,2025-06-03 19:01:59.740000+00:00,1.3,112201845430.19653,False,False,False,False,False,False,baseline_to_M1_minus14d
88,2025-06-03 20:50:13.380000+00:00,0.9,28183829312.644493,True,False,True,False,True,False,baseline_to_M1_minus14d
89,2025-06-03 22:08:25.600000+00:00,1.4,158489319246.11108,False,False,False,False,False,False,baseline_to_M1_minus14d
90,2025-06-03 23:28:05.140000+00:00,0.7,14125375446.227497,False,False,False,False,False,False,baseline_to_M1_minus14d
91,2025-06-03 23:41:32.260000+00:00,1.4,158489319246.11108,False,False,False,False,False,False,baseline_to_M1_minus14d
92,2025-06-04 01:17:45.750000+00:00,1.3,112201845430.19653,True,False,True,False,True,False,baseline_to_M1_minus14d
93,2025-06-04 01:41:44.240000+00:00,1.1,56234132519.034904,False,False,False,False,False,False,baseline_to_M1_minus14d
94,2025-06-04 03:24:12.730000+00:00,0.7,14125375446.227497,False,False,False,False,False,False,baseline_to_M1_minus14d
95,2025-06-04 03:24:17.730000+00:00,1.5,223872113856.83377,False,False,False,False,False,False,baseline_to_M1_minus14d
96,2025-06-04 03:49:05.910000+00:00,1.3,112201845430.19653,True,True,False,False,True,False,baseline_to_M1_minus14d
97,2025-06-04 05:05:54.210000+00:00,1.3,112201845430.19653,False,False,False,False,False,False,baseline_to_M1_minus14d
