mainshock,metric,baseline_value,median_value,iqr_value,cv_value,sign_stable_fraction,n_windows
M1,rate_ratio,5.408496732026144,4.84402356902357,1.1916878710771837,0.16518476908939947,1.0,300
M1,moving_rate_max,271.0,224.14285714285717,132.17857142857144,0.42369233262012984,1.0,300
M1,post_omori_p,0.6383674259945586,0.6816750237783888,0.24063064138438972,0.19568707317459305,1.0,225
M2,rate_ratio,25.032967032967036,54.291666666666664,147.5499838501292,,1.0,300
M2,moving_rate_max,125.85714285714286,49.07142857142857,99.32142857142857,1.189608083388678,1.0,300
M2,post_omori_p,0.6437024855030238,0.7563797536151328,0.1532230495612611,0.1491972129719586,1.0,225
M3,rate_ratio,3.170091324200913,5.91793623043623,18.317590490136958,,1.0,300
M3,moving_rate_max,271.0,197.64285714285714,170.14285714285714,0.5417262169121879,1.0,300
