mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,time_bin_start_days,time_bin_end_days,count,rate_per_day,pre_post
M1,30.0,7.0,all,1.2,-7.0,-6.0,1,1.0,pre
M1,30.0,7.0,all,1.2,-6.0,-5.0,38,38.0,pre
M1,30.0,7.0,all,1.2,-5.0,-4.0,21,21.0,pre
M1,30.0,7.0,all,1.2,-4.0,-3.0,28,28.0,pre
M1,30.0,7.0,all,1.2,-3.0,-2.0,18,18.0,pre
M1,30.0,7.0,all,1.2,-2.0,-1.0,76,76.0,pre
M1,30.0,7.0,all,1.2,-1.0,0.0,297,297.0,pre
M1,30.0,7.0,all,1.2,0.0,1.0,605,605.0,post
M1,30.0,7.0,all,1.2,1.0,2.0,262,262.0,post
M1,30.0,7.0,all,1.2,2.0,3.0,145,145.0,post
M1,30.0,7.0,all,1.2,3.0,4.0,135,135.0,post
M1,30.0,7.0,all,1.2,4.0,5.0,90,90.0,post
M1,30.0,7.0,all,1.2,5.0,6.0,82,82.0,post
M1,30.0,7.0,all,1.2,6.0,7.0,64,64.0,post
M1,30.0,7.0,all,1.5,-7.0,-6.0,1,1.0,pre
M1,30.0,7.0,all,1.5,-6.0,-5.0,27,27.0,pre
M1,30.0,7.0,all,1.5,-5.0,-4.0,11,11.0,pre
M1,30.0,7.0,all,1.5,-4.0,-3.0,19,19.0,pre
M1,30.0,7.0,all,1.5,-3.0,-2.0,15,15.0,pre
M1,30.0,7.0,all,1.5,-2.0,-1.0,61,61.0,pre
M1,30.0,7.0,all,1.5,-1.0,0.0,237,237.0,pre
M1,30.0,7.0,all,1.5,0.0,1.0,582,582.0,post
M1,30.0,7.0,all,1.5,1.0,2.0,233,233.0,post
M1,30.0,7.0,all,1.5,2.0,3.0,125,125.0,post
M1,30.0,7.0,all,1.5,3.0,4.0,102,102.0,post
M1,30.0,7.0,all,1.5,4.0,5.0,68,68.0,post
M1,30.0,7.0,all,1.5,5.0,6.0,64,64.0,post
M1,30.0,7.0,all,1.5,6.0,7.0,48,48.0,post
M1,30.0,7.0,all,2.0,-6.0,-5.0,10,10.0,pre
M1,30.0,7.0,all,2.0,-5.0,-4.0,7,7.0,pre
M1,30.0,7.0,all,2.0,-4.0,-3.0,6,6.0,pre
M1,30.0,7.0,all,2.0,-3.0,-2.0,3,3.0,pre
M1,30.0,7.0,all,2.0,-2.0,-1.0,22,22.0,pre
M1,30.0,7.0,all,2.0,-1.0,0.0,126,126.0,pre
M1,30.0,7.0,all,2.0,0.0,1.0,417,417.0,post
M1,30.0,7.0,all,2.0,1.0,2.0,120,120.0,post
M1,30.0,7.0,all,2.0,2.0,3.0,54,54.0,post
M1,30.0,7.0,all,2.0,3.0,4.0,44,44.0,post
M1,30.0,7.0,all,2.0,4.0,5.0,24,24.0,post
M1,30.0,7.0,all,2.0,5.0,6.0,25,25.0,post
M1,30.0,7.0,all,2.0,6.0,7.0,11,11.0,post
M1,30.0,7.0,all,2.5,-6.0,-5.0,4,4.0,pre
M1,30.0,7.0,all,2.5,-5.0,-4.0,4,4.0,pre
M1,30.0,7.0,all,2.5,-4.0,-3.0,4,4.0,pre
M1,30.0,7.0,all,2.5,-3.0,-2.0,2,2.0,pre
M1,30.0,7.0,all,2.5,-2.0,-1.0,15,15.0,pre
M1,30.0,7.0,all,2.5,-1.0,0.0,70,70.0,pre
M1,30.0,7.0,all,2.5,0.0,1.0,246,246.0,post
M1,30.0,7.0,all,2.5,1.0,2.0,44,44.0,post
M1,30.0,7.0,all,2.5,2.0,3.0,17,17.0,post
M1,30.0,7.0,all,2.5,3.0,4.0,19,19.0,post
M1,30.0,7.0,all,2.5,4.0,5.0,9,9.0,post
M1,30.0,7.0,all,2.5,5.0,6.0,10,10.0,post
M1,30.0,7.0,all,2.5,6.0,7.0,5,5.0,post
M1,30.0,7.0,all,,-7.0,-6.0,1,1.0,pre
M1,30.0,7.0,all,,-6.0,-5.0,39,39.0,pre
M1,30.0,7.0,all,,-5.0,-4.0,23,23.0,pre
M1,30.0,7.0,all,,-4.0,-3.0,31,31.0,pre
M1,30.0,7.0,all,,-3.0,-2.0,19,19.0,pre
M1,30.0,7.0,all,,-2.0,-1.0,79,79.0,pre
M1,30.0,7.0,all,,-1.0,0.0,314,314.0,pre
M1,30.0,7.0,all,,0.0,1.0,608,608.0,post
M1,30.0,7.0,all,,1.0,2.0,264,264.0,post
M1,30.0,7.0,all,,2.0,3.0,150,150.0,post
M1,30.0,7.0,all,,3.0,4.0,145,145.0,post
M1,30.0,7.0,all,,4.0,5.0,99,99.0,post
M1,30.0,7.0,all,,5.0,6.0,85,85.0,post
M1,30.0,7.0,all,,6.0,7.0,69,69.0,post
M1,30.0,7.0,mainshock_window,1.2,-7.0,-6.0,1,1.0,pre
M1,30.0,7.0,mainshock_window,1.2,-6.0,-5.0,38,38.0,pre
M1,30.0,7.0,mainshock_window,1.2,-5.0,-4.0,21,21.0,pre
M1,30.0,7.0,mainshock_window,1.2,-4.0,-3.0,28,28.0,pre
M1,30.0,7.0,mainshock_window,1.2,-3.0,-2.0,18,18.0,pre
M1,30.0,7.0,mainshock_window,1.2,-2.0,-1.0,76,76.0,pre
M1,30.0,7.0,mainshock_window,1.2,-1.0,0.0,297,297.0,pre
M1,30.0,7.0,mainshock_window,1.2,0.0,1.0,605,605.0,post
M1,30.0,7.0,mainshock_window,1.2,1.0,2.0,262,262.0,post
M1,30.0,7.0,mainshock_window,1.2,2.0,3.0,145,145.0,post
M1,30.0,7.0,mainshock_window,1.2,3.0,4.0,135,135.0,post
M1,30.0,7.0,mainshock_window,1.2,4.0,5.0,90,90.0,post
M1,30.0,7.0,mainshock_window,1.2,5.0,6.0,82,82.0,post
M1,30.0,7.0,mainshock_window,1.2,6.0,7.0,64,64.0,post
M1,30.0,7.0,mainshock_window,1.5,-7.0,-6.0,1,1.0,pre
M1,30.0,7.0,mainshock_window,1.5,-6.0,-5.0,27,27.0,pre
M1,30.0,7.0,mainshock_window,1.5,-5.0,-4.0,11,11.0,pre
M1,30.0,7.0,mainshock_window,1.5,-4.0,-3.0,19,19.0,pre
M1,30.0,7.0,mainshock_window,1.5,-3.0,-2.0,15,15.0,pre
M1,30.0,7.0,mainshock_window,1.5,-2.0,-1.0,61,61.0,pre
M1,30.0,7.0,mainshock_window,1.5,-1.0,0.0,237,237.0,pre
M1,30.0,7.0,mainshock_window,1.5,0.0,1.0,582,582.0,post
M1,30.0,7.0,mainshock_window,1.5,1.0,2.0,233,233.0,post
M1,30.0,7.0,mainshock_window,1.5,2.0,3.0,125,125.0,post
M1,30.0,7.0,mainshock_window,1.5,3.0,4.0,102,102.0,post
M1,30.0,7.0,mainshock_window,1.5,4.0,5.0,68,68.0,post
M1,30.0,7.0,mainshock_window,1.5,5.0,6.0,64,64.0,post
M1,30.0,7.0,mainshock_window,1.5,6.0,7.0,48,48.0,post
M1,30.0,7.0,mainshock_window,2.0,-6.0,-5.0,10,10.0,pre
M1,30.0,7.0,mainshock_window,2.0,-5.0,-4.0,7,7.0,pre
M1,30.0,7.0,mainshock_window,2.0,-4.0,-3.0,6,6.0,pre
M1,30.0,7.0,mainshock_window,2.0,-3.0,-2.0,3,3.0,pre
M1,30.0,7.0,mainshock_window,2.0,-2.0,-1.0,22,22.0,pre
M1,30.0,7.0,mainshock_window,2.0,-1.0,0.0,126,126.0,pre
M1,30.0,7.0,mainshock_window,2.0,0.0,1.0,417,417.0,post
M1,30.0,7.0,mainshock_window,2.0,1.0,2.0,120,120.0,post
M1,30.0,7.0,mainshock_window,2.0,2.0,3.0,54,54.0,post
M1,30.0,7.0,mainshock_window,2.0,3.0,4.0,44,44.0,post
M1,30.0,7.0,mainshock_window,2.0,4.0,5.0,24,24.0,post
M1,30.0,7.0,mainshock_window,2.0,5.0,6.0,25,25.0,post
M1,30.0,7.0,mainshock_window,2.0,6.0,7.0,11,11.0,post
M1,30.0,7.0,mainshock_window,2.5,-6.0,-5.0,4,4.0,pre
M1,30.0,7.0,mainshock_window,2.5,-5.0,-4.0,4,4.0,pre
M1,30.0,7.0,mainshock_window,2.5,-4.0,-3.0,4,4.0,pre
M1,30.0,7.0,mainshock_window,2.5,-3.0,-2.0,2,2.0,pre
M1,30.0,7.0,mainshock_window,2.5,-2.0,-1.0,15,15.0,pre
M1,30.0,7.0,mainshock_window,2.5,-1.0,0.0,70,70.0,pre
M1,30.0,7.0,mainshock_window,2.5,0.0,1.0,246,246.0,post
M1,30.0,7.0,mainshock_window,2.5,1.0,2.0,44,44.0,post
M1,30.0,7.0,mainshock_window,2.5,2.0,3.0,17,17.0,post
M1,30.0,7.0,mainshock_window,2.5,3.0,4.0,19,19.0,post
M1,30.0,7.0,mainshock_window,2.5,4.0,5.0,9,9.0,post
M1,30.0,7.0,mainshock_window,2.5,5.0,6.0,10,10.0,post
M1,30.0,7.0,mainshock_window,2.5,6.0,7.0,5,5.0,post
M1,30.0,7.0,mainshock_window,,-7.0,-6.0,1,1.0,pre
M1,30.0,7.0,mainshock_window,,-6.0,-5.0,39,39.0,pre
M1,30.0,7.0,mainshock_window,,-5.0,-4.0,23,23.0,pre
M1,30.0,7.0,mainshock_window,,-4.0,-3.0,31,31.0,pre
M1,30.0,7.0,mainshock_window,,-3.0,-2.0,19,19.0,pre
M1,30.0,7.0,mainshock_window,,-2.0,-1.0,79,79.0,pre
M1,30.0,7.0,mainshock_window,,-1.0,0.0,314,314.0,pre
M1,30.0,7.0,mainshock_window,,0.0,1.0,608,608.0,post
M1,30.0,7.0,mainshock_window,,1.0,2.0,264,264.0,post
M1,30.0,7.0,mainshock_window,,2.0,3.0,150,150.0,post
M1,30.0,7.0,mainshock_window,,3.0,4.0,145,145.0,post
M1,30.0,7.0,mainshock_window,,4.0,5.0,99,99.0,post
M1,30.0,7.0,mainshock_window,,5.0,6.0,85,85.0,post
M1,30.0,7.0,mainshock_window,,6.0,7.0,69,69.0,post
M1,30.0,7.0,stratified,1.2,-7.0,-6.0,1,1.0,pre
M1,30.0,7.0,stratified,1.2,-6.0,-5.0,38,38.0,pre
M1,30.0,7.0,stratified,1.2,-5.0,-4.0,21,21.0,pre
M1,30.0,7.0,stratified,1.2,-4.0,-3.0,28,28.0,pre
M1,30.0,7.0,stratified,1.2,-3.0,-2.0,18,18.0,pre
M1,30.0,7.0,stratified,1.2,-2.0,-1.0,76,76.0,pre
M1,30.0,7.0,stratified,1.2,-1.0,0.0,297,297.0,pre
M1,30.0,7.0,stratified,1.2,0.0,1.0,603,603.0,post
M1,30.0,7.0,stratified,1.2,1.0,2.0,261,261.0,post
M1,30.0,7.0,stratified,1.2,2.0,3.0,145,145.0,post
M1,30.0,7.0,stratified,1.2,3.0,4.0,135,135.0,post
M1,30.0,7.0,stratified,1.2,4.0,5.0,90,90.0,post
M1,30.0,7.0,stratified,1.2,5.0,6.0,82,82.0,post
M1,30.0,7.0,stratified,1.2,6.0,7.0,64,64.0,post
M1,30.0,7.0,stratified,1.5,-7.0,-6.0,1,1.0,pre
M1,30.0,7.0,stratified,1.5,-6.0,-5.0,27,27.0,pre
M1,30.0,7.0,stratified,1.5,-5.0,-4.0,11,11.0,pre
M1,30.0,7.0,stratified,1.5,-4.0,-3.0,19,19.0,pre
M1,30.0,7.0,stratified,1.5,-3.0,-2.0,15,15.0,pre
M1,30.0,7.0,stratified,1.5,-2.0,-1.0,61,61.0,pre
M1,30.0,7.0,stratified,1.5,-1.0,0.0,237,237.0,pre
M1,30.0,7.0,stratified,1.5,0.0,1.0,580,580.0,post
M1,30.0,7.0,stratified,1.5,1.0,2.0,232,232.0,post
M1,30.0,7.0,stratified,1.5,2.0,3.0,125,125.0,post
M1,30.0,7.0,stratified,1.5,3.0,4.0,102,102.0,post
M1,30.0,7.0,stratified,1.5,4.0,5.0,68,68.0,post
M1,30.0,7.0,stratified,1.5,5.0,6.0,64,64.0,post
M1,30.0,7.0,stratified,1.5,6.0,7.0,48,48.0,post
M1,30.0,7.0,stratified,2.0,-6.0,-5.0,10,10.0,pre
M1,30.0,7.0,stratified,2.0,-5.0,-4.0,7,7.0,pre
M1,30.0,7.0,stratified,2.0,-4.0,-3.0,6,6.0,pre
M1,30.0,7.0,stratified,2.0,-3.0,-2.0,3,3.0,pre
M1,30.0,7.0,stratified,2.0,-2.0,-1.0,22,22.0,pre
M1,30.0,7.0,stratified,2.0,-1.0,0.0,126,126.0,pre
M1,30.0,7.0,stratified,2.0,0.0,1.0,416,416.0,post
M1,30.0,7.0,stratified,2.0,1.0,2.0,119,119.0,post
M1,30.0,7.0,stratified,2.0,2.0,3.0,54,54.0,post
M1,30.0,7.0,stratified,2.0,3.0,4.0,44,44.0,post
M1,30.0,7.0,stratified,2.0,4.0,5.0,24,24.0,post
M1,30.0,7.0,stratified,2.0,5.0,6.0,25,25.0,post
M1,30.0,7.0,stratified,2.0,6.0,7.0,11,11.0,post
M1,30.0,7.0,stratified,2.5,-6.0,-5.0,4,4.0,pre
M1,30.0,7.0,stratified,2.5,-5.0,-4.0,4,4.0,pre
M1,30.0,7.0,stratified,2.5,-4.0,-3.0,4,4.0,pre
M1,30.0,7.0,stratified,2.5,-3.0,-2.0,2,2.0,pre
M1,30.0,7.0,stratified,2.5,-2.0,-1.0,15,15.0,pre
M1,30.0,7.0,stratified,2.5,-1.0,0.0,70,70.0,pre
M1,30.0,7.0,stratified,2.5,0.0,1.0,246,246.0,post
M1,30.0,7.0,stratified,2.5,1.0,2.0,44,44.0,post
M1,30.0,7.0,stratified,2.5,2.0,3.0,17,17.0,post
M1,30.0,7.0,stratified,2.5,3.0,4.0,19,19.0,post
M1,30.0,7.0,stratified,2.5,4.0,5.0,9,9.0,post
M1,30.0,7.0,stratified,2.5,5.0,6.0,10,10.0,post
M1,30.0,7.0,stratified,2.5,6.0,7.0,5,5.0,post
M1,30.0,7.0,stratified,,-7.0,-6.0,1,1.0,pre
M1,30.0,7.0,stratified,,-6.0,-5.0,39,39.0,pre
M1,30.0,7.0,stratified,,-5.0,-4.0,23,23.0,pre
M1,30.0,7.0,stratified,,-4.0,-3.0,31,31.0,pre
M1,30.0,7.0,stratified,,-3.0,-2.0,19,19.0,pre
M1,30.0,7.0,stratified,,-2.0,-1.0,79,79.0,pre
M1,30.0,7.0,stratified,,-1.0,0.0,314,314.0,pre
M1,30.0,7.0,stratified,,0.0,1.0,606,606.0,post
M1,30.0,7.0,stratified,,1.0,2.0,263,263.0,post
M1,30.0,7.0,stratified,,2.0,3.0,150,150.0,post
M1,30.0,7.0,stratified,,3.0,4.0,145,145.0,post
M1,30.0,7.0,stratified,,4.0,5.0,99,99.0,post
M1,30.0,7.0,stratified,,5.0,6.0,85,85.0,post
M1,30.0,7.0,stratified,,6.0,7.0,69,69.0,post
M1,30.0,30.0,all,1.2,-30.0,-29.0,2,2.0,pre
M1,30.0,30.0,all,1.2,-29.0,-28.0,1,1.0,pre
M1,30.0,30.0,all,1.2,-27.0,-26.0,1,1.0,pre
M1,30.0,30.0,all,1.2,-23.0,-22.0,1,1.0,pre
M1,30.0,30.0,all,1.2,-18.0,-17.0,1,1.0,pre
M1,30.0,30.0,all,1.2,-17.0,-16.0,1,1.0,pre
M1,30.0,30.0,all,1.2,-12.0,-11.0,2,2.0,pre
M1,30.0,30.0,all,1.2,-9.0,-8.0,2,2.0,pre
M1,30.0,30.0,all,1.2,-8.0,-7.0,2,2.0,pre
M1,30.0,30.0,all,1.2,-7.0,-6.0,1,1.0,pre
M1,30.0,30.0,all,1.2,-6.0,-5.0,38,38.0,pre
M1,30.0,30.0,all,1.2,-5.0,-4.0,21,21.0,pre
M1,30.0,30.0,all,1.2,-4.0,-3.0,28,28.0,pre
M1,30.0,30.0,all,1.2,-3.0,-2.0,18,18.0,pre
M1,30.0,30.0,all,1.2,-2.0,-1.0,76,76.0,pre
M1,30.0,30.0,all,1.2,-1.0,0.0,297,297.0,pre
M1,30.0,30.0,all,1.2,0.0,1.0,605,605.0,post
M1,30.0,30.0,all,1.2,1.0,2.0,262,262.0,post
M1,30.0,30.0,all,1.2,2.0,3.0,145,145.0,post
M1,30.0,30.0,all,1.2,3.0,4.0,135,135.0,post
M1,30.0,30.0,all,1.2,4.0,5.0,90,90.0,post
M1,30.0,30.0,all,1.2,5.0,6.0,82,82.0,post
M1,30.0,30.0,all,1.2,6.0,7.0,64,64.0,post
M1,30.0,30.0,all,1.2,7.0,8.0,47,47.0,post
M1,30.0,30.0,all,1.2,8.0,9.0,36,36.0,post
M1,30.0,30.0,all,1.2,9.0,10.0,31,31.0,post
M1,30.0,30.0,all,1.2,10.0,11.0,43,43.0,post
M1,30.0,30.0,all,1.2,11.0,12.0,38,38.0,post
M1,30.0,30.0,all,1.2,12.0,13.0,62,62.0,post
M1,30.0,30.0,all,1.2,13.0,14.0,23,23.0,post
M1,30.0,30.0,all,1.2,14.0,15.0,38,38.0,post
M1,30.0,30.0,all,1.2,15.0,16.0,30,30.0,post
M1,30.0,30.0,all,1.2,16.0,17.0,24,24.0,post
M1,30.0,30.0,all,1.2,17.0,18.0,27,27.0,post
M1,30.0,30.0,all,1.2,18.0,19.0,23,23.0,post
M1,30.0,30.0,all,1.2,19.0,20.0,17,17.0,post
M1,30.0,30.0,all,1.2,20.0,21.0,29,29.0,post
M1,30.0,30.0,all,1.2,21.0,22.0,12,12.0,post
M1,30.0,30.0,all,1.2,22.0,23.0,19,19.0,post
M1,30.0,30.0,all,1.2,23.0,24.0,12,12.0,post
M1,30.0,30.0,all,1.2,24.0,25.0,14,14.0,post
M1,30.0,30.0,all,1.2,25.0,26.0,7,7.0,post
M1,30.0,30.0,all,1.2,26.0,27.0,12,12.0,post
M1,30.0,30.0,all,1.2,27.0,28.0,36,36.0,post
M1,30.0,30.0,all,1.2,28.0,29.0,24,24.0,post
M1,30.0,30.0,all,1.2,29.0,30.0,16,16.0,post
M1,30.0,30.0,all,1.5,-30.0,-29.0,2,2.0,pre
M1,30.0,30.0,all,1.5,-23.0,-22.0,1,1.0,pre
M1,30.0,30.0,all,1.5,-18.0,-17.0,1,1.0,pre
M1,30.0,30.0,all,1.5,-17.0,-16.0,1,1.0,pre
M1,30.0,30.0,all,1.5,-12.0,-11.0,1,1.0,pre
M1,30.0,30.0,all,1.5,-9.0,-8.0,2,2.0,pre
M1,30.0,30.0,all,1.5,-8.0,-7.0,2,2.0,pre
M1,30.0,30.0,all,1.5,-7.0,-6.0,1,1.0,pre
M1,30.0,30.0,all,1.5,-6.0,-5.0,27,27.0,pre
M1,30.0,30.0,all,1.5,-5.0,-4.0,11,11.0,pre
M1,30.0,30.0,all,1.5,-4.0,-3.0,19,19.0,pre
M1,30.0,30.0,all,1.5,-3.0,-2.0,15,15.0,pre
M1,30.0,30.0,all,1.5,-2.0,-1.0,61,61.0,pre
M1,30.0,30.0,all,1.5,-1.0,0.0,237,237.0,pre
M1,30.0,30.0,all,1.5,0.0,1.0,582,582.0,post
M1,30.0,30.0,all,1.5,1.0,2.0,233,233.0,post
M1,30.0,30.0,all,1.5,2.0,3.0,125,125.0,post
M1,30.0,30.0,all,1.5,3.0,4.0,102,102.0,post
M1,30.0,30.0,all,1.5,4.0,5.0,68,68.0,post
M1,30.0,30.0,all,1.5,5.0,6.0,64,64.0,post
M1,30.0,30.0,all,1.5,6.0,7.0,48,48.0,post
M1,30.0,30.0,all,1.5,7.0,8.0,31,31.0,post
M1,30.0,30.0,all,1.5,8.0,9.0,26,26.0,post
M1,30.0,30.0,all,1.5,9.0,10.0,28,28.0,post
M1,30.0,30.0,all,1.5,10.0,11.0,32,32.0,post
M1,30.0,30.0,all,1.5,11.0,12.0,25,25.0,post
M1,30.0,30.0,all,1.5,12.0,13.0,53,53.0,post
M1,30.0,30.0,all,1.5,13.0,14.0,22,22.0,post
M1,30.0,30.0,all,1.5,14.0,15.0,26,26.0,post
M1,30.0,30.0,all,1.5,15.0,16.0,19,19.0,post
M1,30.0,30.0,all,1.5,16.0,17.0,12,12.0,post
M1,30.0,30.0,all,1.5,17.0,18.0,23,23.0,post
M1,30.0,30.0,all,1.5,18.0,19.0,13,13.0,post
M1,30.0,30.0,all,1.5,19.0,20.0,15,15.0,post
M1,30.0,30.0,all,1.5,20.0,21.0,21,21.0,post
M1,30.0,30.0,all,1.5,21.0,22.0,7,7.0,post
M1,30.0,30.0,all,1.5,22.0,23.0,14,14.0,post
M1,30.0,30.0,all,1.5,23.0,24.0,8,8.0,post
M1,30.0,30.0,all,1.5,24.0,25.0,13,13.0,post
M1,30.0,30.0,all,1.5,25.0,26.0,6,6.0,post
M1,30.0,30.0,all,1.5,26.0,27.0,10,10.0,post
M1,30.0,30.0,all,1.5,27.0,28.0,25,25.0,post
M1,30.0,30.0,all,1.5,28.0,29.0,15,15.0,post
M1,30.0,30.0,all,1.5,29.0,30.0,13,13.0,post
M1,30.0,30.0,all,2.0,-30.0,-29.0,1,1.0,pre
M1,30.0,30.0,all,2.0,-23.0,-22.0,1,1.0,pre
M1,30.0,30.0,all,2.0,-18.0,-17.0,1,1.0,pre
M1,30.0,30.0,all,2.0,-17.0,-16.0,1,1.0,pre
M1,30.0,30.0,all,2.0,-12.0,-11.0,1,1.0,pre
M1,30.0,30.0,all,2.0,-8.0,-7.0,1,1.0,pre
M1,30.0,30.0,all,2.0,-6.0,-5.0,10,10.0,pre
M1,30.0,30.0,all,2.0,-5.0,-4.0,7,7.0,pre
M1,30.0,30.0,all,2.0,-4.0,-3.0,6,6.0,pre
M1,30.0,30.0,all,2.0,-3.0,-2.0,3,3.0,pre
M1,30.0,30.0,all,2.0,-2.0,-1.0,22,22.0,pre
M1,30.0,30.0,all,2.0,-1.0,0.0,126,126.0,pre
M1,30.0,30.0,all,2.0,0.0,1.0,417,417.0,post
M1,30.0,30.0,all,2.0,1.0,2.0,120,120.0,post
M1,30.0,30.0,all,2.0,2.0,3.0,54,54.0,post
M1,30.0,30.0,all,2.0,3.0,4.0,44,44.0,post
M1,30.0,30.0,all,2.0,4.0,5.0,24,24.0,post
M1,30.0,30.0,all,2.0,5.0,6.0,25,25.0,post
M1,30.0,30.0,all,2.0,6.0,7.0,11,11.0,post
M1,30.0,30.0,all,2.0,7.0,8.0,7,7.0,post
M1,30.0,30.0,all,2.0,8.0,9.0,8,8.0,post
M1,30.0,30.0,all,2.0,9.0,10.0,11,11.0,post
M1,30.0,30.0,all,2.0,10.0,11.0,9,9.0,post
M1,30.0,30.0,all,2.0,11.0,12.0,12,12.0,post
M1,30.0,30.0,all,2.0,12.0,13.0,20,20.0,post
M1,30.0,30.0,all,2.0,13.0,14.0,5,5.0,post
M1,30.0,30.0,all,2.0,14.0,15.0,8,8.0,post
M1,30.0,30.0,all,2.0,15.0,16.0,8,8.0,post
M1,30.0,30.0,all,2.0,16.0,17.0,5,5.0,post
M1,30.0,30.0,all,2.0,17.0,18.0,10,10.0,post
M1,30.0,30.0,all,2.0,18.0,19.0,4,4.0,post
M1,30.0,30.0,all,2.0,19.0,20.0,3,3.0,post
M1,30.0,30.0,all,2.0,20.0,21.0,11,11.0,post
M1,30.0,30.0,all,2.0,21.0,22.0,3,3.0,post
M1,30.0,30.0,all,2.0,22.0,23.0,7,7.0,post
M1,30.0,30.0,all,2.0,23.0,24.0,2,2.0,post
M1,30.0,30.0,all,2.0,24.0,25.0,5,5.0,post
M1,30.0,30.0,all,2.0,25.0,26.0,2,2.0,post
M1,30.0,30.0,all,2.0,26.0,27.0,1,1.0,post
M1,30.0,30.0,all,2.0,27.0,28.0,12,12.0,post
M1,30.0,30.0,all,2.0,28.0,29.0,6,6.0,post
M1,30.0,30.0,all,2.0,29.0,30.0,8,8.0,post
M1,30.0,30.0,all,2.5,-18.0,-17.0,1,1.0,pre
M1,30.0,30.0,all,2.5,-17.0,-16.0,1,1.0,pre
M1,30.0,30.0,all,2.5,-8.0,-7.0,1,1.0,pre
M1,30.0,30.0,all,2.5,-6.0,-5.0,4,4.0,pre
M1,30.0,30.0,all,2.5,-5.0,-4.0,4,4.0,pre
M1,30.0,30.0,all,2.5,-4.0,-3.0,4,4.0,pre
M1,30.0,30.0,all,2.5,-3.0,-2.0,2,2.0,pre
M1,30.0,30.0,all,2.5,-2.0,-1.0,15,15.0,pre
M1,30.0,30.0,all,2.5,-1.0,0.0,70,70.0,pre
M1,30.0,30.0,all,2.5,0.0,1.0,246,246.0,post
M1,30.0,30.0,all,2.5,1.0,2.0,44,44.0,post
M1,30.0,30.0,all,2.5,2.0,3.0,17,17.0,post
M1,30.0,30.0,all,2.5,3.0,4.0,19,19.0,post
M1,30.0,30.0,all,2.5,4.0,5.0,9,9.0,post
M1,30.0,30.0,all,2.5,5.0,6.0,10,10.0,post
M1,30.0,30.0,all,2.5,6.0,7.0,5,5.0,post
M1,30.0,30.0,all,2.5,7.0,8.0,3,3.0,post
M1,30.0,30.0,all,2.5,8.0,9.0,4,4.0,post
M1,30.0,30.0,all,2.5,9.0,10.0,2,2.0,post
M1,30.0,30.0,all,2.5,10.0,11.0,4,4.0,post
M1,30.0,30.0,all,2.5,11.0,12.0,6,6.0,post
M1,30.0,30.0,all,2.5,12.0,13.0,9,9.0,post
M1,30.0,30.0,all,2.5,13.0,14.0,1,1.0,post
M1,30.0,30.0,all,2.5,14.0,15.0,3,3.0,post
M1,30.0,30.0,all,2.5,15.0,16.0,1,1.0,post
M1,30.0,30.0,all,2.5,17.0,18.0,2,2.0,post
M1,30.0,30.0,all,2.5,18.0,19.0,3,3.0,post
M1,30.0,30.0,all,2.5,19.0,20.0,1,1.0,post
M1,30.0,30.0,all,2.5,20.0,21.0,3,3.0,post
M1,30.0,30.0,all,2.5,22.0,23.0,3,3.0,post
M1,30.0,30.0,all,2.5,23.0,24.0,1,1.0,post
M1,30.0,30.0,all,2.5,24.0,25.0,2,2.0,post
M1,30.0,30.0,all,2.5,25.0,26.0,1,1.0,post
M1,30.0,30.0,all,2.5,27.0,28.0,7,7.0,post
M1,30.0,30.0,all,2.5,28.0,29.0,3,3.0,post
M1,30.0,30.0,all,2.5,29.0,30.0,4,4.0,post
M1,30.0,30.0,all,,-30.0,-29.0,2,2.0,pre
M1,30.0,30.0,all,,-29.0,-28.0,1,1.0,pre
M1,30.0,30.0,all,,-27.0,-26.0,1,1.0,pre
M1,30.0,30.0,all,,-23.0,-22.0,1,1.0,pre
M1,30.0,30.0,all,,-18.0,-17.0,1,1.0,pre
M1,30.0,30.0,all,,-17.0,-16.0,1,1.0,pre
M1,30.0,30.0,all,,-12.0,-11.0,2,2.0,pre
M1,30.0,30.0,all,,-9.0,-8.0,2,2.0,pre
M1,30.0,30.0,all,,-8.0,-7.0,2,2.0,pre
M1,30.0,30.0,all,,-7.0,-6.0,1,1.0,pre
M1,30.0,30.0,all,,-6.0,-5.0,39,39.0,pre
M1,30.0,30.0,all,,-5.0,-4.0,23,23.0,pre
M1,30.0,30.0,all,,-4.0,-3.0,31,31.0,pre
M1,30.0,30.0,all,,-3.0,-2.0,19,19.0,pre
M1,30.0,30.0,all,,-2.0,-1.0,79,79.0,pre
M1,30.0,30.0,all,,-1.0,0.0,314,314.0,pre
M1,30.0,30.0,all,,0.0,1.0,608,608.0,post
M1,30.0,30.0,all,,1.0,2.0,264,264.0,post
M1,30.0,30.0,all,,2.0,3.0,150,150.0,post
M1,30.0,30.0,all,,3.0,4.0,145,145.0,post
M1,30.0,30.0,all,,4.0,5.0,99,99.0,post
M1,30.0,30.0,all,,5.0,6.0,85,85.0,post
M1,30.0,30.0,all,,6.0,7.0,69,69.0,post
M1,30.0,30.0,all,,7.0,8.0,50,50.0,post
M1,30.0,30.0,all,,8.0,9.0,37,37.0,post
M1,30.0,30.0,all,,9.0,10.0,33,33.0,post
M1,30.0,30.0,all,,10.0,11.0,43,43.0,post
