event_time,latitude,longitude,depth_km,magnitude
2019-07-04 00:56:37.590000+00:00,36.08852379518505,-117.82790782193673,9.70163162,0.66
2019-07-04 02:34:31.210000+00:00,36.11893979518505,-117.64291706091389,3.7934812399999998,0.43
2019-07-04 03:20:28.460000+00:00,36.11053679518505,-117.62022744201747,2.27652371,0.88
2019-07-04 05:16:47.590000+00:00,36.08785979518505,-117.83465477309599,8.4241937,0.75
2019-07-04 05:20:57.320000+00:00,36.11083779518505,-117.64445446418223,3.3362165299999997,0.83
2019-07-04 06:33:14.470000+00:00,36.11038179518505,-117.65111943060384,3.69186686,0.25
2019-07-04 11:51:07.470000+00:00,36.113734795185046,-117.59783167752578,1.3111871000000002,0.79
2019-07-04 11:52:16.020000+00:00,35.72945379518505,-117.55785464277572,3.5249289499999996,0.15
2019-07-04 15:35:29.240000+00:00,35.70763979518505,-117.48840306726134,9.977442080000001,0.57
2019-07-04 15:42:47.800000+00:00,35.70700479518505,-117.49116202142393,10.48551398,0.72
2019-07-04 16:07:19.840000+00:00,35.70699679518505,-117.49136502084646,10.50728849,0.71
2019-07-04 16:13:11.360000+00:00,35.71555379518505,-117.47028863865322,8.28628847,0.31
2019-07-04 16:13:42.900000+00:00,35.70692379518505,-117.49098201557706,10.73229176,1.71
2019-07-04 16:16:07.100000+00:00,35.70910479518505,-117.4866771730177,9.70163162,0.49
2019-07-04 17:02:54.920000+00:00,35.70759079518505,-117.49193506372423,10.558095680000001,4.54
2019-07-04 17:06:23.360000+00:00,35.70540179518505,-117.48904590571793,10.13712182,1.22
2019-07-04 17:07:54.760000+00:00,35.70856779518505,-117.48107013425151,9.941151230000001,0.65
2019-07-04 17:08:25.980000+00:00,35.73258279518505,-117.47506686890668,8.387902850000001,0.67
2019-07-04 17:08:51.600000+00:00,35.70798179518505,-117.48779209194917,9.977442080000001,0.73
2019-07-04 17:09:19.640000+00:00,35.70783479518505,-117.49036408133769,10.579870190000001,2.64
2019-07-04 17:11:34.760000+00:00,35.81980579518505,-117.51936018654145,4.664461640000001,0.83
2019-07-04 17:12:14.520000+00:00,35.70695979518505,-117.49160901817565,10.391157770000001,2.32
2019-07-04 17:12:37.680000+00:00,35.70706179518505,-117.49124302553841,10.376641430000001,1.74
2019-07-04 17:13:25.720000+00:00,35.70709879518505,-117.48942802820922,10.260510710000002,0.76
2019-07-04 17:13:51.440000+00:00,35.70722879518505,-117.48923303759318,10.405674110000001,0.88
2019-07-04 17:14:44.120000+00:00,35.708241795185046,-117.48702711071797,9.49840286,0.55
2019-07-04 17:15:05.120000+00:00,35.70383879518505,-117.50062579290797,10.369383260000001,0.37
2019-07-04 17:15:46.640000+00:00,35.70787179518505,-117.49215408400859,10.420190450000002,1.5
2019-07-04 17:16:18.160000+00:00,35.70816879518505,-117.49184510544825,9.90486038,0.81
2019-07-04 17:16:50.520000+00:00,35.72837579518505,-117.43606856487739,3.32170019,0.38
2019-07-04 17:17:41.240000+00:00,35.72340279518505,-117.45568120557266,6.54432767,0.42
2019-07-04 17:18:07.180000+00:00,35.70730579518505,-117.4899250431514,9.948409400000001,0.54
2019-07-04 17:18:44.940000+00:00,35.72778579518505,-117.44262752224463,5.02011197,0.19
2019-07-04 17:20:54.600000+00:00,35.72284179518505,-117.45916416504534,6.370131590000001,0.48
2019-07-04 17:27:34.680000+00:00,35.70680579518505,-117.49016900705942,10.151638160000001,0.83
2019-07-04 17:30:34.660000+00:00,35.72290679518505,-117.45368716974096,6.704007410000001,0.62
2019-07-04 17:31:37.560000+00:00,35.70711079518505,-117.48642502907542,9.774213320000001,0.56
2019-07-04 17:31:51.880000+00:00,35.71631079518505,-117.47542369332042,8.46774272,0.73
2019-07-04 17:32:52.240000+00:00,35.70786379518505,-117.4914870834311,9.955667570000001,1.12
2019-07-04 17:33:49.040000+00:00,35.705333,-117.503833,10.5,6.4
2019-07-04 17:35:01.280000+00:00,35.64102579518505,-117.55307126655964,8.56209893,4.49
2019-07-04 17:35:51.840000+00:00,35.69039979518505,-117.50252882330362,2.72653025,4.68
2019-07-04 17:36:39.000000+00:00,35.78830379518505,-117.51195990168593,0.9700531099999999,3.5
2019-07-04 17:36:59.360000+00:00,35.75315579518505,-117.58497135657537,4.381393010000001,3.92
2019-07-04 17:37:14.680000+00:00,35.66498379518505,-117.51623199133401,3.85880477,4.39
2019-07-04 17:37:25.360000+00:00,35.67473379518505,-117.44829669383623,10.69600091,4.23
2019-07-04 17:37:55.240000+00:00,35.74354879518505,-117.54216566168876,6.776589110000001,4.05
2019-07-04 17:38:21.200000+00:00,35.71408879518505,-117.46911653286318,3.3362165299999997,3.63
2019-07-04 17:38:46.400000+00:00,35.67151879518505,-117.54611546215325,12.55409243,3.67
2019-07-04 17:39:34.940000+00:00,35.68612679518505,-117.48213451514764,9.781471490000001,4.04
2019-07-04 17:40:01.960000+00:00,35.72417979518505,-117.56103626170596,6.5733603500000015,3.98
2019-07-04 17:40:18.000000+00:00,35.70671979518505,-117.4937740008517,9.63630809,4.55
2019-07-04 17:41:21.000000+00:00,35.73904479518505,-117.53262733602214,4.49026556,3.46
2019-07-04 17:41:43.360000+00:00,35.61189179518505,-117.58173917190378,6.6604583900000005,2.81
2019-07-04 17:42:21.480000+00:00,35.57485179518505,-117.63260751317429,8.816134880000002,3.21
2019-07-04 17:42:53.820000+00:00,35.72963279518505,-117.551848655711,6.950785190000001,3.36
2019-07-04 17:43:29.200000+00:00,35.65521879518505,-117.52899928808989,9.839536850000002,3.63
2019-07-04 17:43:48.940000+00:00,35.74395579518505,-117.53507669112089,5.593507400000001,3.16
2019-07-04 17:44:32.580000+00:00,35.68564679518505,-117.49931448053553,3.53944529,4.02
2019-07-04 17:45:05.640000+00:00,35.69487979518505,-117.47712214645763,4.766076020000001,3.21
2019-07-04 17:45:23.600000+00:00,35.70646379518505,-117.53111898237303,5.615281910000001,3.07
2019-07-04 17:45:28.760000+00:00,35.71193279518505,-117.54972337718883,0.9700531099999999,3.18
2019-07-04 17:46:03.260000+00:00,35.637526795185046,-117.60167101483177,10.7468081,3.07
2019-07-04 17:46:20.160000+00:00,35.65781479518505,-117.52207447501243,4.99833746,2.88
2019-07-04 17:46:49.500000+00:00,35.63425079518505,-117.60230577918657,11.015360390000001,3.24
2019-07-04 17:47:17.540000+00:00,35.74410179518505,-117.536338701679,6.44271329,3.76
2019-07-04 17:47:40.720000+00:00,35.72343579518505,-117.55573020795666,4.5338145800000005,3.05
2019-07-04 17:47:54.600000+00:00,35.72312679518505,-117.55507018563394,4.6426871300000006,3.77
