series_label,window_label,radius_km,mc_mode,exploratory,matched_center_time,hours_since_mw64,time_mismatch_hours,delta_b,delta_b_ci_low,delta_b_ci_high,delta_b_ci_width,joint_reliability_label,mw71_b,mw64_b,mw71_n_ge_mc,mw64_n_ge_mc,mw71_center_time,mw64_center_time
5km_fixed,primary_N100_step20,5,fixed,False,2019-07-05 02:11:59.960000+00:00,8.636366666666666,0.052344444444445415,-0.5319899075968537,-0.971294747713789,-0.16955118591439167,0.8017435617993973,exploratory,0.44509175834883224,0.9770816659456859,40,40,2019-07-05 02:11:59.960000+00:00,2019-07-05 02:15:08.400000+00:00
5km_fixed,primary_N100_step20,5,fixed,False,2019-07-05 04:11:33.170000+00:00,10.628924999999999,0.10046111111110889,-0.2621613842884878,-0.6553302925556749,0.1145593658677786,0.7698896584234535,exploratory,0.5143220118973375,0.7764833961858253,34,37,2019-07-05 04:11:33.170000+00:00,2019-07-05 04:05:31.510000+00:00
5km_fixed,primary_N100_step20,5,fixed,False,2019-07-05 08:28:32.230000+00:00,14.911997222222222,0.049069444444445054,-0.07116761607355748,-0.4608387459301925,0.26134321574503055,0.722181961675223,highly_unreliable,0.5392352388050257,0.6104028548785831,50,20,2019-07-05 08:28:32.230000+00:00,2019-07-05 08:25:35.580000+00:00
5km_fixed,primary_N100_step20,5,fixed,False,2019-07-05 11:08:39.870000+00:00,17.580786111111113,0.07311111111111401,-0.2516725106851947,-0.9588265244875936,0.16439297618539972,1.1232195006729935,highly_unreliable,0.5860134395888719,0.8376859502740666,54,26,2019-07-05 11:08:39.870000+00:00,2019-07-05 11:04:16.670000+00:00
5km_fixed,primary_N100_step20,5,fixed,False,2019-07-05 11:44:25.770000+00:00,18.176869444444446,0.03594166666666254,-0.0005721892239310966,-0.6887479191222508,0.51940547431249,1.2081533934347406,exploratory,0.8773924307505152,0.8779646199744463,51,31,2019-07-05 11:44:25.770000+00:00,2019-07-05 11:46:35.160000+00:00
5km_fixed,primary_N100_step20,5,fixed,False,2019-07-05 12:13:37.790000+00:00,18.663541666666667,0.0803611111111131,-0.008267279056631938,-0.7896283746437928,0.8019085702987553,1.591536944942548,exploratory,0.8741391667173538,0.8824064457739857,38,32,2019-07-05 12:13:37.790000+00:00,2019-07-05 12:18:27.090000+00:00
5km_fixed,primary_N100_step20,5,fixed,False,2019-07-05 12:53:40.550000+00:00,19.330975,0.04028333333333123,-0.11184515115503835,-1.020708201224843,0.6441715386198801,1.664879739844723,exploratory,0.7910865030249816,0.90293165418002,35,30,2019-07-05 12:53:40.550000+00:00,2019-07-05 12:51:15.530000+00:00
5km_fixed,primary_N100_step20,5,fixed,False,2019-07-05 13:34:37.830000+00:00,20.013552777777775,0.02466111111111502,-0.2123847300919921,-1.011637525960969,0.5061154326652892,1.5177529586262581,highly_unreliable,0.7266669505149587,0.9390516806069508,30,28,2019-07-05 13:34:37.830000+00:00,2019-07-05 13:36:06.610000+00:00
5km_fixed,primary_N100_step20,5,fixed,False,2019-07-05 14:00:24.720000+00:00,20.443244444444442,0.05818055555555901,-0.3236021313249654,-1.1840108301013739,0.3593250042723789,1.5433358343737527,highly_unreliable,0.7413878947874554,1.0649900261124208,25,32,2019-07-05 14:00:24.720000+00:00,2019-07-05 14:03:54.170000+00:00
5km_fixed,primary_N100_step20,5,fixed,False,2019-07-05 16:08:35.330000+00:00,22.579524999999997,0.01883055555555302,-0.2669136068344329,-1.32269068629745,0.4698788626863677,1.7925695489838176,highly_unreliable,0.8424557330934523,1.1093693399278852,19,20,2019-07-05 16:08:35.330000+00:00,2019-07-05 16:07:27.540000+00:00
