event_time,latitude,longitude,depth_km,magnitude,dist_mw64_km,dist_mw71_km,radius_km,raw_in_mw64,raw_in_mw71,raw_overlap,nearest_hypocenter,assigned_core
2019-07-04 17:35:01.280000+00:00,35.64102579518505,-117.55307126655964,8.56209893,4.49,8.81858932468003,15.421798935784318,4,False,False,False,mw64,outside
2019-07-04 17:35:51.840000+00:00,35.69039979518505,-117.50252882330362,2.72653025,4.68,1.7183662750005742,12.544139670344709,4,True,False,False,mw64,mw64
2019-07-04 17:36:39+00:00,35.78830379518505,-117.51195990168593,0.97005311,3.5,9.468626413714286,7.433173532949231,4,False,False,False,mw71,outside
2019-07-04 17:36:59.360000+00:00,35.75315579518505,-117.58497135657537,4.381393010000001,3.92,9.862959788270253,2.656750427998119,4,False,True,False,mw71,mw71
2019-07-04 17:37:14.680000+00:00,35.66498379518505,-117.516231991334,3.85880477,4.39,4.796276960167603,14.151955946635496,4,False,False,False,mw64,outside
2019-07-04 17:37:25.360000+00:00,35.67473379518505,-117.44829669383624,10.69600091,4.23,5.265828393980495,17.253041153689885,4,False,False,False,mw64,outside
2019-07-04 17:37:55.240000+00:00,35.74354879518505,-117.54216566168876,6.776589110000001,4.05,6.170678054289408,5.843140266308571,4,False,False,False,mw71,outside
2019-07-04 17:38:21.200000+00:00,35.71408879518505,-117.46911653286318,3.33621653,3.63,2.496945585712414,13.14125160386659,4,True,False,False,mw64,mw64
2019-07-04 17:38:46.400000+00:00,35.67151879518505,-117.54611546215324,12.55409243,3.67,5.954161855642653,12.359422619973909,4,False,False,False,mw64,outside
2019-07-04 17:39:34.940000+00:00,35.68612679518505,-117.48213451514764,9.78147149,4.04,2.271468912487068,14.14714808787404,4,True,False,False,mw64,mw64
2019-07-04 17:40:01.960000+00:00,35.72417979518505,-117.56103626170596,6.5733603500000015,3.98,6.462369158848819,6.45037952461317,4,False,False,False,mw71,outside
2019-07-04 17:40:18+00:00,35.70671979518505,-117.4937740008517,9.63630809,4.55,0.2786793011707942,11.820076619237103,4,True,False,False,mw64,mw64
2019-07-04 17:41:21+00:00,35.73904479518505,-117.53262733602214,4.49026556,3.46,5.213816031990173,6.830974476375506,4,False,False,False,mw64,outside
