region,depth_bin,threshold,window_name,observed_count,n_random_windows,n_outside_windows,random_expected_mean,random_expected_median,random_expected_ci_low,random_expected_ci_high,random_ratio_mean,random_ratio_ci_low,random_ratio_ci_high,random_excess_mean,random_excess_ci_low,random_excess_ci_high,random_percentile,random_exceedance_fraction,outside_expected_mean,outside_expected_median,outside_expected_ci_low,outside_expected_ci_high,outside_ratio_mean,outside_ratio_ci_low,outside_ratio_ci_high,outside_excess_mean,outside_excess_ci_low,outside_excess_ci_high,outside_percentile,outside_exceedance_fraction,n_shifted_windows,active_shifted_mean,active_shifted_median,active_shifted_max,active_shifted_percentile
control_region,30-60 km,4.0,30D,2,2304,2070,2.139,2.0,0.0,7.0,1.6155465964590965,0.2857142857142857,4.0,-0.139,-5.0,2.0,68.70659722222221,0.55859375,2.0025,2.0,0.0,6.0,1.6747295204795205,0.3333333333333333,4.0,-0.0025,-4.0,2.0,73.42995169082126,0.5256038647342995,27,2.740740740740741,3.0,8.0,48.148148148148145
control_region,30-60 km,4.0,7D,2,2327,2107,0.50375,0.0,0.0,3.0,3.171125,0.6666666666666666,4.0,1.49625,-1.0,2.0,97.20670391061452,0.08508809626128062,0.4875,0.0,0.0,3.0,3.2166416666666664,0.6666666666666666,4.0,1.5125,-1.0,2.0,97.484575225439,0.07356430944470811,30,0.6333333333333333,0.0,3.0,96.66666666666667
control_region,30-60 km,4.0,active_period,19,2122,1888,15.28425,14.0,6.0,29.0,1.5305410082806805,0.6551724137931034,3.1666666666666665,3.71575,-10.0,13.0,77.33270499528746,0.23468426013195098,13.91575,13.0,6.0,29.0,1.6346344568992786,0.6551724137931034,3.1666666666666665,5.08425,-10.0,13.0,86.91737288135593,0.13983050847457626,1,19.0,19.0,19.0,100.0
control_region,30-60 km,5.0,14D,0,2320,2093,0.15,0.0,0.0,1.0,0.0,0.0,0.0,-0.15,-1.0,0.0,87.06896551724138,1.0,0.14375,0.0,0.0,1.0,0.0,0.0,0.0,-0.14375,-1.0,0.0,87.0520783564262,1.0,29,0.20689655172413793,0.0,2.0,82.75862068965517
control_region,30-60 km,5.0,30D,0,2304,2070,0.31075,0.0,0.0,2.0,0.0,0.0,0.0,-0.31075,-2.0,0.0,75.86805555555556,1.0,0.304,0.0,0.0,2.0,0.0,0.0,0.0,-0.304,-2.0,0.0,76.42512077294687,1.0,27,0.48148148148148145,0.0,2.0,66.66666666666666
control_region,30-60 km,5.0,7D,0,2327,2107,0.07725,0.0,0.0,1.0,0.0,0.0,0.0,-0.07725,-1.0,0.0,92.7804039535883,1.0,0.079,0.0,0.0,1.0,0.0,0.0,0.0,-0.079,-1.0,0.0,92.73849074513527,1.0,30,0.1,0.0,1.0,90.0
control_region,30-60 km,5.0,active_period,3,2122,1888,2.1965,2.0,0.0,6.0,2.597589285714286,0.5,6.0,0.8035,-3.0,3.0,73.9396795475966,0.42742695570216777,1.80475,1.0,0.0,5.0,2.8761499999999995,0.6,6.0,1.19525,-2.0,3.0,80.66737288135593,0.3564618644067797,1,3.0,3.0,3.0,100.0
control_region,>=60 km,3.0,14D,0,2320,2093,1.31,1.0,0.0,4.0,0.0,0.0,0.0,-1.31,-4.0,0.0,30.17241379310345,1.0,1.27625,1.0,0.0,4.0,0.0,0.0,0.0,-1.27625,-4.0,0.0,31.24701385570951,1.0,29,0.3793103448275862,0.0,2.0,72.41379310344827
control_region,>=60 km,3.0,30D,1,2304,2070,2.80725,3.0,0.0,7.0,0.5722176587301587,0.14285714285714285,2.0,-1.80725,-6.0,1.0,26.692708333333332,0.9366319444444444,2.703,2.0,0.0,7.0,0.599262003968254,0.14285714285714285,2.0,-1.703,-6.0,1.0,28.888888888888886,0.9294685990338164,27,0.7777777777777778,0.0,2.0,70.37037037037037
control_region,>=60 km,3.0,7D,0,2327,2107,0.6685,0.0,0.0,3.0,0.0,0.0,0.0,-0.6685,-3.0,0.0,52.90073055436184,1.0,0.63775,0.0,0.0,3.0,0.0,0.0,0.0,-0.63775,-3.0,0.0,53.91551969625059,1.0,30,0.2,0.0,2.0,83.33333333333334
