region,cell_id,along_km,across_km,x_km,y_km,event_count,cumulative_energy,first_activation_hours,peak_rate_time_30m_hours,peak_rate_time_1h_hours,first_nonzero_bin_30m_hours,first_nonzero_bin_1h_hours,longitude,latitude,distance_to_Mw6.4_km,distance_to_Mw7.1_km
Region_B,0,0.25,-3.75,-19.956766636056187,20.915603841941877,0,0.0,,,,,,-117.7647607282369,35.87316035690398,30.837019336961678,18.89330737783229
Region_B,1,0.75,-3.75,-19.622200305384634,20.544032354363818,0,0.0,,,,,,-117.76104688355477,35.869818308158024,30.3455479163789,18.40691942472568
Region_B,2,1.25,-3.75,-19.28763397471308,20.172460866785755,0,0.0,,,,,,-117.75733335078968,35.866476142729525,29.85435973358577,17.921280694845297
Region_B,3,1.75,-3.75,-18.953067644041525,19.800889379207696,0,0.0,,,,,,-117.75362012988784,35.86313386064211,29.363469002477323,17.436453790221393
Region_B,4,2.25,-3.75,-18.618501313369972,19.429317891629637,0,0.0,,,,,,-117.7499072207956,35.859791461919336,28.872890894687806,16.952508363472862
Region_B,5,2.75,-3.75,-18.28393498269842,19.057746404051578,0,0.0,,,,,,-117.74619462345919,35.85644894658483,28.38264162078022,16.469522119621704
Region_B,6,3.25,-3.75,-17.949368652026862,18.686174916473515,0,0.0,,,,,,-117.74248233782492,35.853106314662156,27.89273851974282,15.987581989900782
Region_B,7,3.75,-3.75,-17.61480232135531,18.314603428895456,0,0.0,,,,,,-117.73877036383904,35.849763566174914,27.40320015778895,15.506785512119885
Region_B,8,4.25,-3.75,-17.280235990683757,17.943031941317397,0,0.0,,,,,,-117.73505870144791,35.84642070114666,26.914046437593584,15.027242460078378
Region_B,9,4.75,-3.75,-16.9456696600122,17.571460453739338,0,0.0,,,,,,-117.73134735059777,35.843077719600984,26.425298719258468,14.549076774458019
Region_B,10,5.25,-3.75,-16.611103329340647,17.199888966161275,0,0.0,,,,,,-117.72763631123496,35.83973462156147,25.936979954480872,14.07242886015648
Region_B,11,5.75,-3.75,-16.276536998669094,16.828317478583216,0,0.0,,,,,,-117.72392558330577,35.83639140705164,25.44911483561348,13.597458330851996
Region_B,12,6.25,-3.75,-15.941970667997541,16.456745991005157,0,0.0,,,,,,-117.72021516675655,35.833048076095096,24.961729961549974,13.124347301650763
Region_B,13,6.75,-3.75,-15.607404337325987,16.085174503427098,0,0.0,,,,,,-117.71650506153361,35.82970462871537,24.474854022658462,12.653304356152939
Region_B,14,7.25,-3.75,-15.272838006654432,15.713603015849039,0,0.0,,,,,,-117.71279526758329,35.82636106493602,23.98851800732051,12.184569346699549
Region_B,15,7.75,-3.75,-14.938271675982879,15.342031528270976,0,0.0,,,,,,-117.70908578485192,35.82301738478058,23.50275543302614,11.718419227849017
Region_B,16,8.25,-3.75,-14.603705345311324,14.970460040692917,0,0.0,,,,,,-117.70537661328586,35.81967358827259,23.017602605435243,11.255175175656433
Region_B,17,8.75,-3.75,-14.26913901463977,14.598888553114854,0,0.0,,,,,,-117.70166775283145,35.81632967543562,22.5330989093564,10.795211311956987
Region_B,18,9.25,-3.75,-13.934572683968216,14.227317065536795,0,0.0,,,,,,-117.69795920343508,35.812985646293164,22.04928713623046,10.338965436874979
Region_B,19,9.75,-3.75,-13.600006353296664,13.855745577958736,0,0.0,,,,,,-117.69425096504303,35.809641500868764,21.56621385345693,9.886952277622601
Region_B,20,10.25,-3.75,-13.265440022625109,13.484174090380677,0,0.0,,,,,,-117.69054303760176,35.80629723918594,21.08392982178932,9.439779890181656
Region_B,21,10.75,-3.75,-12.930873691953554,13.112602602802617,0,0.0,,,,,,-117.68683542105762,35.80295286126822,20.602490468077793,8.998170003404544
Region_B,22,11.25,-3.75,-12.596307361282001,12.741031115224558,0,0.0,,,,,,-117.68312811535698,35.79960836713909,20.121956421887408,8.562983267837247
Region_B,23,11.75,-3.75,-12.261741030610446,12.369459627646496,0,0.0,,,,,,-117.67942112044622,35.79626375682209,19.642394126008043,8.13525054809942
Region_B,24,12.25,-3.75,-11.927174699938892,11.997888140068437,0,0.0,,,,,,-117.67571443627173,35.79291903034071,19.163876532646903,7.716211539054849
Region_B,25,12.75,-3.75,-11.592608369267339,11.626316652490377,0,0.0,,,,,,-117.67200806277997,35.78957418771846,18.68648389921534,7.307362010365608
Region_B,26,13.25,-3.75,-11.258042038595784,11.254745164912318,0,0.0,,,,,,-117.66830199991729,35.786229228978826,18.21030470016176,6.9105107326178
Region_B,27,13.75,-3.75,-10.923475707924231,10.883173677334256,0,0.0,,,,,,-117.66459624763012,35.78288415414528,17.7354366743487,6.527846323307336
Region_B,28,14.25,-3.75,-10.588909377252676,10.511602189756196,0,0.0,,,,,,-117.66089080586487,35.77953896324134,17.26198803113165,6.162012386859376
Region_B,29,14.75,-3.75,-10.254343046581122,10.140030702178137,0,0.0,,,,,,-117.65718567456798,35.776193656290474,16.7900788426985,5.816185665098707
Region_B,30,15.25,-3.75,-9.919776715909569,9.768459214600078,0,0.0,,,,,,-117.65348085368589,35.772848233316154,16.319842655526163,5.4941454955243945
Region_B,31,15.75,-3.75,-9.585210385238014,9.396887727022015,0,0.0,,,,,,-117.64977634316502,35.76950269434186,15.851428360189834,5.200312852231323
Region_B,32,16.25,-3.75,-9.250644054566461,9.025316239443956,0,0.0,,,,,,-117.64607214295184,35.76615703939105,15.385002366438883,4.939723959511664
Region_B,33,16.75,-3.75,-8.916077723894906,8.653744751865897,0,0.0,,,,,,-117.64236825299275,35.762811268487205,14.920751139685613,4.7178906124734254
Region_B,34,17.25,-3.75,-8.581511393223353,8.282173264287838,0,0.0,,,,,,-117.63866467323423,35.75946538165375,14.45888416612876,4.540496764271084
Region_B,35,17.75,-3.75,-8.246945062551799,7.910601776709776,0,0.0,,,,,,-117.63496140362278,35.75611937891416,13.999637426970326,4.412904927759885
Region_B,36,18.25,-3.75,-7.912378731880244,7.539030289131717,0,0.0,,,,,,-117.63125844410484,35.75277326029189,13.543277477912344,4.339510218508393
Region_B,37,18.75,-3.75,-7.577812401208691,7.167458801553656,0,0.0,,,,,,-117.62755579462687,35.74942702581038,13.090106248645471,4.323073903096045
Region_B,38,19.25,-3.75,-7.243246070537136,6.795887313975597,0,0.0,,,,,,-117.62385345513538,35.746080675493054,12.640466698580656,4.364239567979897
Region_B,39,19.75,-3.75,-6.908679739865583,6.424315826397536,0,0.0,,,,,,-117.62015142557681,35.74273420936335,12.19474948963799,4.461413009553438
Region_B,40,20.25,-3.75,-6.5741134091940285,6.052744338819477,0,0.0,,,,,,-117.61644970589774,35.739387627444735,11.753400864095696,4.611054659934531
Region_B,41,20.75,-3.75,-6.239547078522474,5.681172851241416,0,0.0,,,,,,-117.61274829604459,35.73604092976061,11.316931944181022,4.808268306989041
Region_B,42,21.25,-3.75,-5.904980747850921,5.309601363663357,0,0.0,,,,,,-117.60904719596391,35.73269411633435,10.885929697840432,5.047480871393823
Region_B,43,21.75,-3.75,-5.570414417179366,4.938029876085296,0,0.0,,,,,,-117.60534640560218,35.72934718718946,10.46106983742216,5.3230331750025615
Region_B,44,22.25,-3.75,-5.235848086507813,4.566458388507237,0,0.0,,,,,,-117.60164592490594,35.72600014234928,10.04313192687038,5.629591567535708
Region_B,45,22.75,-3.75,-4.9012817558362585,4.194886900929178,0,0.0,,,,,,-117.59794575382172,35.722652981837264,9.633016955119643,5.962375386736433
Region_B,46,23.25,-3.75,-4.566715425164704,3.823315413351115,0,0.0,,,,,,-117.59424589229604,35.71930570567679,9.23176756719546,6.3172414302013
Region_B,47,23.75,-3.75,-4.232149094493151,3.451743925773056,0,0.0,,,,,,-117.59054634027542,35.71595831389126,8.84059099675024,6.690676970422578
Region_B,48,24.25,-3.75,-3.8975827638215956,3.080172438194997,0,0.0,,,,,,-117.58684709770645,35.71261080650407,8.460884464931596,7.079744159052241
Region_B,49,24.75,-3.75,-3.5630164331500427,2.7086009506169377,0,0.0,,,,,,-117.58314816453563,35.7092631835386,8.094262331183753,7.4820048377908455
Region_B,50,25.25,-3.75,-3.2284501024784897,2.337029463038875,0,0.0,,,,,,-117.57944954070956,35.705915445018256,7.742583512182461,7.8954426999261385
Region_B,51,25.75,-3.75,-2.8938837718069332,1.965457975460816,0,0.0,,,,,,-117.57575122617477,35.70256759096641,7.407976525355562,8.318391338648853
Region_B,52,26.25,-3.75,-2.5593174411353803,1.5938864878827568,0,0.0,,,,,,-117.57205322087786,35.69921962140643,7.092857883626213,8.74947161250321
Region_B,53,26.75,-3.75,-2.2247511104638273,1.2223150003046976,0,0.0,,,,,,-117.56835552476537,35.695871536361686,6.7999374787138995,9.18753898131
Region_B,54,27.25,-3.75,-1.8901847797922708,0.850743512726635,0,0.0,,,,,,-117.56465813778388,35.69252333585554,6.532202268111218,9.63164012866875
Region_B,55,27.75,-3.75,-1.555618449120718,0.4791720251485758,0,0.0,,,,,,-117.56096105988,35.689175019911374,6.292867647473351,10.080977661083942
Region_B,56,28.25,-3.75,-1.221052118449165,0.10760053757051669,2,8032397.692085107,14.261822222222222,14.25,14.5,14.25,14.5,-117.55726429100031,35.68582658855252,6.085285530335961,10.534881567363001
Region_B,57,28.75,-3.75,-0.8864857877776084,-0.26397095000754245,1,758577.5750291835,25.91355555555556,25.75,25.5,25.75,25.5,-117.5535678310914,35.68247804180236,5.912801091091735,10.992786210668159
Region_B,58,29.25,-3.75,-0.5519194571060555,-0.6355424375856051,0,0.0,,,,,,-117.54987168009991,35.67912937968422,5.778558081382851,11.45421178905591
Region_B,59,29.75,-3.75,-0.21735312643450255,-1.0071139251636643,0,0.0,,,,,,-117.54617583797243,35.67578060222145,5.685266067389853,11.91874937833826
Region_B,60,30.25,-3.75,0.1172132042370504,-1.3786854127417234,1,660693448.0075965,10.653255555555557,10.75,10.5,10.75,10.5,-117.54248030465558,35.67243170943738,5.6349593622415695,12.38604883644215
Region_B,61,30.75,-3.75,0.4517795349086069,-1.7502569003197825,2,2162413.213637161,7.732705555555556,7.75,7.5,7.75,7.5,-117.53878508009598,35.669082701355364,5.628790613552196,12.855808991028967
Region_B,62,31.25,-3.75,0.7863458655801598,-2.1218283878978452,2,17646057.59807762,3.750288888888889,3.75,3.5,3.75,3.5,-117.53509016424024,35.665733577998715,5.666903963215961,13.327769650204516
Region_B,63,31.75,-3.75,1.1209121962517128,-2.4933998754759044,4,208561220.04647976,2.313888888888889,2.25,2.5,2.25,2.5,-117.53139555703505,35.662384339390755,5.748418676941703,13.80170507162082
Region_B,64,32.25,-3.75,1.4554785269232693,-2.8649713630539635,20,2317159293.5003853,0.7716999999999999,1.25,1.5,0.75,0.5,-117.527701258427,35.65903498555481,5.87152740285793,14.277418601382223
Region_B,65,32.75,-3.75,1.7900448575948222,-3.2365428506320226,15,146186866.9004817,4.107361111111112,7.75,7.5,4.25,4.5,-117.52400726836277,35.6556855165142,6.033684678503759,14.754738254343463
Region_B,66,33.25,-3.75,2.124611188266375,-3.6081143382100853,3,12412216.443338957,15.053880555555557,15.25,15.5,15.25,15.5,-117.52031358678902,35.652335932292246,6.231843030493505,15.233513054751283
Region_B,67,33.75,-3.75,2.4591775189379317,-3.9796858257881444,3,51641529.09867391,0.8188666666666666,0.75,0.5,0.75,0.5,-117.51662021365237,35.64898623291223,6.4626917235630135,15.713609993390095
Region_B,68,34.25,-3.75,2.7937438496094846,-4.351257313366204,0,0.0,,,,,,-117.51292714889954,35.64563641839748,6.722864052686868,16.19491148662012
Region_B,69,34.75,-3.75,3.1283101802810376,-4.722828800944263,0,0.0,,,,,,-117.50923439247715,35.642286488771276,7.009095364453868,16.67731324568054
Region_B,70,35.25,-3.75,3.4628765109525905,-5.094400288522325,0,0.0,,,,,,-117.50554194433192,35.6389364440569,7.318328674301815,17.160722482740724
Region_B,71,35.75,-3.75,3.797442841624147,-5.4659717761003845,0,0.0,,,,,,-117.50184980441055,35.63558628427767,7.647774273748381,17.64505639449005
Region_B,72,36.25,-3.75,4.1320091722956995,-5.837543263678444,0,0.0,,,,,,-117.49815797265966,35.632236009456854,7.9949339021224555,18.1302408753945
Region_B,73,36.75,-3.75,4.4665755029672525,-6.209114751256503,0,0.0,,,,,,-117.49446644902602,35.62888561961773,8.357600424548089,18.616209421762445
Region_B,74,37.25,-3.75,4.801141833638809,-6.5806862388345655,0,0.0,,,,,,-117.4907752334563,35.6255351147836,8.733842316730128,19.10290219495478
Region_B,75,37.75,-3.75,5.135708164310362,-6.952257726412625,0,0.0,,,,,,-117.48708432589723,35.622184494977674,9.121979958901756,19.59026521783458
Region_B,76,38.25,-3.75,5.470274494981915,-7.323829213990684,0,0.0,,,,,,-117.48339372629552,35.61883376022328,9.52055855124607,20.078249683181816
Region_B,77,38.75,-3.75,5.804840825653471,-7.695400701568743,1,9120108.393559096,17.465600000000002,17.25,17.5,17.25,17.5,-117.47970343459788,35.61548291054364,9.928320698124336,20.566811356534632
Region_B,78,39.25,-3.75,6.139407156325024,-8.066972189146806,0,0.0,,,,,,-117.47601345075107,35.612131945962034,10.344180423885868,21.055910058944814
Region_B,79,39.75,-3.75,6.473973486996577,-8.438543676724866,0,0.0,,,,,,-117.47232377470176,35.60878086650169,10.767199515147986,21.545509217594848
Region_B,80,40.25,-3.75,6.80853981766813,-8.810115164302925,0,0.0,,,,,,-117.46863440639679,35.60542967218589,11.196566534259619,22.03557547423157
Region_B,81,40.75,-3.75,7.143106148339687,-9.181686651880984,0,0.0,,,,,,-117.46494534578281,35.60207836303783,11.63157852198926,22.52607834301495
Region_B,82,41.25,-3.75,7.47767247901124,-9.553258139459047,0,0.0,,,,,,-117.46125659280665,35.5987269390808,12.071625229036119,23.016989910731997
Region_B,83,41.75,-3.75,7.812238809682793,-9.924829627037106,0,0.0,,,,,,-117.45756814741505,35.59537540033801,12.516175631054429,23.508284573439845
Region_B,84,42.25,-3.75,8.146805140354349,-10.296401114615165,0,0.0,,,,,,-117.45388000955474,35.592023746832666,12.964766453141381,23.999938804524504
Region_B,85,42.75,-3.75,8.481371471025902,-10.667972602193224,0,0.0,,,,,,-117.45019217917252,35.588671978588025,13.416992432792066,24.491930949927415
Region_B,86,43.25,-3.75,8.815937801697455,-11.039544089771283,0,0.0,,,,,,-117.44650465621518,35.585320095627296,13.87249806987548,24.984241046930034
Region_B,87,43.75,-3.75,9.150504132369008,-11.411115577349342,0,0.0,,,,,,-117.44281744062951,35.58196809797369,14.33097063899715,25.476850663419818
