region,along_bin_center_km,event_count,first_activation_hours,peak_rate_time_30m_hours,cumulative_energy
Region_A,0.25,2,17.748033333333332,17.75,13958707.366150051
Region_A,0.75,4,3.952538888888889,3.75,10466188.633954512
Region_A,1.25,33,2.1999222222222223,7.25,423038241.3272648
Region_A,1.75,50,0.1423444444444444,21.25,6307437975.82908
Region_A,2.25,83,0.8323999999999999,27.25,1971141846.8808587
Region_A,2.75,82,3.2202777777777776,28.25,761874911.6597878
Region_A,3.25,46,1.9091944444444449,9.25,564406251.0219282
Region_A,3.75,18,1.0890888888888888,3.75,143292669.3599397
Region_A,4.25,21,3.7753111111111113,6.25,552365505.8623903
Region_A,4.75,24,3.659838888888889,3.75,174459303.28298223
Region_A,5.25,42,0.5555611111111111,11.75,43828558883.41327
Region_A,5.75,66,1.3401666666666667,6.25,600497456860.4773
Region_A,6.25,60,0.6259666666666667,2.25,1001457722771.7725
Region_A,6.75,56,0.3757444444444444,7.25,1835937879.099729
Region_A,7.25,76,2.453655555555556,2.75,1901163626.8244545
Region_A,7.75,48,0.1317555555555555,0.25,5277731680.284014
Region_A,8.25,46,0.6876166666666667,1.75,148445851503.22256
Region_A,8.75,42,0.2167944444444444,26.25,22656185811.70449
Region_A,9.25,29,0.20395,12.75,64142982159.918846
Region_A,9.75,40,1.146961111111111,15.75,8787382209.005285
Region_A,10.25,49,1.0436555555555556,11.75,6904179988.813786
Region_A,10.75,30,0.4475111111111111,3.25,3685382785.675697
Region_A,11.25,25,2.0303666666666667,6.25,207816524.16593495
Region_A,11.75,34,3.4446777777777777,9.25,576685835.5650263
Region_A,12.25,44,0.0200666666666666,8.75,490375412052.19104
Region_A,12.75,52,1.2047555555555556,8.75,3887299165.911333
Region_A,13.25,50,0.3267444444444444,23.75,21410887451.97981
Region_A,13.75,50,0.2430444444444444,4.75,96676032100.46733
Region_A,14.25,45,0.6335,9.25,2536354351.4824815
Region_A,14.75,45,0.1611555555555555,1.25,46239653594.683876
Region_A,15.25,66,0.0826,7.75,82145322412.61723
Region_A,15.75,86,1.2618166666666666,13.75,20815479706.44025
Region_A,16.25,119,0.0571222222222222,2.25,497900731688.9471
Region_A,16.75,92,0.4330944444444444,2.75,19268013143.609547
Region_A,17.25,79,0.3585555555555555,3.75,22794864546.33677
Region_A,17.75,66,0.2992333333333333,14.75,35120564684.77833
Region_A,18.25,82,0.2832333333333333,16.75,16443454363.433733
Region_A,18.75,114,0.4304111111111111,26.25,7442516549.057622
Region_A,19.25,139,0.0341111111111111,9.75,739337463549.0798
Region_A,19.75,150,0.4362777777777777,1.25,1635595584125.7703
Region_A,20.25,142,0.0,5.75,251464798344884.38
Region_A,20.75,162,0.2735,11.25,1021388273885.2819
Region_A,21.25,134,0.1080444444444444,5.25,486845499233.5622
Region_A,21.75,81,0.3238055555555555,6.25,238330802318.1934
Region_A,22.25,79,0.3681333333333333,16.75,14614286436.662758
Region_A,22.75,53,0.4767111111111111,0.75,40950418307.42982
Region_A,23.25,48,0.0756,0.75,28230775813.87876
Region_A,23.75,9,3.4097,5.25,57929580.25253384
Region_A,24.25,11,1.5632555555555556,32.75,341068623.5528573
Region_A,24.75,6,5.21956111111111,5.25,12361630.79287401
