Starting Ridgecrest fixed-window b-value contrast workflow
Reading interevent catalog: <REPO_ROOT>/examples/ridgecrest/data/catalog_TRACE/TRACE_ridgecrest_relocated.csv
Reading background catalog: <REPO_ROOT>/examples/ridgecrest/data/catalog_longterm/catalog_2year_background_before_64.csv
Reading mainshocks: <REPO_ROOT>/examples/ridgecrest/data/catalog_TRACE/main_shock_events.csv
Inferred delta_m interevent=0.01, background=0.01, common=0.01
Center separation = 11.998 km
Prepared 84 subset statistics rows and bootstrap tasks
Bootstrapping subsets with up to 64 workers and 2000 replicates each
bootstrap_worker subset=subset_0034 progress=1500/2000
bootstrap_worker subset=subset_0062 progress=500/2000
bootstrap_worker subset=subset_0007 progress=1500/2000
bootstrap_worker subset=subset_0038 progress=1500/2000
bootstrap_worker subset=subset_0057 progress=500/2000
bootstrap_worker subset=subset_0027 progress=1000/2000
bootstrap_worker subset=subset_0035 progress=1000/2000
bootstrap_worker subset=subset_0036 progress=1500/2000
bootstrap_worker subset=subset_0024 progress=1000/2000
bootstrap_worker subset=subset_0041 progress=1000/2000
bootstrap_worker subset=subset_0031 progress=1000/2000
bootstrap_worker subset=subset_0044 progress=1000/2000
bootstrap_worker subset=subset_0026 progress=2000/2000
bootstrap_worker subset=subset_0028 progress=1000/2000
bootstrap_worker subset=subset_0054 progress=500/2000
bootstrap_worker subset=subset_0039 progress=1500/2000
bootstrap_worker subset=subset_0005 progress=1000/2000
bootstrap_worker subset=subset_0021 progress=2000/2000
bootstrap_worker subset=subset_0065 progress=500/2000
bootstrap_worker subset=subset_0042 progress=1000/2000
bootstrap_worker subset=subset_0066 progress=500/2000
bootstrap_worker subset=subset_0018 progress=2000/2000
bootstrap_worker subset=subset_0012 progress=1000/2000
bootstrap_worker subset=subset_0067 progress=500/2000
bootstrap_worker subset=subset_0045 progress=1000/2000
bootstrap_worker subset=subset_0037 progress=1000/2000
bootstrap_worker subset=subset_0070 progress=500/2000
bootstrap_worker subset=subset_0052 progress=1000/2000
bootstrap_worker subset=subset_0029 progress=2000/2000
bootstrap_worker subset=subset_0068 progress=500/2000
bootstrap_worker subset=subset_0051 progress=1000/2000
bootstrap_worker subset=subset_0048 progress=1500/2000
bootstrap_worker subset=subset_0008 progress=2000/2000
bootstrap_worker subset=subset_0010 progress=2000/2000
bootstrap_worker subset=subset_0056 progress=1000/2000
bootstrap_worker subset=subset_0034 progress=2000/2000
bootstrap_worker subset=subset_0071 progress=500/2000
bootstrap_worker subset=subset_0062 progress=1000/2000
bootstrap_worker subset=subset_0069 progress=500/2000
bootstrap_worker subset=subset_0004 progress=2000/2000
bootstrap_worker subset=subset_0072 progress=500/2000
bootstrap_worker subset=subset_0027 progress=1500/2000
bootstrap_worker subset=subset_0009 progress=2000/2000
bootstrap_worker subset=subset_0006 progress=1500/2000
bootstrap_worker subset=subset_0038 progress=2000/2000
bootstrap_worker subset=subset_0073 progress=500/2000
bootstrap_worker subset=subset_0002 progress=2000/2000
