cell_id,ix,iy,x_center_km,y_center_km,total_events,occupied_flag,distance_to_mw64_km,distance_to_mw71_km
0,0,0,428.25,3923.25,0,0,38.94781147138814,40.36094389261277
1,1,0,428.75,3923.25,0,0,38.60199052145082,40.13838191206639
2,2,0,429.25,3923.25,0,0,38.25957822592356,39.92084183900887
3,3,0,429.75,3923.25,0,0,37.92066692231229,39.70840621016441
4,4,0,430.25,3923.25,0,0,37.58535131723974,39.50115738010326
5,5,0,430.75,3923.25,0,0,37.253728503972866,39.29917740848972
6,6,0,431.25,3923.25,0,0,36.925897974932255,39.10254794256011
7,7,0,431.75,3923.25,1,1,36.60196162861345,38.911350095010505
8,8,0,432.25,3923.25,0,0,36.2820237703174,38.72566431751348
9,9,0,432.75,3923.25,0,0,35.96619110605489,38.54557027012312
10,10,0,433.25,3923.25,0,0,35.65457272895929,38.37114668686957
11,11,0,433.75,3923.25,0,0,35.347280097512915,38.20247123788623
12,12,0,434.25,3923.25,0,0,35.04442700486653,38.03962038845534
13,13,0,434.75,3923.25,0,0,34.74612953850836,37.88266925540028
14,14,0,435.25,3923.25,0,0,34.45250602952112,37.73169146129434
15,15,0,435.75,3923.25,0,0,34.16367699065155,37.58675898699667
16,16,0,436.25,3923.25,0,0,33.87976504241078,37.447942023064996
17,17,0,436.75,3923.25,0,0,33.60089482642308,37.315308820631515
18,18,0,437.25,3923.25,0,0,33.32719290524977,37.18892554236224
19,19,0,437.75,3923.25,0,0,33.058787647932824,37.06885611415093
20,20,0,438.25,3923.25,0,0,32.79580910053144,36.955162078225115
21,21,0,438.75,3923.25,0,0,32.53838884096578,36.84790244836401
22,22,0,439.25,3923.25,0,0,32.286659817535664,36.74713356794531
23,23,0,439.75,3923.25,0,0,32.0407561705503,36.65290897154925
24,24,0,440.25,3923.25,0,0,31.800813036588274,36.565279250854054
25,25,0,440.75,3923.25,0,0,31.56696633500641,36.484291925556136
26,26,0,441.25,3923.25,0,0,31.33935253643274,36.40999132004103
27,27,0,441.75,3923.25,0,0,31.11810841311211,36.34241844651682
28,28,0,442.25,3923.25,0,0,30.903370771124372,36.28161089530051
29,29,0,442.75,3923.25,0,0,30.695276164663667,36.2276027329197
30,30,0,443.25,3923.25,0,0,30.493960592752707,36.18042440865659
31,31,0,443.75,3923.25,0,0,30.29955917896728,36.14010267011947
32,32,0,444.25,3923.25,0,0,30.1122058349621,36.10666048837858
33,33,0,444.75,3923.25,0,0,29.93203290881712,36.08011699314875
34,34,0,445.25,3923.25,0,0,29.759170819461627,36.06048741844131
35,35,0,445.75,3923.25,0,0,29.593747678678376,36.047783059042985
36,36,0,446.25,3923.25,0,0,29.435888902437906,36.042011238110575
37,37,0,446.75,3923.25,0,0,29.28571681356037,36.04317528609753
38,38,0,447.25,3923.25,0,0,29.14335023794344,36.051274531153744
39,39,0,447.75,3923.25,0,0,29.008904096825567,36.06630430106302
40,40,0,448.25,3923.25,0,0,28.88248899776833,36.08825593670522
41,41,0,448.75,3923.25,0,0,28.764210827234493,36.117116816952624
42,42,0,449.25,3923.25,0,0,28.654170347804165,36.152870394834
43,43,0,449.75,3923.25,0,0,28.552462803204293,36.195496244725355
44,44,0,450.25,3923.25,0,0,28.459177534422004,36.24497012025517
45,45,0,450.75,3923.25,0,0,28.374397610224882,36.30126402254407
46,46,0,451.25,3923.25,0,0,28.29819947541753,36.3643462783358
47,47,0,451.75,3923.25,0,0,28.23065262012032,36.4341816275181
48,48,0,452.25,3923.25,0,0,28.171819273261207,36.51073131947976
49,49,0,452.75,3923.25,0,0,28.12175412332376,36.59395321770391
50,50,0,453.25,3923.25,0,0,28.080504069194742,36.68380191195789
51,51,0,453.75,3923.25,0,0,28.048108003704062,36.78022883740703
52,52,0,454.25,3923.25,0,0,28.024596632152143,36.88318239995419
53,53,0,454.75,3923.25,0,0,28.009992327778644,36.99260810708746
54,54,0,455.25,3923.25,0,0,28.00430902574823,37.10844870350707
55,55,0,455.75,3923.25,0,0,28.00755215681994,37.23064431079696
56,56,0,456.25,3923.25,0,0,28.019718621434702,37.35913257040828
57,57,0,456.75,3923.25,0,0,28.04079680450896,37.49384878922946
58,58,0,457.25,3923.25,0,0,28.070766630769906,37.63472608703119
59,59,0,457.75,3923.25,0,0,28.10959966001883,37.78169554509338
60,60,0,458.25,3923.25,0,0,28.15725922127216,37.93468635534491
61,61,0,458.75,3923.25,0,0,28.21370058431367,38.09362596937516
62,62,0,459.25,3923.25,0,0,28.278871166803793,38.25844024670787
63,63,0,459.75,3923.25,0,0,28.352710774740256,38.429053601763066
64,64,0,460.25,3923.25,0,0,28.435151873754034,38.6053891489704
65,65,0,460.75,3923.25,0,0,28.526119888460872,38.78736884553661
66,66,0,461.25,3923.25,0,0,28.625533526874715,38.974913631411255
67,67,0,461.75,3923.25,0,0,28.733305126727306,39.16794356603662
68,68,0,462.25,3923.25,0,0,28.849341020428856,39.3663779615104
69,69,0,462.75,3923.25,0,0,28.97354191534726,39.57013551183208
70,70,0,463.25,3923.25,0,0,29.1058032860763,39.77913441794601
71,71,0,463.75,3923.25,0,0,29.24601577540358,39.99329250833544
72,72,0,464.25,3923.25,0,0,29.394065600772898,40.212527354961686
73,73,0,464.75,3923.25,0,0,29.54983496315886,40.43675638438133
74,74,0,465.25,3923.25,0,0,29.71320245542899,40.66589698391107
75,75,0,465.75,3923.25,0,0,29.88404346745428,40.89986660274493
76,76,0,466.25,3923.25,0,0,30.062230585438634,41.1385828479615
77,77,0,466.75,3923.25,0,0,30.247633983164164,41.3819635753894
78,78,0,467.25,3923.25,0,0,30.44012180308832,41.62992697532771
79,79,0,467.75,3923.25,0,0,30.639560525474874,41.88239165314441
80,80,0,468.25,3923.25,0,0,30.84581532398882,42.13927670479932
81,0,1,428.25,3923.75,0,0,38.58986645204485,39.915086914028635
82,1,1,428.75,3923.75,0,0,38.24080865507478,39.69002486734825
83,2,1,429.25,3923.75,0,0,37.89513293816803,39.47001373938176
84,3,1,429.75,3923.75,0,0,37.55293269784416,39.255138456044804
85,4,1,430.25,3923.75,0,0,37.21430380937145,39.04548380823972
86,5,1,430.75,3923.75,0,0,36.879344650136936,38.84113433508055
87,6,1,431.25,3923.75,0,0,36.54815611807207,38.64217420192652
