cell_id,total_events,first_event_bin_index,first_event_count,onset_bin_index,onset_count,future_active_bins,window_cumulative_count,quality_flag,first_event_time_hr_from_64,onset_time_hr_from_64,onset_time_min_from_64
5058,0,,0,,,,,inactive,,,
5059,0,,0,,,,,inactive,,,
5060,0,,0,,,,,inactive,,,
5061,0,,0,,,,,inactive,,,
5062,1,62.0,1,,,,,insufficient_data,31.0,,
5063,1,2.0,1,,,,,insufficient_data,1.0,,
5064,5,21.0,1,,,,,ambiguous,10.5,,
5065,3,34.0,1,,,,,ambiguous,17.0,,
5066,12,0.0,1,2.0,1.0,2.0,3.0,robust,0.0,1.0,60.0
5067,40,1.0,1,1.0,1.0,3.0,4.0,robust,0.5,0.5,30.0
5068,18,1.0,1,37.0,1.0,4.0,4.0,robust,0.5,18.5,1110.0
5069,12,0.0,1,0.0,1.0,3.0,3.0,robust,0.0,0.0,0.0
5070,15,1.0,2,1.0,2.0,2.0,3.0,robust,0.5,0.5,30.0
5071,11,1.0,1,,,,,ambiguous,0.5,,
5072,3,1.0,1,,,,,ambiguous,0.5,,
5073,2,1.0,1,,,,,insufficient_data,0.5,,
5074,0,,0,,,,,inactive,,,
5075,0,,0,,,,,inactive,,,
5076,1,35.0,1,,,,,insufficient_data,17.5,,
5077,0,,0,,,,,inactive,,,
5078,0,,0,,,,,inactive,,,
5079,1,58.0,1,,,,,insufficient_data,29.0,,
5080,2,11.0,1,,,,,insufficient_data,5.5,,
5081,0,,0,,,,,inactive,,,
5082,0,,0,,,,,inactive,,,
5083,0,,0,,,,,inactive,,,
5084,0,,0,,,,,inactive,,,
5085,0,,0,,,,,inactive,,,
5086,0,,0,,,,,inactive,,,
5087,0,,0,,,,,inactive,,,
5088,0,,0,,,,,inactive,,,
5089,0,,0,,,,,inactive,,,
5090,0,,0,,,,,inactive,,,
5091,0,,0,,,,,inactive,,,
5092,0,,0,,,,,inactive,,,
5093,0,,0,,,,,inactive,,,
5094,0,,0,,,,,inactive,,,
5095,0,,0,,,,,inactive,,,
5096,0,,0,,,,,inactive,,,
5097,0,,0,,,,,inactive,,,
5098,0,,0,,,,,inactive,,,
5099,0,,0,,,,,inactive,,,
5100,0,,0,,,,,inactive,,,
5101,0,,0,,,,,inactive,,,
5102,0,,0,,,,,inactive,,,
5103,0,,0,,,,,inactive,,,
5104,0,,0,,,,,inactive,,,
5105,0,,0,,,,,inactive,,,
5106,0,,0,,,,,inactive,,,
5107,0,,0,,,,,inactive,,,
5108,0,,0,,,,,inactive,,,
5109,0,,0,,,,,inactive,,,
5110,0,,0,,,,,inactive,,,
5111,0,,0,,,,,inactive,,,
5112,0,,0,,,,,inactive,,,
5113,0,,0,,,,,inactive,,,
5114,0,,0,,,,,inactive,,,
5115,0,,0,,,,,inactive,,,
5116,0,,0,,,,,inactive,,,
5117,0,,0,,,,,inactive,,,
5118,0,,0,,,,,inactive,,,
5119,0,,0,,,,,inactive,,,
5120,0,,0,,,,,inactive,,,
5121,0,,0,,,,,inactive,,,
5122,0,,0,,,,,inactive,,,
5123,0,,0,,,,,inactive,,,
5124,0,,0,,,,,inactive,,,
5125,0,,0,,,,,inactive,,,
5126,0,,0,,,,,inactive,,,
5127,0,,0,,,,,inactive,,,
5128,0,,0,,,,,inactive,,,
5129,0,,0,,,,,inactive,,,
5130,0,,0,,,,,inactive,,,
5131,0,,0,,,,,inactive,,,
5132,0,,0,,,,,inactive,,,
5133,0,,0,,,,,inactive,,,
5134,0,,0,,,,,inactive,,,
5135,0,,0,,,,,inactive,,,
5136,0,,0,,,,,inactive,,,
5137,0,,0,,,,,inactive,,,
5138,0,,0,,,,,inactive,,,
5139,0,,0,,,,,inactive,,,
5140,0,,0,,,,,inactive,,,
5141,1,31.0,1,,,,,insufficient_data,15.5,,
5142,0,,0,,,,,inactive,,,
5143,1,23.0,1,,,,,insufficient_data,11.5,,
5144,1,63.0,1,,,,,insufficient_data,31.5,,
5145,9,28.0,1,45.0,1.0,2.0,3.0,robust,14.0,22.5,1350.0
5146,21,4.0,1,42.0,2.0,3.0,4.0,robust,2.0,21.0,1260.0
5147,10,3.0,1,,,,,ambiguous,1.5,,
5148,27,4.0,1,31.0,1.0,3.0,3.0,robust,2.0,15.5,930.0
5149,11,6.0,1,,,,,ambiguous,3.0,,
5150,18,1.0,1,7.0,1.0,2.0,4.0,robust,0.5,3.5,210.0
5151,6,12.0,1,,,,,ambiguous,6.0,,
5152,5,3.0,1,,,,,ambiguous,1.5,,
5153,1,25.0,1,,,,,insufficient_data,12.5,,
5154,0,,0,,,,,inactive,,,
5155,1,47.0,1,,,,,insufficient_data,23.5,,
5156,0,,0,,,,,inactive,,,
5157,0,,0,,,,,inactive,,,
5158,0,,0,,,,,inactive,,,
5159,0,,0,,,,,inactive,,,
5160,0,,0,,,,,inactive,,,
5161,1,31.0,1,,,,,insufficient_data,15.5,,
5162,0,,0,,,,,inactive,,,
5163,0,,0,,,,,inactive,,,
5164,0,,0,,,,,inactive,,,
5165,0,,0,,,,,inactive,,,
5166,0,,0,,,,,inactive,,,
5167,0,,0,,,,,inactive,,,
5168,0,,0,,,,,inactive,,,
5169,0,,0,,,,,inactive,,,
5170,0,,0,,,,,inactive,,,
5171,0,,0,,,,,inactive,,,
5172,0,,0,,,,,inactive,,,
5173,0,,0,,,,,inactive,,,
5174,0,,0,,,,,inactive,,,
5175,0,,0,,,,,inactive,,,
5176,0,,0,,,,,inactive,,,
5177,0,,0,,,,,inactive,,,
5178,0,,0,,,,,inactive,,,
5179,0,,0,,,,,inactive,,,
5180,0,,0,,,,,inactive,,,
5181,0,,0,,,,,inactive,,,
5182,0,,0,,,,,inactive,,,
5183,0,,0,,,,,inactive,,,
5184,0,,0,,,,,inactive,,,
5185,0,,0,,,,,inactive,,,
5186,0,,0,,,,,inactive,,,
5187,0,,0,,,,,inactive,,,
5188,0,,0,,,,,inactive,,,
5189,0,,0,,,,,inactive,,,
5190,0,,0,,,,,inactive,,,
5191,0,,0,,,,,inactive,,,
5192,0,,0,,,,,inactive,,,
5193,0,,0,,,,,inactive,,,
5194,0,,0,,,,,inactive,,,
5195,0,,0,,,,,inactive,,,
5196,0,,0,,,,,inactive,,,
5197,0,,0,,,,,inactive,,,
5198,0,,0,,,,,inactive,,,
5199,0,,0,,,,,inactive,,,
5200,0,,0,,,,,inactive,,,
5201,0,,0,,,,,inactive,,,
5202,0,,0,,,,,inactive,,,
5203,0,,0,,,,,inactive,,,
5204,0,,0,,,,,inactive,,,
5205,0,,0,,,,,inactive,,,
5206,0,,0,,,,,inactive,,,
5207,0,,0,,,,,inactive,,,
5208,0,,0,,,,,inactive,,,
5209,0,,0,,,,,inactive,,,
5210,0,,0,,,,,inactive,,,
5211,0,,0,,,,,inactive,,,
5212,0,,0,,,,,inactive,,,
5213,0,,0,,,,,inactive,,,
5214,0,,0,,,,,inactive,,,
5215,1,10.0,1,,,,,insufficient_data,5.0,,
5216,0,,0,,,,,inactive,,,
5217,0,,0,,,,,inactive,,,
5218,0,,0,,,,,inactive,,,
5219,0,,0,,,,,inactive,,,
5220,0,,0,,,,,inactive,,,
5221,0,,0,,,,,inactive,,,
5222,0,,0,,,,,inactive,,,
5223,3,46.0,1,,,,,ambiguous,23.0,,
5224,9,34.0,1,34.0,1.0,4.0,4.0,robust,17.0,17.0,1020.0
5225,6,20.0,1,,,,,ambiguous,10.0,,
5226,31,9.0,1,36.0,1.0,4.0,4.0,robust,4.5,18.0,1080.0
5227,30,12.0,1,34.0,1.0,3.0,3.0,robust,6.0,17.0,1020.0
5228,18,2.0,1,61.0,1.0,3.0,4.0,robust,1.0,30.5,1830.0
5229,20,4.0,1,20.0,1.0,3.0,3.0,robust,2.0,10.0,600.0
