segment_index,segment_start_km,segment_end_km,n_cells,median_onset_hr,min_onset_hr,max_onset_hr
0,0.0,1.9989582151610576,12,12.0,1.0,32.0
1,1.9989582151610576,3.9979164303221153,12,11.75,0.0,25.0
2,3.9979164303221153,5.996874645483173,17,3.5,0.0,18.5
3,5.996874645483173,7.995832860644231,14,17.0,2.0,30.5
4,7.995832860644231,9.994791075805288,20,17.5,14.5,21.0
5,9.994791075805288,11.993749290966345,2,27.0,22.5,31.5
