lat0,lat1,lon0,lon1,observed_M3,expected_M3,obs_exp_ratio
38.353003,38.553003000000004,140.851921,141.051921,0,0.0,
38.353003,38.553003000000004,141.051921,141.25192099999998,0,0.0,
38.353003,38.553003000000004,141.25192099999998,141.45192099999997,1,0.18251928020565553,5.47887323943662
38.353003,38.553003000000004,141.45192099999997,141.65192099999996,0,1.186375321336761,0.0
38.353003,38.553003000000004,141.65192099999996,141.85192099999995,1,4.654241645244216,0.2148577740955537
38.353003,38.553003000000004,141.85192099999995,142.05192099999994,0,2.646529562982005,0.0
38.353003,38.553003000000004,142.05192099999994,142.25192099999992,0,9.582262210796916,0.0
38.353003,38.553003000000004,142.25192099999992,142.4519209999999,0,1.916452442159383,0.0
38.353003,38.553003000000004,142.4519209999999,142.6519209999999,0,0.5475578406169666,0.0
38.353003,38.553003000000004,142.6519209999999,142.8519209999999,0,0.09125964010282776,0.0
38.353003,38.553003000000004,142.8519209999999,143.05192099999988,0,0.09125964010282776,0.0
38.353003,38.553003000000004,143.05192099999988,143.25192099999987,0,0.09125964010282776,0.0
38.353003,38.553003000000004,143.25192099999987,143.45192099999986,0,0.0,
38.353003,38.553003000000004,143.45192099999986,143.65192099999985,0,0.0,
38.353003,38.553003000000004,143.65192099999985,143.85192099999983,0,0.09125964010282776,0.0
38.353003,38.553003000000004,143.85192099999983,144.05192099999982,0,0.09125964010282776,0.0
38.353003,38.553003000000004,144.05192099999982,144.2519209999998,0,0.09125964010282776,0.0
38.353003,38.553003000000004,144.2519209999998,144.4519209999998,0,0.5475578406169666,0.0
38.353003,38.553003000000004,144.4519209999998,144.6519209999998,0,1.916452442159383,0.0
38.553003000000004,38.75300300000001,140.851921,141.051921,0,0.18251928020565553,0.0
38.553003000000004,38.75300300000001,141.051921,141.25192099999998,0,0.18251928020565553,0.0
38.553003000000004,38.75300300000001,141.25192099999998,141.45192099999997,1,0.45629820051413883,2.1915492957746476
38.553003000000004,38.75300300000001,141.45192099999997,141.65192099999996,0,0.45629820051413883,0.0
