catalog,n_events,time_min_utc,time_max_utc,lat_min,lat_max,lon_min,lon_max,dep_min_km,dep_max_km,mag_min,mag_max,duplicates_exact
long_term_raw,227755,2019-12-31 15:26:23.330000+00:00,2026-05-22 14:41:14.740000+00:00,38.001,42.999,140.001,145.999,0.0,196.0,-1.0,7.7,0
active_relocated,22096,2025-09-30 16:09:25.360000+00:00,2026-05-01 14:44:22.450000+00:00,38.503003,42.382633,141.001921,144.49847,0.05,121.14,-0.5,7.7,0
