threshold,raw_event_id,reloc_event_id,time_diff_s,dist_km,mag_diff,dep_diff_km
4.0,long_term_raw_0187971,active_relocated_0000022,0.0,0.11481523642616961,0.0,-0.03999999999999915
4.0,long_term_raw_0188307,active_relocated_0000090,0.0,0.18217357389132063,0.0,-0.030000000000001137
4.0,long_term_raw_0189070,active_relocated_0000328,0.010000000000000009,0.06740371172358808,0.0,-0.030000000000001137
4.0,long_term_raw_0190645,active_relocated_0000742,0.0,0.14852852673810224,0.0,0.27000000000000135
4.0,long_term_raw_0190646,active_relocated_0000743,0.0,0.06464794482391675,0.0,-0.08000000000000007
4.0,long_term_raw_0190737,active_relocated_0000782,0.0,0.04216527259753793,0.0,0.0
4.0,long_term_raw_0190763,active_relocated_0000791,0.0,0.02755595511284339,0.0,0.08999999999999986
4.0,long_term_raw_0191262,active_relocated_0001031,0.010000000000000009,0.11470711467639298,0.0,0.09999999999999964
4.0,long_term_raw_0191287,active_relocated_0001050,0.0,0.12325145126355451,0.0,0.11000000000000121
4.0,long_term_raw_0191288,active_relocated_0001051,0.01,0.08673193457144439,0.0,-0.030000000000001137
4.0,long_term_raw_0191335,active_relocated_0001088,0.0,0.10268597689147527,0.0,0.02999999999999936
4.0,long_term_raw_0191358,active_relocated_0001102,0.01,0.13751125067001066,0.0,0.08000000000000007
4.0,long_term_raw_0191447,active_relocated_0001163,0.01,0.16317517957432792,0.0,-0.07000000000000028
4.0,long_term_raw_0191460,active_relocated_0001175,0.01,0.02735283163022094,0.0,0.13000000000000078
4.0,long_term_raw_0191491,active_relocated_0001202,0.010000000000000009,0.0449054701938339,0.0,0.09999999999999964
4.0,long_term_raw_0191493,active_relocated_0001204,0.01,0.10055587787614548,0.0,-0.2699999999999996
4.0,long_term_raw_0191498,active_relocated_0001209,0.0,0.04933841462616717,0.0,0.05000000000000071
4.0,long_term_raw_0191501,active_relocated_0001212,0.01,0.12791971804474833,0.0,-0.17999999999999972
4.0,long_term_raw_0191502,active_relocated_0001213,0.0,0.01362527062469313,0.0,-0.0600000000000005
4.0,long_term_raw_0191503,active_relocated_0001214,0.03,0.12900550143734227,0.0,-0.2699999999999996
4.0,long_term_raw_0191555,active_relocated_0001260,0.0,0.059813528531172916,0.0,0.14000000000000057
4.0,long_term_raw_0191621,active_relocated_0001321,0.0,0.1112524915080737,0.0,0.28000000000000114
4.0,long_term_raw_0191725,active_relocated_0001416,0.0,0.12536762193721696,0.0,0.08000000000000007
4.0,long_term_raw_0191736,active_relocated_0001427,0.01,0.16560596965586397,0.0,-0.08999999999999986
4.0,long_term_raw_0191737,active_relocated_0001428,0.01,0.04519358015910063,0.0,-0.35999999999999943
4.0,long_term_raw_0191738,active_relocated_0001429,0.010000000000000009,0.1520026144263981,0.0,-0.16000000000000014
4.0,long_term_raw_0191739,active_relocated_0001430,0.02,0.07300921194324272,0.0,0.040000000000000924
4.0,long_term_raw_0191740,active_relocated_0001431,0.010000000000000009,0.08187442307325532,0.0,0.16000000000000014
4.0,long_term_raw_0191741,active_relocated_0001432,0.010000000000000009,0.08023536888706205,0.0,-0.08999999999999986
4.0,long_term_raw_0191742,active_relocated_0001433,0.0,0.06440213354825243,0.0,-0.5
4.0,long_term_raw_0191743,active_relocated_0001434,0.0,0.14901067687255878,0.0,-0.21000000000000085
4.0,long_term_raw_0191745,active_relocated_0001436,0.020000000000000018,0.09405737655419782,0.0,-0.3899999999999997
4.0,long_term_raw_0191746,active_relocated_0001437,0.01,0.030359693852521377,0.0,0.06999999999999851
4.0,long_term_raw_0191751,active_relocated_0001442,0.0,0.07029157611410769,0.0,-0.0600000000000005
4.0,long_term_raw_0191764,active_relocated_0001454,0.01,0.104776389629357,0.0,0.16000000000000014
4.0,long_term_raw_0191765,active_relocated_0001455,0.010000000000000009,0.21372291969323026,0.0,-0.11000000000000032
4.0,long_term_raw_0191778,active_relocated_0001468,0.0,0.13779263421841592,0.0,0.16999999999999993
4.0,long_term_raw_0191780,active_relocated_0001470,0.0,0.08918634260972122,0.0,-0.09999999999999964
