event_id,event_time,latitude,longitude,depth_km,magnitude,dist_to_m64_km,dist_to_m71_km,radius_km,raw_in_m64,raw_in_m71,raw_in_both,exclusive_to_m64,exclusive_to_m71
interevent_0000041,2019-07-04 17:35:51.840000+00:00,35.69039979518505,-117.50252882330362,2.72653025,4.68,1.71901107866842,12.5487790862166,4.0,True,False,False,True,False
interevent_0000043,2019-07-04 17:36:59.360000+00:00,35.75315579518505,-117.58497135657537,4.381393010000001,3.92,9.866616441488384,2.6577208200420555,4.0,False,True,False,False,True
interevent_0000047,2019-07-04 17:38:21.200000+00:00,35.71408879518505,-117.46911653286318,3.33621653,3.63,2.4978866478120243,13.14613508796508,4.0,True,False,False,True,False
interevent_0000049,2019-07-04 17:39:34.940000+00:00,35.68612679518505,-117.48213451514764,9.78147149,4.04,2.2723232918271603,14.152395632577996,4.0,True,False,False,True,False
interevent_0000051,2019-07-04 17:40:18+00:00,35.70671979518505,-117.4937740008517,9.63630809,4.55,0.27878398351597844,11.824453808006414,4.0,True,False,False,True,False
interevent_0000058,2019-07-04 17:44:32.580000+00:00,35.68564679518505,-117.49931448053552,3.53944529,4.02,2.116730787876198,13.139091618611028,4.0,True,False,False,True,False
interevent_0000059,2019-07-04 17:45:05.640000+00:00,35.69487979518505,-117.47712214645765,4.766076020000001,3.21,1.8392742923411218,13.823664276404026,4.0,True,False,False,True,False
interevent_0000060,2019-07-04 17:45:23.600000+00:00,35.70646379518505,-117.53111898237304,5.615281910000001,3.07,3.3757052265969554,9.545267818414517,4.0,True,False,False,True,False
interevent_0000068,2019-07-04 17:48:15.360000+00:00,35.70904779518505,-117.5001051689028,6.19593551,3.11,0.7755171911712636,11.223185248537217,4.0,True,False,False,True,False
interevent_0000071,2019-07-04 17:49:36+00:00,35.76567579518505,-117.5711622626578,4.649945300000001,2.62,9.764139020640732,2.2848929299631746,4.0,False,True,False,False,True
interevent_0000072,2019-07-04 17:50:13.640000+00:00,35.68669279518505,-117.47127855596212,9.5855009,2.16,2.8243590559735994,14.821556747125927,4.0,True,False,False,True,False
interevent_0000074,2019-07-04 17:50:46.620000+00:00,35.70494979518505,-117.4997958730938,15.892850630000002,2.8,0.5380571738521963,11.55072018884794,4.0,True,False,False,True,False
interevent_0000075,2019-07-04 17:50:48.680000+00:00,35.67456279518505,-117.49508168151252,2.0297459300000003,2.85,3.2911343013918692,14.3355377381494,4.0,True,False,False,True,False
interevent_0000076,2019-07-04 17:51:46.280000+00:00,35.67513279518505,-117.509184722592,6.972559700000001,3.67,3.509632605035751,13.532799808088416,4.0,True,False,False,True,False
interevent_0000077,2019-07-04 17:52:41.420000+00:00,35.72128679518505,-117.51541405271608,6.508036820000001,2.97,2.715324618689512,9.286120011949903,4.0,True,False,False,True,False
interevent_0000078,2019-07-04 17:53:14.740000+00:00,35.70113779518505,-117.47822159798308,2.545076,2.41,1.4610401972187914,13.302632920753318,4.0,True,False,False,True,False
interevent_0000080,2019-07-04 17:54:03.360000+00:00,35.67506779518505,-117.50409071790745,12.68473949,2.29,3.361925824057751,13.801781176937299,4.0,True,False,False,True,False
interevent_0000083,2019-07-04 17:55:19.840000+00:00,35.67056279518505,-117.506539393268,4.10558255,2.36,3.9041119081638733,14.087360672043367,4.0,True,False,False,True,False
interevent_0000084,2019-07-04 17:55:30.320000+00:00,35.67436779518505,-117.51136566745927,2.6902394000000003,2.57,3.668366840551961,13.494439292327899,4.0,True,False,False,True,False
interevent_0000086,2019-07-04 17:55:54.320000+00:00,35.70642279518505,-117.47086497941358,2.72653025,2.36,2.10082759543427,13.48220031609303,4.0,True,False,False,True,False
interevent_0000088,2019-07-04 17:56:55.240000+00:00,35.69795179518505,-117.48190836809027,2.26200737,2.34,1.2899238604341932,13.2730450718813,4.0,True,False,False,True,False
