reference_id,source_file,raw_time,origin_time,latitude,longitude,depth_km,magnitude,event_id,has_origin_time,has_location,has_depth,has_magnitude,flag_time_parse_failed,flag_missing_location,flag_missing_depth,flag_missing_magnitude,flag_lat_out_of_bounds,flag_lon_out_of_bounds,flag_depth_out_of_bounds,flag_mag_out_of_bounds,flag_any_quality_issue,quality_status,duplicate_signature,flag_exact_duplicate_signature
M3,Snet_catalog_relocate.csv,2026-04-22T22:15:30.560000Z,2026-04-22 22:15:30.560000+00:00,39.617928,143.470573,10.72,1.2,CAT_023366,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776896131000000000|39.6179|143.4706|10.72|1.2,False
M3,Snet_catalog_relocate.csv,2026-04-22T22:18:36.600000Z,2026-04-22 22:18:36.600000+00:00,39.885278,143.112581,12.96,1.3,CAT_023367,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776896317000000000|39.8853|143.1126|12.96|1.3,False
M3,Snet_catalog_relocate.csv,2026-04-22T22:19:51.880000Z,2026-04-22 22:19:51.880000+00:00,39.717505,143.21154,14.95,2.5,CAT_023368,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776896392000000000|39.7175|143.2115|14.95|2.5,False
M3,Snet_catalog_relocate.csv,2026-04-22T22:31:03.240000Z,2026-04-22 22:31:03.240000+00:00,39.713106,143.209391,13.36,1.1,CAT_023370,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776897063000000000|39.7131|143.2094|13.36|1.1,False
M3,Snet_catalog_relocate.csv,2026-04-22T22:49:50.400000Z,2026-04-22 22:49:50.400000+00:00,39.746826,143.265495,13.16,2.0,CAT_023374,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776898190000000000|39.7468|143.2655|13.16|2.0,False
M3,Snet_catalog_relocate.csv,2026-04-22T22:51:23.040000Z,2026-04-22 22:51:23.040000+00:00,39.855615,143.171712,14.02,1.4,CAT_023375,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776898283000000000|39.8556|143.1717|14.02|1.4,False
M3,Snet_catalog_relocate.csv,2026-04-22T22:57:22.320000Z,2026-04-22 22:57:22.320000+00:00,39.723995,143.42041,13.81,3.2,CAT_023377,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776898642000000000|39.724|143.4204|13.81|3.2,False
M3,Snet_catalog_relocate.csv,2026-04-22T23:06:34.500000Z,2026-04-22 23:06:34.500000+00:00,39.879944,143.110726,15.94,1.5,CAT_023380,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776899194000000000|39.8799|143.1107|15.94|1.5,False
M3,Snet_catalog_relocate.csv,2026-04-22T23:10:56.200000Z,2026-04-22 23:10:56.200000+00:00,39.679236,143.146875,14.82,1.3,CAT_023381,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776899456000000000|39.6792|143.1469|14.82|1.3,False
M3,Snet_catalog_relocate.csv,2026-04-22T23:13:27.120000Z,2026-04-22 23:13:27.120000+00:00,39.726493,143.423763,13.16,2.0,CAT_023382,True,True,True,True,False,False,False,False,False,False,False,False,False,clean,1776899607000000000|39.7265|143.4238|13.16|2.0,False
