mag_threshold,catalog_event_count,matched_event_count,coverage_fraction,complete_mechanism_count,partial_mechanism_count,metadata_only_count,complete_mechanism_fraction_of_matched,median_match_time_diff_sec,median_match_horizontal_diff_km,median_match_depth_diff_km,median_catalog_mag_of_matched,catalog_median_depth_km,matched_median_depth_km,catalog_median_dist_m1_km,matched_median_dist_m1_km
3.0,1350,240,0.17777777777777778,71,0,169,0.29583333333333334,0.01,0.08519960513637341,0.0799999999999983,3.8,15.485,25.265,75.0290210617868,175.00367131533517
3.5,617,237,0.3841166936790924,69,0,168,0.2911392405063291,0.01,0.0853489138856289,0.0799999999999983,3.8,15.84,24.18,60.18800898339638,175.19684638639475
4.0,266,92,0.3458646616541353,41,0,51,0.44565217391304346,0.01,0.08880002429267259,0.07000000000000028,4.4,15.84,30.685000000000002,50.98629796490427,178.29023049473278
4.5,145,35,0.2413793103448276,20,0,15,0.5714285714285714,0.01,0.10002103034530635,0.07000000000000028,5.0,14.93,36.04,36.125114821075854,181.5730826100295
5.0,69,18,0.2608695652173913,11,0,7,0.6111111111111112,0.005,0.1152516507258239,0.07000000000000028,5.55,14.72,38.815,28.881222446703365,181.58796244391056
