mecha_id,event_code_x,catalog_event_id,time_diff_sec,horizontal_diff_km,depth_diff_km,mag_diff,match_score,event_code_y,mecha_time,mecha_lat,mecha_lon,mecha_depth_km,mecha_mag_1,mecha_mag_2,focal_mech_score,focal_mech_projection,m_method,m_source,n_mech_stations,has_focal_planes,has_axes,has_complete_mechanism,P_axis_azimuth,T_axis_azimuth,strike_plane1,dip_plane1,rake_plane1,strike_plane2,dip_plane2,rake_plane2,catalog_time,datetime,catalog_lat,catalog_lon,catalog_depth_km,catalog_mag,phase_primary,m2_related_flag,dist_m1_km,dist_m3_km,within_60km_either_m1_m3,within_60km_m1,within_60km_m3,within_30km_m1,within_30km_m3,along_axis_20km,along_axis_30km,off_axis_20km,off_axis_30km,within_both_60km,mag_bin,mechanism_detail_class,is_local_zone_match
120,J2025121203110558,10137,0.02,0.12635726747212433,0.030000000000001137,0.0,0.28021453494424897,J2025121203110558,2025-12-11 18:11:05.580000+00:00,41.247166666666665,142.819,28.6,4.5,4.4,,,,,,False,False,False,,,,,,,,,2025-12-11 18:11:05.600000+00:00,2025-12-11T18:11:05.600000Z,41.248303,142.81901,28.57,4.5,middle_M1plus21d_to_M3minus35d,True,213.42103715421317,158.9598459895533,False,False,False,False,False,False,False,False,False,False,4.5-4.9,metadata_only,False
169,J2025121314080116,11162,0.01,0.13133843191436229,0.0400000000000027,0.0,0.28267686382872526,J2025121314080116,2025-12-13 05:08:01.160000+00:00,41.19533333333333,143.20616666666666,20.67,3.5,,,,,,,False,False,False,,,,,,,,,2025-12-13 05:08:01.170000+00:00,2025-12-13T05:08:01.170000Z,41.194751,143.204801,20.63,3.5,middle_M1plus21d_to_M3minus35d,False,200.985095766858,150.47330091897203,False,False,False,False,False,False,False,False,False,False,3.5-3.9,metadata_only,False
283,J2026030123091107,18641,0.01,0.12641203245883548,0.0799999999999983,0.0,0.28282406491767054,J2026030123091107,2026-03-01 14:09:11.070000+00:00,38.859,142.10916666666665,43.58,3.7,3.9,98.0,LOW,I,JMAM,129.0,True,True,True,106.0,294.0,187.0,17.0,79.0,19.0,73.0,93.0,2026-03-01 14:09:11.080000+00:00,2026-03-01T14:09:11.080000Z,38.859928,142.11001,43.66,3.7,middle_M1plus21d_to_M3minus35d,False,134.72934841783896,141.52290409514237,False,False,False,False,False,False,False,False,False,False,3.5-3.9,complete_mechanism,False
320,J2026042019302604,21761,0.02,0.10276379795247065,0.23000000000000043,0.0,0.2830275959049414,J2026042019302604,2026-04-20 10:30:26.040000+00:00,39.967666666666666,142.99933333333334,20.88,3.6,,,,,,,False,False,False,,,,,,,,,2026-04-20 10:30:26.020000+00:00,2026-04-20T10:30:26.020000Z,39.967611,143.000537,21.11,3.6,post_M3_context,False,76.37910324967689,19.318496176056865,True,False,True,False,True,False,False,True,True,False,3.5-3.9,metadata_only,True
204,J2025122601174030,14068,0.0,0.13762513960320588,0.04000000000000625,0.0,0.2852502792064133,J2025122601174030,2025-12-25 16:17:40.300000+00:00,41.1675,142.58283333333333,42.41,5.8,5.7,93.0,LOW,I,JMAM,191.0,True,True,True,102.0,293.0,188.0,30.0,85.0,14.0,60.0,93.0,2025-12-25 16:17:40.300000+00:00,2025-12-25T16:17:40.300000Z,41.16674,142.584131,42.45,5.8,middle_M1plus21d_to_M3minus35d,True,211.26460381060525,155.06181011207926,False,False,False,False,False,False,False,False,False,False,>=5.0,complete_mechanism,False
134,J2025121211524296,10217,0.01,0.13117092647040765,0.060000000000002274,0.0,0.2873418529408159,J2025121211524296,2025-12-12 02:52:42.960000+00:00,40.91566666666667,143.054,16.81,3.6,,,,,,,False,False,False,,,,,,,,,2025-12-12 02:52:42.950000+00:00,2025-12-12T02:52:42.950000Z,40.914502,143.054248,16.87,3.6,middle_M1plus21d_to_M3minus35d,False,172.52680920875002,119.5739453526809,False,False,False,False,False,False,False,False,False,False,3.5-3.9,metadata_only,False
243,J2026011807425875,16183,0.01,0.13003271039841882,0.07000000000000028,0.0,0.2875654207968377,J2026011807425875,2026-01-17 22:42:58.750000+00:00,40.8845,142.92666666666668,17.11,3.6,,,,,,,False,False,False,,,,,,,,,2026-01-17 22:42:58.760000+00:00,2026-01-17T22:42:58.760000Z,40.885608,142.926172,17.18,3.6,middle_M1plus21d_to_M3minus35d,False,172.19764616777007,117.68018645792012,False,False,False,False,False,False,False,False,False,False,3.5-3.9,metadata_only,False
93,J2025120907091323,8905,0.03,0.10071916121991059,0.22999999999999687,0.0,0.2889383224398204,J2025120907091323,2025-12-08 22:09:13.230000+00:00,41.01766666666666,142.522,41.62,3.9,,,,,,,False,False,False,,,,,,,,,2025-12-08 22:09:13.260000+00:00,2025-12-08T22:09:13.260000Z,41.018026,142.520898,41.39,3.9,middle_M1plus21d_to_M3minus35d,True,198.24311451357332,141.4170257490313,False,False,False,False,False,False,False,False,False,False,3.5-3.9,metadata_only,False
38,J2025112512175877,7866,0.02,0.12118168057378341,0.12999999999999545,0.0,0.2948633611475657,J2025112512175877,2025-11-25 03:17:58.770000+00:00,38.623333333333335,141.89733333333334,46.62,3.7,,98.0,LOW,I,JMAM,147.0,True,True,True,114.0,310.0,189.0,20.0,71.0,29.0,71.0,97.0,2025-11-25 03:17:58.790000+00:00,2025-11-25T03:17:58.790000Z,38.623816,141.898584,46.49,3.7,M1_related_M1minus14d_to_M1plus21d,False,163.69929988403075,173.4775751127674,False,False,False,False,False,False,False,False,False,False,3.5-3.9,complete_mechanism,False
195,J2025122020250701,13371,0.01,0.11782177657963688,0.21000000000000085,0.0,0.298143553159274,J2025122020250701,2025-12-20 11:25:07.010000+00:00,40.845,142.9145,12.01,3.6,,,,,,,False,False,False,,,,,,,,,2025-12-20 11:25:07+00:00,2025-12-20T11:25:07.000000Z,40.843941,142.914453,12.22,3.6,middle_M1plus21d_to_M3minus35d,True,168.06471141434386,113.29110453884932,False,False,False,False,False,False,False,False,False,False,3.5-3.9,metadata_only,False
