event_code,mechanism_origin_time,matched_event_id,time_residual_seconds,distance_residual_km,depth_residual_km,mag_residual,within_primary_tolerance,ambiguity_flag,focal_mech_projection,focal_mech_score,strike_plane1,dip_plane1,rake_plane1,strike_plane2,dip_plane2,rake_plane2,region_name
J2025111808461483,2025-11-17 23:46:14.830000+00:00,EVT_003533,107.65,249.98231253377787,44.870000000000005,1.1,False,False,,,,,,,,,S OFF URAKAWA
J2025111811054928,2025-11-18 02:05:49.280000+00:00,EVT_003544,0.01,0.09722345259904304,0.019999999999999574,0.0,True,True,,,,,,,,,E OFF IWATE PREF
J2025111812033664,2025-11-18 03:03:36.640000+00:00,EVT_003556,0.02,0.24103415454270738,0.36999999999999744,0.0,True,False,LOW,96.0,182.0,28.0,84.0,8.0,62.0,93.0,KINKAZAN REGION
J2025111817212096,2025-11-18 08:21:20.960000+00:00,EVT_003589,0.02,0.24926179716000965,0.1699999999999946,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025112216221647,2025-11-22 07:22:16.470000+00:00,EVT_004041,1921.6,280.5924821951098,54.64,1.7,False,False,LOW,99.0,205.0,30.0,90.0,25.0,60.0,90.0,S OFF URAKAWA
J2025112312374483,2025-11-23 03:37:44.830000+00:00,EVT_004099,0.0,0.04821493273737788,0.04999999999999716,0.0,True,True,,,,,,,,,E OFF IWATE PREF
J2025112419095167,2025-11-24 10:09:51.670000+00:00,EVT_004234,0.02,0.08872654473942004,0.17999999999999972,0.0,True,False,LOW,100.0,190.0,21.0,77.0,24.0,70.0,95.0,KINKAZAN REGION
J2025112512175877,2025-11-25 03:17:58.770000+00:00,EVT_004293,0.02,0.12411887793732614,0.14000000000000057,0.0,True,False,LOW,98.0,189.0,20.0,71.0,29.0,71.0,97.0,KINKAZAN REGION
J2025112520430470,2025-11-25 11:43:04.700000+00:00,EVT_004313,0.01,0.044561460192878107,0.08000000000000185,0.0,True,False,,,,,,,,,E OFF IWATE PREF
J2025112701435693,2025-11-26 16:43:56.930000+00:00,EVT_004371,4352.53,324.5518852785264,66.0,2.9999999999999996,False,False,LOW,90.0,11.0,25.0,-177.0,279.0,89.0,-65.0,SE OFF TOKACHI
J2025113008033829,2025-11-29 23:03:38.290000+00:00,EVT_004542,2126.05,186.00872019805888,2.039999999999999,2.9,False,False,LOW,94.0,338.0,49.0,29.0,228.0,69.0,135.0,E OFF AOMORI PREF
J2025120102255059,2025-11-30 17:25:50.590000+00:00,EVT_004578,508.89,199.10134807196778,44.68,3.9000000000000004,False,False,LOW,99.0,359.0,37.0,77.0,195.0,54.0,100.0,E OFF MIYAGI PREF
J2025120109480157,2025-12-01 00:48:01.570000+00:00,EVT_004588,0.02,0.078813691684142,0.20000000000000284,0.0,True,False,LOW,96.0,136.0,58.0,155.0,240.0,69.0,35.0,S OFF URAKAWA
J2025120219030437,2025-12-02 10:03:04.370000+00:00,EVT_004648,497.48,475.6422185528247,37.18,4.3,False,False,LOW,98.0,235.0,36.0,114.0,26.0,58.0,73.0,OFF NEMURO PENINSULA
J2025120315202322,2025-12-03 06:20:23.220000+00:00,EVT_004674,656.59,315.6389288804558,58.209999999999994,2.4,False,False,LOW,94.0,42.0,41.0,160.0,147.0,77.0,51.0,SE OFF TOKACHI
J2025120322172061,2025-12-03 13:17:20.610000+00:00,EVT_004685,143.11,188.12561606012136,43.06,1.5999999999999999,False,False,LOW,98.0,175.0,26.0,73.0,13.0,65.0,98.0,KINKAZAN REGION
J2025120323410142,2025-12-03 14:41:01.420000+00:00,EVT_004687,560.68,141.11698201399594,17.84,2.4,False,False,LOW,98.0,186.0,22.0,82.0,14.0,68.0,93.0,E OFF MIYAGI PREF
J2025120418035147,2025-12-04 09:03:51.470000+00:00,EVT_004713,1857.22,348.01220419574236,44.26,2.1,False,False,,,,,,,,,TOKACHI REGION
J2025120823151018,2025-12-08 14:15:10.180000+00:00,EVT_004910,0.0,0.26131162867441426,0.03999999999999915,0.0,True,True,LOW,94.0,188.0,19.0,77.0,21.0,72.0,94.0,E OFF AOMORI PREF
J2025120823200429,2025-12-08 14:20:04.290000+00:00,EVT_004911,0.01,0.07040519350709763,0.07000000000000028,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120823222684,2025-12-08 14:22:26.840000+00:00,EVT_004913,0.0,0.10258599914431753,0.129999999999999,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120823225346,2025-12-08 14:22:53.460000+00:00,EVT_004914,0.02,0.2867081901765163,0.34999999999999964,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120823232985,2025-12-08 14:23:29.850000+00:00,EVT_004915,0.01,0.12194650686381397,0.21000000000000085,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120823254773,2025-12-08 14:25:47.730000+00:00,EVT_004920,0.01,0.24015415937804388,0.23000000000000043,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120823304731,2025-12-08 14:30:47.310000+00:00,EVT_004927,0.0,0.10244277715950546,0.11999999999999744,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120823314255,2025-12-08 14:31:42.550000+00:00,EVT_004928,0.0,0.15845959331585716,0.21999999999999886,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120823322807,2025-12-08 14:32:28.070000+00:00,EVT_004930,0.02,0.04735088853229457,1.0600000000000005,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120823333927,2025-12-08 14:33:39.270000+00:00,EVT_004932,0.0,0.17120600682692538,0.010000000000005116,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120823404193,2025-12-08 14:40:41.930000+00:00,EVT_004937,0.0,0.02899816514073168,0.16999999999999815,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120823420105,2025-12-08 14:42:01.050000+00:00,EVT_004938,0.01,0.13040496494697232,0.04999999999999716,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120823593570,2025-12-08 14:59:35.700000+00:00,EVT_004960,0.0,0.1346936515050699,0.0899999999999963,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120900033283,2025-12-08 15:03:32.830000+00:00,EVT_004964,38.24,8.991179078561967,3.1700000000000017,0.7999999999999998,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120900053163,2025-12-08 15:05:31.630000+00:00,EVT_004966,0.0,0.024741637757459727,0.03999999999999915,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120900095567,2025-12-08 15:09:55.670000+00:00,EVT_004971,0.01,0.0862585254075235,0.01999999999999602,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120900220526,2025-12-08 15:22:05.260000+00:00,EVT_004989,0.02,0.2019129526278382,0.3500000000000014,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120900252205,2025-12-08 15:25:22.050000+00:00,EVT_004992,0.02,0.02034696792197867,0.25,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120900501705,2025-12-08 15:50:17.050000+00:00,EVT_005019,0.02,0.08448958077505325,0.23000000000000043,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120900575558,2025-12-08 15:57:55.580000+00:00,EVT_005026,0.0,0.10573701754578115,0.0799999999999983,0.0,True,True,LOW,87.0,185.0,32.0,65.0,34.0,61.0,105.0,E OFF AOMORI PREF
J2025120900585878,2025-12-08 15:58:58.780000+00:00,EVT_005027,0.0,0.0625440370411262,0.08999999999999986,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120901012330,2025-12-08 16:01:23.300000+00:00,EVT_005030,0.0,0.06568732362848669,0.08000000000000185,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120901081062,2025-12-08 16:08:10.620000+00:00,EVT_005033,0.01,0.18150504751501648,0.03999999999999915,0.0,True,True,LOW,96.0,201.0,21.0,80.0,32.0,69.0,94.0,E OFF AOMORI PREF
J2025120901184301,2025-12-08 16:18:43.010000+00:00,EVT_005045,0.01,0.07318184205697846,0.19000000000000128,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120901205627,2025-12-08 16:20:56.270000+00:00,EVT_005047,0.02,0.09791200888742904,0.34999999999999787,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120901215759,2025-12-08 16:21:57.590000+00:00,EVT_005049,0.0,0.13444834426436136,0.0799999999999983,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120901290288,2025-12-08 16:29:02.880000+00:00,EVT_005056,0.01,0.13251424668152362,0.10000000000000142,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120902124411,2025-12-08 17:12:44.110000+00:00,EVT_005098,0.01,0.18076065465741278,0.09999999999999787,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
