mainshock_id,window_days,space_type,space_label,r_inner_km,r_outer_km,annulus_area_km2,side,event_count,event_rate_per_day,area_normalized_rate,m4plus_count,m4plus_rate_per_day,m4plus_area_normalized_rate,m5plus_count,m5plus_rate_per_day,m5plus_area_normalized_rate,m6plus_count,magbin_<4_count,magbin_4_5_count,magbin_5_6_count,magbin_ge6_count,largest_event_mag
M2,14,annulus_band,0-30 km,0.0,30.0,2827.4333882308138,post,765,54.642857142857146,0.019325957375444437,5,0.35714285714285715,0.00012631344689832964,2,0.14285714285714285,5.052537875933185e-05,0,760,3,2,0,5.9
M2,14,annulus_band,30-60 km,30.0,60.0,8482.300164692442,pre,15,1.0714285714285714,0.00012631344689832962,0,0.0,0.0,0,0.0,0.0,0,15,0,0,0,3.0
M2,14,annulus_band,30-60 km,30.0,60.0,8482.300164692442,post,1813,129.5,0.015267085281778107,22,1.5714285714285714,0.00018525972211755012,5,0.35714285714285715,4.210448229944321e-05,2,1791,17,3,2,6.9
M2,14,annulus_band,60-100 km,60.0,100.0,20106.192982974677,pre,41,2.9285714285714284,0.00014565519345463636,0,0.0,0.0,0,0.0,0.0,0,41,0,0,0,3.3
M2,14,annulus_band,60-100 km,60.0,100.0,20106.192982974677,post,2209,157.78571428571428,0.007847617618080286,22,1.5714285714285714,7.815644526834146e-05,4,0.2857142857142857,1.4210262776062082e-05,2,2187,18,2,2,6.6
M2,25,annulus_band,0-30 km,0.0,30.0,2827.4333882308138,pre,49,1.96,0.000693208196578033,1,0.04,1.414710605261292e-05,0,0.0,0.0,0,48,1,0,0,4.8
M2,25,annulus_band,0-30 km,0.0,30.0,2827.4333882308138,post,885,35.4,0.012520188856562434,5,0.2,7.07355302630646e-05,2,0.08,2.829421210522584e-05,0,880,3,2,0,5.9
M2,25,annulus_band,30-60 km,30.0,60.0,8482.300164692442,pre,19,0.76,8.959833833321515e-05,0,0.0,0.0,0,0.0,0.0,0,19,0,0,0,3.0
M2,25,annulus_band,30-60 km,30.0,60.0,8482.300164692442,post,2298,91.92,0.010836683236301495,25,1.0,0.00011789255043844098,6,0.24,2.8294212105225836e-05,2,2273,19,4,2,6.9
M2,25,annulus_band,60-100 km,60.0,100.0,20106.192982974677,pre,71,2.84,0.0001412500119940571,0,0.0,0.0,0,0.0,0.0,0,71,0,0,0,3.7
M2,25,annulus_band,60-100 km,60.0,100.0,20106.192982974677,post,2562,102.48,0.0050969370525179485,23,0.92,4.575704613891991e-05,4,0.16,7.957747154594767e-06,2,2539,19,2,2,6.6
M3,7,annulus_band,0-30 km,0.0,30.0,2827.4333882308138,pre,41,5.857142857142857,0.002071540529132606,1,0.14285714285714285,5.052537875933185e-05,1,0.14285714285714285,5.052537875933185e-05,1,40,0,0,1,7.7
M3,7,annulus_band,0-30 km,0.0,30.0,2827.4333882308138,post,1588,226.85714285714286,0.08023430146981898,26,3.7142857142857144,0.0013136598477426283,5,0.7142857142857143,0.0002526268937966593,0,1562,21,5,0,5.5
M3,7,annulus_band,30-60 km,30.0,60.0,8482.300164692442,pre,43,6.142857142857143,0.0007241970955504233,0,0.0,0.0,0,0.0,0.0,0,43,0,0,0,2.8
M3,7,annulus_band,30-60 km,30.0,60.0,8482.300164692442,post,865,123.57142857142857,0.014568150875607349,14,2.0,0.00023578510087688195,7,1.0,0.00011789255043844098,0,851,7,7,0,5.6
M3,7,annulus_band,60-100 km,60.0,100.0,20106.192982974677,pre,118,16.857142857142858,0.0008384055037876629,0,0.0,0.0,0,0.0,0.0,0,118,0,0,0,3.6
M3,7,annulus_band,60-100 km,60.0,100.0,20106.192982974677,post,506,72.28571428571429,0.0035951964823437072,3,0.42857142857142855,2.1315394164093124e-05,0,0.0,0.0,0,503,3,0,0,4.2
M3,14,annulus_band,0-30 km,0.0,30.0,2827.4333882308138,pre,72,5.142857142857143,0.001818913635335947,1,0.07142857142857142,2.5262689379665925e-05,1,0.07142857142857142,2.5262689379665925e-05,1,71,0,0,1,7.7
M3,14,annulus_band,0-30 km,0.0,30.0,2827.4333882308138,post,1850,132.14285714285714,0.04673597535238196,26,1.8571428571428572,0.0006568299238713141,5,0.35714285714285715,0.00012631344689832964,0,1824,21,5,0,5.5
M3,14,annulus_band,30-60 km,30.0,60.0,8482.300164692442,pre,90,6.428571428571429,0.0007578806813899778,1,0.07142857142857142,8.420896459888641e-06,0,0.0,0.0,0,89,1,0,0,4.3
M3,14,annulus_band,30-60 km,30.0,60.0,8482.300164692442,post,1223,87.35714285714286,0.010298756370443808,18,1.2857142857142858,0.00015157613627799556,7,0.5,5.894627521922049e-05,0,1205,11,7,0,5.6
M3,14,annulus_band,60-100 km,60.0,100.0,20106.192982974677,pre,198,14.142857142857142,0.0007034080074150731,0,0.0,0.0,0,0.0,0.0,0,198,0,0,0,3.6
M3,14,annulus_band,60-100 km,60.0,100.0,20106.192982974677,post,700,50.0,0.0024867959858108648,3,0.21428571428571427,1.0657697082046562e-05,0,0.0,0.0,0,697,3,0,0,4.2
M3,25,annulus_band,0-30 km,0.0,30.0,2827.4333882308138,pre,153,6.12,0.0021645072260497765,1,0.04,1.414710605261292e-05,1,0.04,1.414710605261292e-05,1,152,0,0,1,7.7
M3,25,annulus_band,0-30 km,0.0,30.0,2827.4333882308138,post,1850,74.0,0.0261721461973339,26,1.04,0.00036782475736793594,5,0.2,7.07355302630646e-05,0,1824,21,5,0,5.5
M3,25,annulus_band,30-60 km,30.0,60.0,8482.300164692442,pre,501,20.04,0.0023625667107863573,13,0.52,6.130412622798932e-05,2,0.08,9.431404035075279e-06,1,488,11,1,1,6.7
M3,25,annulus_band,30-60 km,30.0,60.0,8482.300164692442,post,1223,48.92,0.005767303567448533,18,0.72,8.488263631567751e-05,7,0.28,3.3009914122763476e-05,0,1205,11,7,0,5.6
M3,25,annulus_band,60-100 km,60.0,100.0,20106.192982974677,pre,423,16.92,0.0008415317615983966,3,0.12,5.968310365946075e-06,0,0.0,0.0,0,420,3,0,0,4.5
M3,25,annulus_band,60-100 km,60.0,100.0,20106.192982974677,post,700,28.0,0.0013926057520540843,3,0.12,5.968310365946075e-06,0,0.0,0.0,0,697,3,0,0,4.2
