reference_id,matched_event_id,main_time,main_latitude,main_longitude,main_depth_km,main_magnitude,local_radius_km,local_depth_window_km,local_event_count,local_event_density_per_km2,regional_median_density_per_km2,density_ratio_to_regional_median,local_depth_median_km,local_depth_iqr_km,local_depth_p25_km,local_depth_p75_km,regional_depth_median_km,regional_depth_iqr_km,local_magnitude_median,station_count_local,station_nearest_distance_km,station_median_distance_km,station_p90_distance_km,mechanism_local_records,mechanism_geometry_local,mechanism_core_local,regional_mechanism_geometry_fraction,regional_mechanism_core_fraction,mechanism_geometry_fraction_local,mechanism_core_fraction_local,depth_domain_flag,spatial_domain_flag,station_coverage_note,mechanism_coverage_note,sequence_threshold_note,edge_effect_flag
M1,CAT_005006,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,41.25126660418373,30.4725,5925,1.1083167738306616,0.1509765592493276,7.340985775151696,11.87,3.299999999999999,9.9,13.2,16.49,20.315,1.7,6,12.644082128813707,33.087827582738484,34.82390533867425,0,0,0,0.3926553672316384,0.3926553672316384,,,typical,distinct,sparse,sparse,use radius near 41 km for sequence work; apply depth window near ±30 km; consider higher magnitude threshold for coda/aftershock screening,False
M2,CAT_008482,2025-12-08 14:15:10.180000+00:00,40.968,142.288,53.5,7.5,41.25126660418373,30.4725,2168,0.4055410574961813,0.1509765592493276,2.686119351987996,42.055,9.252499999999998,38.4775,47.73,16.49,20.315,1.3,4,13.145884076947777,25.236861768009916,34.34617914522423,51,27,27,0.3926553672316384,0.3926553672316384,0.5294117647058824,0.5294117647058824,distinct,distinct,sparse,good,use radius near 41 km for sequence work; apply depth window near ±30 km; consider higher magnitude threshold for coda/aftershock screening,False
M3,CAT_021629,2026-04-20 07:52:58.060000+00:00,39.842,143.157,19.4,7.7,41.25126660418373,30.4725,4209,0.7873257892073003,0.1509765592493276,5.214887616474851,12.67,3.17,11.05,14.22,16.49,20.315,1.6,4,16.538652324768528,26.97679211401653,31.144491872541387,4,0,0,0.3926553672316384,0.3926553672316384,0.0,0.0,typical,distinct,sparse,moderate,use radius near 41 km for sequence work; apply depth window near ±30 km; consider higher magnitude threshold for coda/aftershock screening,False
