global_window_id,window_family,stage_label,window_index,window_label,start_time,end_time,duration_hours,is_terminal_partial_window,n_events,magnitude_min,magnitude_max,magnitude_mean,magnitude_median,depth_mean_km,depth_median_km,centroid_x_km_local,centroid_y_km_local,centroid_longitude,centroid_latitude,principal_axis_azimuth_deg,major_spread_km,minor_spread_km,anisotropy_ratio,spatial_footprint_area_km2,along_strike_centroid_km,cross_strike_centroid_km,along_strike_spread_km,cross_strike_spread_km,centroid_distance_to_mainshock64_km,centroid_azimuth_from_mainshock64_deg,centroid_distance_to_mainshock71_km,centroid_azimuth_from_mainshock71_deg,window_mid_time,window_start_hours_since_mainshock64,window_end_hours_since_mainshock64,window_start_hours_since_mainshock71,window_end_hours_since_mainshock71,orientation_event_count_sufficient,cluster_event_count_sufficient,prev_centroid_x_km_local,prev_centroid_y_km_local,prev_principal_axis_azimuth_deg,centroid_step_dx_km,centroid_step_dy_km,centroid_step_distance_km,centroid_step_azimuth_deg,principal_axis_azimuth_change_deg,cumulative_centroid_distance_km
0,post64_hourly,1h_mainshock64_to_mainshock71,0,post64_hourly_1h_mainshock64_to_mainshock71_0000,2019-07-04T17:33:49.040000Z,2019-07-04T18:33:49.040000Z,1.0,False,138,1.33,6.4,2.7525362318840583,2.535,5.980241412246377,5.6479436750000005,-0.06156012569192829,-11.329606593963414,-117.53009436250186,35.68937669521994,35.55961142337247,5.338168499399148,4.257836676721941,1.2537278680940251,581.6748643987781,1.3267584781560124,3.406753245328794,4.272677988164314,5.326296922165723,3.6559890226745924,243.18270613935522,11.194619379049264,149.6215970029366,2019-07-04T18:03:49.040000Z,0.0,1.0,-33.76777777777778,-32.76777777777778,True,True,,,,,,,,,0.0
1,post64_hourly,1h_mainshock64_to_mainshock71,1,post64_hourly_1h_mainshock64_to_mainshock71_0001,2019-07-04T18:33:49.040000Z,2019-07-04T19:33:49.040000Z,1.0,False,130,1.11,4.89,2.334153846153846,2.1799999999999997,5.877525175307692,5.263260665000001,-0.11059290292191187,-12.180177648335611,-117.53063798666744,35.68172732595428,20.808426089824422,5.507722038929796,4.246100938034134,1.2971246136884746,589.9266881948477,0.7951650961405309,4.072548865602807,4.429848712094792,5.361046131310517,4.149450782072598,232.95230960626859,11.912986102432146,151.89441315747865,2019-07-04T19:03:49.040000Z,1.0,2.0,-32.76777777777778,-31.767777777777777,True,True,-0.06156012569192829,-11.329606593963414,35.55961142337247,-0.04903277722998358,-0.8505710543721978,0.8519831757603653,183.29927214015822,14.751185333548051,0.8519831757603653
2,post64_hourly,1h_mainshock64_to_mainshock71,2,post64_hourly_1h_mainshock64_to_mainshock71_0002,2019-07-04T19:33:49.040000Z,2019-07-04T20:33:49.040000Z,1.0,False,147,0.78,4.32,1.904829931972789,1.78,5.78745360244898,5.4483440000000005,-0.6168618044844997,-13.372649456973543,-117.53625096689652,35.67100316933471,25.837805747367838,5.991404143774784,3.477320278100557,1.7229946236207825,387.9520116149075,0.37552334169602625,5.298190743564044,3.73028744753506,5.837262670918054,5.311482178765759,225.95851363076923,12.766224783162322,156.42464283280174,2019-07-04T20:03:49.040000Z,2.0,3.0,-31.767777777777777,-30.767777777777777,True,True,-0.11059290292191187,-12.180177648335611,20.808426089824422,-0.5062689015625879,-1.1924718086379311,1.2954911096127244,203.00385330846547,5.029379657543416,2.1474742853730895
3,post64_hourly,1h_mainshock64_to_mainshock71,3,post64_hourly_1h_mainshock64_to_mainshock71_0003,2019-07-04T20:33:49.040000Z,2019-07-04T21:33:49.040000Z,1.0,False,135,0.84,3.58,1.7785925925925927,1.68,6.242549090666667,6.14512832,-0.47467010900376855,-13.295970679463451,-117.53467449405173,35.671692758148005,29.126405536100094,6.167424496807567,3.4487524203108366,1.78830595681081,595.7751962693532,0.3209084228980488,5.146153498690238,3.629427867903892,6.062860012576948,5.1561495370061445,225.4725837577452,12.753832413455317,155.70137870339204,2019-07-04T21:03:49.040000Z,3.0,4.0,-30.767777777777777,-29.767777777777777,True,True,-0.6168618044844997,-13.372649456973543,25.837805747367838,0.14219169548073113,0.07667877751009122,0.16154910455996668,61.663639464996834,3.288599788732256,2.3090233899330563
4,post64_hourly,1h_mainshock64_to_mainshock71,4,post64_hourly_1h_mainshock64_to_mainshock71_0004,2019-07-04T21:33:49.040000Z,2019-07-04T22:33:49.040000Z,1.0,False,132,0.84,4.74,1.7745454545454546,1.645,6.096190658636365,5.62254008,-0.01828631688041811,-12.414169733196253,-117.52961458775658,35.679622984578984,34.94875187338073,5.571006187499895,3.7614479123225575,1.4810802428631802,473.48763588345514,0.570184256811928,4.18504963688489,3.794225620646998,5.5487342951256675,4.223712886774681,229.66269035164524,12.16290562141911,152.03013462221668,2019-07-04T22:03:49.040000Z,4.0,5.0,-29.767777777777777,-28.767777777777777,True,True,-0.47467010900376855,-13.295970679463451,29.126405536100094,0.45638379212335045,0.8818009462671981,0.9929043632448271,27.364219663632355,5.822346337280635,3.3019277531778837
5,post64_hourly,1h_mainshock64_to_mainshock71,5,post64_hourly_1h_mainshock64_to_mainshock71_0005,2019-07-04T22:33:49.040000Z,2019-07-04T23:33:49.040000Z,1.0,False,138,0.67,3.6,1.56963768115942,1.48,5.925647570652174,5.39753681,-0.701478526346074,-12.43982525223473,-117.53718910863381,35.67939225895316,20.37226701907889,7.044649014156947,4.381939703562185,1.6076553970905123,608.3575275369004,1.0615228148583,4.6604402364013415,4.8269947574307555,6.747488192657555,4.779804795546915,234.73582598494767,11.88109219184504,154.99930554647779,2019-07-04T23:03:49.040000Z,5.0,6.0,-28.767777777777777,-27.767777777777777,True,True,-0.01828631688041811,-12.414169733196253,34.94875187338073,-0.6831922094656558,-0.025655519038476626,0.6836737531393889,267.8494154972258,14.576484854301839,3.9856015063172725
6,post64_hourly,1h_mainshock64_to_mainshock71,6,post64_hourly_1h_mainshock64_to_mainshock71_0006,2019-07-04T23:33:49.040000Z,2019-07-05T00:33:49.040000Z,1.0,False,137,0.38,4.36,1.5413868613138688,1.37,5.806855214525547,5.288664260000001,-1.6211529970454226,-12.279381959658252,-117.54738549755932,35.680835160148554,22.40902262698853,6.953711860914079,4.225506735638018,1.6456515859426557,709.4176257773112,1.8531592364139662,5.1552684472538015,4.609963273669025,6.705017109073039,5.478228903464787,241.67624170962188,11.372805892175922,158.85977117914,2019-07-05T00:03:49.040000Z,6.0,7.0,-27.767777777777777,-26.767777777777777,True,True,-0.701478526346074,-12.43982525223473,20.37226701907889,-0.9196744706993486,0.1604432925764776,0.9335647712874069,279.8960340408994,2.0367556079096403,4.919166277604679
7,post64_hourly,1h_mainshock64_to_mainshock71,7,post64_hourly_1h_mainshock64_to_mainshock71_0007,2019-07-05T00:33:49.040000Z,2019-07-05T01:33:49.040000Z,1.0,False,147,0.69,4.38,1.4110884353741497,1.26,5.980659175306124,5.658830930000001,-1.3498061610287102,-12.728771073883888,-117.54437708756005,35.67679370674967,21.818965238907595,7.380031965563219,4.807067724206658,1.5352460978238442,822.3543429755388,1.351064463374192,5.3085019954308255,5.177455251889333,7.125077475545643,5.477733894566771,236.18346678488754,11.890161407985243,158.42120058685032,2019-07-05T01:03:49.040000Z,7.0,8.0,-26.767777777777777,-25.767777777777777,True,True,-1.6211529970454226,-12.279381959658252,22.40902262698853,0.2713468360167124,-0.4493891142256352,0.5249568376550415,148.87588914650138,0.5900573880809361,5.444123115259721
8,post64_hourly,1h_mainshock64_to_mainshock71,8,post64_hourly_1h_mainshock64_to_mainshock71_0008,2019-07-05T01:33:49.040000Z,2019-07-05T02:33:49.040000Z,1.0,False,139,0.46,4.24,1.5358273381294965,1.37,5.8186151041007195,5.7459289700000005,-1.2443062366759325,-13.443430232987525,-117.54320741470886,35.67036662252318,24.608234300810693,7.277739976541803,4.691823038489831,1.5511539793462261,821.9220880095414,0.7952323435478884,5.769933032855226,4.97485329247697,7.087279965472628,5.824476086641489,229.75156972806735,12.59461016146726,159.17062565468586,2019-07-05T02:03:49.040000Z,8.0,9.0,-25.767777777777777,-24.767777777777777,True,True,-1.3498061610287102,-12.728771073883888,21.818965238907595,0.10549992435277766,-0.714659159103638,0.7224042827455834,171.60249184877853,2.7892690619030986,6.166527398005305
9,post64_hourly,1h_mainshock64_to_mainshock71,9,post64_hourly_1h_mainshock64_to_mainshock71_0009,2019-07-05T02:33:49.040000Z,2019-07-05T03:33:49.040000Z,1.0,False,152,0.6,3.55,1.3913157894736843,1.27,5.807336908289474,5.502780275000001,-0.8748940646175588,-13.160685496595026,-117.53911175880002,35.672909407027156,27.58466711286735,6.828506788792433,3.680857329894781,1.8551403047690602,417.30475356194745,0.709135071495947,5.312770918755899,3.9461740911340852,6.678691914595743,5.359888747427878,229.50705877175892,12.46967419710082,157.12178242772836,2019-07-05T03:03:49.040000Z,9.0,10.0,-24.767777777777777,-23.767777777777777,True,True,-1.2443062366759325,-13.443430232987525,24.608234300810693,0.36941217205837373,0.2827447363925,0.465198816445775,52.569883395373154,2.9764328120566574,6.63172621445108
