mainshock,control_window_start,control_window_end,control_rate_per_day,control_n_total,baseline_n_total,baseline_pre_rate,baseline_post_rate,baseline_rate_ratio,relative_control_rate
M1,,,0.0,,3923,6.8,36.77777777777778,5.408496732026144,0.0
M2,,,0.1666666666666666,,2370,1.011111111111111,25.31111111111111,25.03296703296704,0.16483516483516478
M3,,,1.2666666666666666,,3654,9.733333333333333,30.855555555555554,3.170091324200913,0.13013698630136986
