event_id,origin_time,latitude,longitude,depth_km,magnitude,region,npicks
61,2025-06-01T01:23:07.860000Z,42.316000,144.486333,7.910,1.60,SE OFF TOKACHI,9
62,2025-06-01T01:30:09.050000Z,42.301667,144.441833,14.800,2.40,SE OFF TOKACHI,29
63,2025-06-01T01:36:20.740000Z,42.327167,144.469000,21.000,1.40,SE OFF TOKACHI,10
64,2025-06-01T01:46:29.000000Z,42.306000,144.473500,13.710,2.00,SE OFF TOKACHI,26
65,2025-06-01T01:47:08.720000Z,42.293833,144.481833,13.820,1.90,SE OFF TOKACHI,10
66,2025-06-01T01:49:07.610000Z,42.304333,144.451167,7.000,1.50,SE OFF TOKACHI,11
67,2025-06-01T02:11:21.510000Z,42.330667,144.446667,12.180,1.40,SE OFF TOKACHI,5
68,2025-06-01T02:12:48.360000Z,42.304500,144.472000,14.740,1.90,SE OFF TOKACHI,25
69,2025-06-01T02:20:26.570000Z,41.534000,143.589667,7.080,1.70,SE OFF ERIMOMISAKI,15
70,2025-06-01T02:39:30.110000Z,40.266833,142.495333,39.490,1.30,NE OFF IWATE PREF,16
71,2025-06-01T02:55:22.330000Z,42.318000,144.489000,12.790,2.00,SE OFF TOKACHI,22
72,2025-06-01T03:17:37.060000Z,42.319167,144.481667,12.120,1.50,SE OFF TOKACHI,9
73,2025-06-01T03:50:39.470000Z,41.986833,142.766000,48.280,2.10,S OFF URAKAWA,27
74,2025-06-01T04:34:04.360000Z,38.872500,142.445500,35.550,1.50,E OFF MIYAGI PREF,28
75,2025-06-01T04:51:48.080000Z,42.326667,144.484000,15.460,1.40,SE OFF TOKACHI,5
76,2025-06-01T05:06:17.380000Z,42.361833,144.496333,15.990,1.60,SE OFF TOKACHI,19
77,2025-06-01T05:09:07.500000Z,42.321000,144.486167,17.980,2.20,SE OFF TOKACHI,34
78,2025-06-01T05:19:01.770000Z,42.324500,144.486333,17.880,2.30,SE OFF TOKACHI,35
79,2025-06-01T05:26:07.400000Z,42.303833,144.406333,13.930,1.80,SE OFF TOKACHI,24
80,2025-06-01T05:27:16.670000Z,42.365167,144.464500,20.420,1.50,SE OFF TOKACHI,8
81,2025-06-01T06:14:26.320000Z,42.325000,144.484500,9.910,1.30,SE OFF TOKACHI,9
82,2025-06-01T06:51:23.180000Z,38.687333,142.146333,35.940,1.20,E OFF MIYAGI PREF,18
83,2025-06-01T06:56:52.710000Z,42.299167,144.411833,10.170,1.60,SE OFF TOKACHI,19
84,2025-06-01T06:57:47.160000Z,42.326500,144.420833,16.430,2.00,SE OFF TOKACHI,32
85,2025-06-01T07:12:00.290000Z,42.325333,144.444667,9.200,1.60,SE OFF TOKACHI,20
86,2025-06-01T07:25:05.120000Z,42.342333,143.205500,28.160,0.80,HIDAKA MOUNTAINS REGION,8
87,2025-06-01T07:31:18.970000Z,42.057333,142.972333,51.810,0.70,HIDAKA REGION,9
88,2025-06-01T07:38:36.070000Z,40.862500,142.750167,35.480,2.60,E OFF AOMORI PREF,37
89,2025-06-01T07:43:18.630000Z,42.000167,142.998500,45.880,1.60,S OFF URAKAWA,22
90,2025-06-01T08:10:35.330000Z,39.839333,141.786500,61.110,0.90,NORTHERN IWATE PREF,25
91,2025-06-01T08:16:05.140000Z,41.125500,143.158833,19.080,1.80,E OFF AOMORI PREF,20
92,2025-06-01T08:20:35.450000Z,41.129833,143.167667,19.200,0.80,E OFF AOMORI PREF,9
93,2025-06-01T08:20:53.890000Z,42.326333,144.489333,16.980,2.20,SE OFF TOKACHI,38
94,2025-06-01T10:03:31.750000Z,42.307667,144.451000,14.910,2.20,SE OFF TOKACHI,24
95,2025-06-01T10:10:18.930000Z,42.317167,144.467333,12.650,2.00,SE OFF TOKACHI,30
96,2025-06-01T10:15:52.880000Z,42.355000,144.484667,19.790,2.00,SE OFF TOKACHI,32
97,2025-06-01T10:27:03.320000Z,40.742667,142.146167,51.400,1.10,E OFF AOMORI PREF,14
98,2025-06-01T11:01:50.910000Z,39.987667,141.954000,49.910,1.30,NORTHERN IWATE PREF,29
99,2025-06-01T11:07:07.410000Z,42.308167,144.483833,17.170,3.20,SE OFF TOKACHI,39
100,2025-06-01T11:16:29.030000Z,42.288833,144.442833,10.340,1.80,SE OFF TOKACHI,26
101,2025-06-01T11:30:57.420000Z,42.312667,144.433667,7.570,1.50,SE OFF TOKACHI,7
102,2025-06-01T11:34:10.650000Z,42.302833,144.432167,9.720,1.40,SE OFF TOKACHI,17
103,2025-06-01T11:36:17.710000Z,42.321500,144.474167,13.060,1.20,SE OFF TOKACHI,5
104,2025-06-01T12:01:31.420000Z,41.253667,141.391667,88.310,1.90,SHIMOKITA PENINSULA REG,34
105,2025-06-01T12:03:51.960000Z,41.260500,141.688667,78.600,1.80,E OFF AOMORI PREF,31
106,2025-06-01T12:09:00.700000Z,40.205167,142.273833,43.410,3.60,NE OFF IWATE PREF,40
107,2025-06-01T12:39:22.810000Z,39.069833,142.196833,38.720,1.20,E OFF IWATE PREF,26
108,2025-06-01T12:55:57.560000Z,42.340000,144.480667,18.380,1.60,SE OFF TOKACHI,25
109,2025-06-01T13:02:48.790000Z,40.337333,142.309167,37.560,1.80,NE OFF IWATE PREF,34
110,2025-06-01T13:09:23.780000Z,42.308667,144.476500,11.470,1.70,SE OFF TOKACHI,14
111,2025-06-01T13:13:23.940000Z,42.296333,144.485167,20.810,1.30,SE OFF TOKACHI,16
112,2025-06-01T13:47:01.260000Z,42.290000,144.476167,19.630,1.30,SE OFF TOKACHI,15
113,2025-06-01T14:33:20.930000Z,42.333000,144.489833,17.260,1.80,SE OFF TOKACHI,35
114,2025-06-01T16:08:57.130000Z,42.363833,144.494667,14.000,1.90,SE OFF TOKACHI,33
115,2025-06-01T16:16:20.770000Z,38.965167,142.391667,28.300,1.40,E OFF MIYAGI PREF,28
116,2025-06-01T16:36:41.420000Z,42.320333,144.481333,17.660,1.70,SE OFF TOKACHI,33
117,2025-06-01T16:59:00.620000Z,42.279833,144.429667,15.000,1.60,SE OFF TOKACHI,12
118,2025-06-01T17:08:12.510000Z,42.298500,144.471000,13.820,2.50,SE OFF TOKACHI,40
119,2025-06-01T17:08:50.260000Z,42.298167,144.472000,13.250,3.00,SE OFF TOKACHI,35
120,2025-06-01T17:22:10.420000Z,42.320500,144.496833,16.000,2.10,SE OFF TOKACHI,34
121,2025-06-01T17:23:58.480000Z,42.344167,144.429000,18.390,2.60,SE OFF TOKACHI,40
122,2025-06-01T17:31:22.690000Z,42.213667,142.821833,55.990,0.80,HIDAKA REGION,11
123,2025-06-01T17:51:12.770000Z,42.335833,144.494167,6.370,2.10,SE OFF TOKACHI,24
124,2025-06-01T18:16:15.980000Z,42.286167,144.441000,12.060,1.30,SE OFF TOKACHI,19
125,2025-06-01T18:25:08.980000Z,42.311167,144.475000,14.460,1.40,SE OFF TOKACHI,22
126,2025-06-01T18:47:48.390000Z,42.253500,144.481500,12.170,1.20,SE OFF TOKACHI,10
127,2025-06-01T18:47:58.220000Z,41.136333,143.207833,22.010,1.20,E OFF AOMORI PREF,9
