station_key,status,network,station,xml_path,latitude,longitude,elevation_m,family,location_code,components,channels,sample_rate,gain_1,gain_2,gain_3,gain_mean,reason
CI.WHF,selected,CI,WHF,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WHF.xml,35.69513,-118.35183,859.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,629865000.0,629865000.0,629865000.0,629865000.0,
CI.WMF,selected,CI,WMF,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WMF.xml,36.11758,-117.85486,1537.4,HH,,Z/N/E,HHZ/HHN/HHE,100.0,626506000.0,628185000.0,626506000.0,627065666.6666666,
CI.WNM,excluded,CI,WNM,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WNM.xml,,,,,,,,,,,,,no_valid_HH_or_EH_triplet
CI.WOR,selected,CI,WOR,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WOR.xml,35.69563,-118.24246,795.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,637088000.0,637507000.0,640951000.0,638515333.3333334,
CI.WRC2,selected,CI,WRC2,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WRC2.xml,35.9479,-117.65038,943.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,629865000.0,629865000.0,629865000.0,629865000.0,
CI.WRV2,excluded,CI,WRV2,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WRV2.xml,,,,,,,,,,,,,no_valid_HH_or_EH_triplet
CI.WVP2,excluded,CI,WVP2,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/CI.WVP2.xml,,,,,,,,,,,,,no_valid_HH_or_EH_triplet
GS.CA01,selected,GS,CA01,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/GS.CA01.xml,35.66512,-117.42368,570.4,HH,00,Z/1/2,HHZ/HH1/HH2,100.0,468849000.0,468849000.0,468849000.0,468849000.0,
GS.CA02,selected,GS,CA02,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/GS.CA02.xml,35.82915,-117.35542,541.6,HH,00,Z/1/2,HHZ/HH1/HH2,100.0,468849000.0,468849000.0,468849000.0,468849000.0,
GS.CA03,selected,GS,CA03,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/GS.CA03.xml,35.62204,-117.56911,762.2,HH,00,Z/1/2,HHZ/HH1/HH2,100.0,468849000.0,468849000.0,468849000.0,468849000.0,
GS.CA04,selected,GS,CA04,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/GS.CA04.xml,35.47833,-117.5602,1005.4,HH,00,Z/1/2,HHZ/HH1/HH2,100.0,468849000.0,468849000.0,468849000.0,468849000.0,
GS.CA05,selected,GS,CA05,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/GS.CA05.xml,35.58926,-117.28689,612.1,HH,00,Z/1/2,HHZ/HH1/HH2,100.0,468849000.0,468849000.0,468849000.0,468849000.0,
GS.CA06,selected,GS,CA06,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/GS.CA06.xml,35.59962,-117.49268,796.4,HH,00,Z/1/2,HHZ/HH1/HH2,100.0,468849000.0,468849000.0,468849000.0,468849000.0,
NN.GWY,selected,NN,GWY,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/NN.GWY.xml,36.1859,-116.6697,1557.5,HH,,Z/N/E,HHZ/HHN/HHE,100.0,315695000.0,315695000.0,315695000.0,315695000.0,
NN.QSM,selected,NN,QSM,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/NN.QSM.xml,35.965,-116.869102,385.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,314020000.0,314020000.0,314020000.0,314020000.0,
PB.B916,selected,PB,B916,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/PB.B916.xml,36.1925,-117.6685,1859.9,EH,,Z/1/2,EHZ/EH1/EH2,100.0,781398000.0,781398000.0,781398000.0,781398000.0,
PB.B917,selected,PB,B917,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/PB.B917.xml,35.4053,-117.2588,1192.0,EH,,Z/1/2,EHZ/EH1/EH2,100.0,781398000.0,781398000.0,781398000.0,781398000.0,
PB.B918,selected,PB,B918,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/PB.B918.xml,35.9357,-117.6017,1042.6,EH,,Z/1/2,EHZ/EH1/EH2,100.0,781398000.0,781398000.0,781398000.0,781398000.0,
PB.B921,selected,PB,B921,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/PB.B921.xml,35.5865,-117.4622,694.5,EH,,Z/1/2,EHZ/EH1/EH2,100.0,781398000.0,781398000.0,781398000.0,781398000.0,
ZY.SV01,selected,ZY,SV01,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/ZY.SV01.xml,35.6455,-117.4776,602.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,471281000.0,471281000.0,471281000.0,471281000.0,
ZY.SV02,selected,ZY,SV02,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/ZY.SV02.xml,35.8855,-117.7048,688.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,271118000.0,271118000.0,271118000.0,271118000.0,
ZY.SV03,selected,ZY,SV03,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/ZY.SV03.xml,35.7705,-117.5997,671.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,471281000.0,471281000.0,471281000.0,471281000.0,
ZY.SV04,selected,ZY,SV04,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/ZY.SV04.xml,35.9023,-117.7018,707.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,471281000.0,471281000.0,471281000.0,471281000.0,
ZY.SV05,selected,ZY,SV05,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/ZY.SV05.xml,35.7224,-117.5719,664.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,471429000.0,471429000.0,471429000.0,471429000.0,
ZY.SV06,selected,ZY,SV06,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/ZY.SV06.xml,35.6012,-117.3811,597.9,HH,,Z/N/E,HHZ/HHN/HHE,100.0,471429000.0,471429000.0,471429000.0,471429000.0,
ZY.SV07,selected,ZY,SV07,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/ZY.SV07.xml,35.6976,-117.6032,664.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,274899000.0,274899000.0,274899000.0,274899000.0,
ZY.SV08,selected,ZY,SV08,<DATA_ROOT>/Science2019_Ross_Ridgecrest/data/stationxml/ZY.SV08.xml,35.5761,-117.4187,604.0,HH,,Z/N/E,HHZ/HHN/HHE,100.0,471429000.0,471429000.0,471429000.0,471429000.0,
