mainshock,ref_time,ref_lat,ref_lon,ref_dep,ref_mag,matched_event_id,matched_time,matched_lat,matched_lon,matched_dep,matched_mag,time_shift_minutes,horizontal_shift_km,depth_shift_km,match_score,n_close_candidates,close_candidates
M1,2025-11-09 08:03:39.240000+00:00,39.402,143.507,15.9,6.9,5006,2025-11-09 08:03:39.240000+00:00,39.403072,143.50568,15.96,6.9,0.0,0.16453562980491596,0.0600000000000005,0.010226781490245813,1,"[5006, 5011, 5009, 5004, 5005]"
M2,2025-12-08 14:15:10.180000+00:00,40.968,142.288,53.5,7.5,8482,2025-12-08 14:15:10.180000+00:00,40.966239,142.290218,53.46,7.5,0.0,0.27022909403658935,-0.03999999999999915,0.014844788035162771,1,"[8482, 8494, 8491, 8506, 8497]"
M3,2026-04-20 07:52:58.060000+00:00,39.842,143.157,19.4,7.7,21629,2026-04-20 07:52:58.050000+00:00,39.843477,143.15651,19.31,7.7,-0.00016666666666666682,0.16947924017603608,-0.08999999999999986,0.011476739786579579,1,"[21629, 21639, 21632, 21638, 21637]"
