domain,cell_id,x_km,y_km,event_count,cumulative_energy,first_activation_hours,peak_rate_time_30m_hours,peak_rate_time_1h_hours,first_nonzero_bin_30m_hours,first_nonzero_bin_1h_hours,longitude,latitude,distance_to_Mw6.4_km,distance_to_Mw7.1_km
Mw7.1_neighborhood,0,-6.18815743406584,0.38924860887942003,0,0.0,,,,,,-117.61213949015462,35.68834637436045,10.843629905195254,9.905806378079475
Mw7.1_neighborhood,1,-5.68815743406584,0.38924860887942003,0,0.0,,,,,,-117.60661567348575,35.688349384263454,10.350570886132509,9.82980162566875
Mw7.1_neighborhood,2,-5.18815743406584,0.38924860887942003,0,0.0,,,,,,-117.60109185641933,35.68835214072916,9.858211086037011,9.778803607803972
Mw7.1_neighborhood,3,-4.68815743406584,0.38924860887942003,0,0.0,,,,,,-117.59556803899036,35.68835464375753,9.366660769178745,9.75320460156558
Mw7.1_neighborhood,4,-4.18815743406584,0.38924860887942003,0,0.0,,,,,,-117.59004422123374,35.68835689334854,8.876054422595733,9.75320460156558
Mw7.1_neighborhood,5,-3.6881574340658396,0.38924860887942003,0,0.0,,,,,,-117.58452040318441,35.688358889502126,8.386557712249427,9.778803607803972
Mw7.1_neighborhood,6,-3.1881574340658396,0.38924860887942003,0,0.0,,,,,,-117.57899658487736,35.68836063221829,7.898376947759552,9.82980162566875
Mw7.1_neighborhood,7,-2.6881574340658396,0.38924860887942003,0,0.0,,,,,,-117.57347276634748,35.688362121496986,7.411772160347929,9.905806378079475
Mw7.1_neighborhood,8,-8.18815743406584,0.88924860887942,0,0.0,,,,,,-117.63423984017311,35.69283819866873,12.762255381028835,9.981232388838565
Mw7.1_neighborhood,9,-7.68815743406584,0.88924860887942,0,0.0,,,,,,-117.62871571475091,35.69284222269058,12.264793946846746,9.80433577556379
Mw7.1_neighborhood,10,-7.18815743406584,0.88924860887942,0,0.0,,,,,,-117.62319158879126,35.69284599325203,11.767547692982497,9.650129532809391
