region,cell_id,along_km,across_km,x_km,y_km,event_count,cumulative_energy,first_activation_hours,peak_rate_time_30m_hours,peak_rate_time_1h_hours,first_nonzero_bin_30m_hours,first_nonzero_bin_1h_hours,longitude,latitude,distance_to_Mw6.4_km,distance_to_Mw7.1_km
Region_A,536,18.25,1.25,2.162900336766118,0.5682563929993699,1,1364583.136588924,16.418991666666667,16.25,16.5,16.25,16.5,-117.51987955510381,35.68997677521632,2.830941293764893,11.626601209738705
Region_A,537,18.75,1.25,2.477557923541984,0.9568314862366859,2,504536888.01884973,3.367005555555556,3.25,3.5,3.25,3.5,-117.51640206565007,35.69347818490825,2.3575471377578174,11.49538616670424
Region_A,538,19.25,1.25,2.7922155103178494,1.3454065794740018,10,222518152.31588727,5.541677777777778,5.75,5.5,5.75,5.5,-117.51292427215292,35.696979492064074,1.89784836189747,11.384636601710785
Region_A,539,19.75,1.25,3.1068730970937133,1.7339816727113178,7,787503749.8844625,1.7189555555555556,1.75,1.5,1.75,1.5,-117.50944617455532,35.700480696662204,1.4647963349093103,11.29495453662256
Region_A,540,20.25,1.25,3.421530683869579,2.1225567659486355,9,251189381822177.88,0.0,0.25,0.5,0.25,0.5,-117.50596777280033,35.703981798680964,1.090609096225857,11.226844855778857
Region_A,541,20.75,1.25,3.736188270645443,2.5111318591859497,9,232202643.92558163,4.436644444444444,21.25,21.5,4.25,4.5,-117.5024890668309,35.70748279809873,0.8562873926301942,11.180701804765473
Region_A,542,21.25,1.25,4.050845857421308,2.8997069524232675,4,3134301921.037244,0.2406444444444444,0.25,0.5,0.25,0.5,-117.49901005659001,35.71098369489386,0.8814919153255187,11.156797940199667
Region_A,543,21.75,1.25,4.365503444197174,3.2882820456605817,2,2097409.1770205833,10.169283333333333,10.25,10.5,10.25,10.5,-117.49553074202059,35.71448448904469,1.1492727677932169,11.155276227409217
Region_A,544,22.25,1.25,4.6801610309730375,3.6768571388978994,0,0.0,,,,,,-117.4920511230656,35.71798518052959,1.537734630161498,11.17614580887163
Region_A,545,22.75,1.25,4.994818617748903,4.065432232135217,1,616595.0018614822,28.749277777777777,28.75,28.5,28.75,28.5,-117.48857119966802,35.721485769326875,1.9769743778827178,11.219281731577853
Region_A,546,23.25,1.25,5.309476204524769,4.454007325372531,0,0.0,,,,,,-117.48509097177077,35.7249862554149,2.439718751989988,11.284428652079567
