version,phase,n_events,along_axis_mean_km,along_axis_median_km,perp_median_km,slope_km_per_day,time_along_axis_correlation,fraction_nearest_M1,fraction_nearest_M3,fraction_M1_core,fraction_M3_core,fraction_corridor_noncore,fraction_off_corridor_local
raw,full_M1_to_M3,4796,14.292023364774893,11.526157203312604,10.046595833600652,0.09723752759759423,0.19202664287297452,0.750208507089241,0.24979149291075897,0.6857798165137615,0.17723102585487907,0.057547956630525435,0.07339449541284404
raw,M1_related_primary,3147,7.534564524234623,5.5701957458048055,9.05196130487301,0.41281691722760955,0.1107638652533871,0.8198284080076264,0.1801715919923737,0.7651731808071179,0.15316174134095964,0.03622497616777884,0.04321576104226247
raw,middle_primary,1358,23.156631248156128,16.891357881288414,10.07322067365606,0.034213036026791876,0.032368178808005556,0.6686303387334315,0.33136966126656847,0.601620029455081,0.16200294550810015,0.10309278350515463,0.12297496318114874
raw,pre_M3_primary,854,18.789168957232107,15.246684488977055,10.143587210917222,1.0357429839675563,0.3022515932331553,0.7306791569086651,0.2693208430913349,0.6744730679156908,0.18032786885245902,0.040983606557377046,0.09484777517564402
m2aware,full_M1_to_M3,4738,13.115273552928958,11.32292902517644,9.996886456935345,0.08340331359955203,0.177227351411722,0.7593921485859012,0.24060785141409877,0.6941747572815534,0.1794005909666526,0.04643309413254538,0.07387083157450401
m2aware,M1_related_primary,3147,7.534564524234623,5.5701957458048055,9.05196130487301,0.41281691722760955,0.1107638652533871,0.8198284080076264,0.1801715919923737,0.7651731808071179,0.15316174134095964,0.03622497616777884,0.04321576104226247
m2aware,middle_primary,1313,20.182313603245433,14.638649430569451,9.980330210030722,0.034040318748250045,0.0357326102533562,0.6915460776846916,0.30845392231530844,0.6222391469916222,0.16755521706016754,0.07387661843107388,0.12566641279512566
m2aware,pre_M3_primary,841,17.347086563291317,15.014336690752327,10.064509652944498,0.9196059727745353,0.2938185357029523,0.7419738406658739,0.25802615933412604,0.6848989298454221,0.18311533888228299,0.026159334126040427,0.09631391200951249
